corp,dpto,mpio,name,party,wp_no
Concejo,SANTANDER,CONFINES,ANA MILENA DELGADO LOPEZ,PARTIDO CONSERVADOR COLOMBIANO,64073
Concejo,SANTANDER,CONFINES,ANDREA  CORREDOR MALDONADO,PARTIDO CENTRO DEMOCRATICO,64065
Concejo,SANTANDER,CONFINES,ASCENSION  VEGA SILVA,PARTIDO CENTRO DEMOCRATICO,64066
Concejo,SANTANDER,CONFINES,CAMPO ANIBAL GOMEZ ARDILA,PARTIDO CONSERVADOR COLOMBIANO,64070
Concejo,SANTANDER,CONFINES,CARLOS ARTURO SANCHEZ RODRIGUEZ,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,64084
Concejo,SANTANDER,CONFINES,EDISON FABIAN VERANO CHACON,PARTIDO LIBERAL COLOMBIANO,64057
Concejo,SANTANDER,CONFINES,EDY YOLANDA MUÑOZ RUEDA,PARTIDO CONSERVADOR COLOMBIANO,64075
Concejo,SANTANDER,CONFINES,EVANGELISTA  RODRIGUEZ QUINTERO,PARTIDO LIBERAL COLOMBIANO,64060
Concejo,SANTANDER,CONFINES,EVELIA  MORENO GARCIA,PARTIDO LIBERAL COLOMBIANO,64062
Concejo,SANTANDER,CONFINES,EYDER JULIAN MENDEZ TORRES,PARTIDO CAMBIO RADICAL,64080
Concejo,SANTANDER,CONFINES,JEHIBER JOSE CARREÑO ,PARTIDO CONSERVADOR COLOMBIANO,64076
Concejo,SANTANDER,CONFINES,JESUS ALBERTO PINZON MOYANO,PARTIDO CENTRO DEMOCRATICO,64063
Concejo,SANTANDER,CONFINES,JHON EDISSON CORREDOR FLOREZ,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,64087
Concejo,SANTANDER,CONFINES,JORGE ARMANDO URIBE RANGEL,PARTIDO LIBERAL COLOMBIANO,64056
Concejo,SANTANDER,CONFINES,JOSUE GERARDO NIÑO MESA,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,64085
Concejo,SANTANDER,CONFINES,JUAN CARLOS ACELAS VILLAMIZAR,PARTIDO CONSERVADOR COLOMBIANO,64072
Concejo,SANTANDER,CONFINES,LEYDI VIVIANA MELO HINESTROZA,PARTIDO CONSERVADOR COLOMBIANO,64071
Concejo,SANTANDER,CONFINES,LILIANA PAOLA ACEVEDO ARDILA,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,64089
Concejo,SANTANDER,CONFINES,LUIS FERNANDO ARENAS LOPEZ,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,64086
Concejo,SANTANDER,CONFINES,LUIS MIGUEL LARROTA RANGEL,PARTIDO CONSERVADOR COLOMBIANO,64074
Concejo,SANTANDER,CONFINES,MARIA DELIA PARRA BENAVIDES,PARTIDO CAMBIO RADICAL,64078
Concejo,SANTANDER,CONFINES,MARIELA  RAMIREZ ,PARTIDO CENTRO DEMOCRATICO,64068
Concejo,SANTANDER,CONFINES,MARLENY  MALDONADO SANTOS,PARTIDO LIBERAL COLOMBIANO,64061
Concejo,SANTANDER,CONFINES,MARTHA LUCIA CORTES ,PARTIDO CENTRO DEMOCRATICO,64067
Concejo,SANTANDER,CONFINES,NELSON ORLANDO COLMENARES CALDERON,PARTIDO CENTRO DEMOCRATICO,64064
Concejo,SANTANDER,CONFINES,NILSON  VELANDIA ARCHILA,PARTIDO LIBERAL COLOMBIANO,64058
Concejo,SANTANDER,CONFINES,OFELIA  RODRIGUEZ DIAZ,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,64090
Concejo,SANTANDER,CONFINES,OLGA YOLANDA PINTO MEJIA,PARTIDO CAMBIO RADICAL,64081
Concejo,SANTANDER,CONFINES,OSCAR  VERANO RIVERO,PARTIDO CENTRO DEMOCRATICO,64069
Concejo,SANTANDER,CONFINES,PAULA ANDREA ACEVEDO VARGAS,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,64088
Concejo,SANTANDER,CONFINES,RAMIRO  HERNANDEZ MARTINEZ,PARTIDO CAMBIO RADICAL,64077
Concejo,SANTANDER,CONFINES,ROBINSON  MENDEZ TRIANA,PARTIDO CAMBIO RADICAL,64082
Concejo,SANTANDER,CONFINES,ROSALBINA  SEPULVEDA RUEDA,PARTIDO CAMBIO RADICAL,64083
Concejo,SANTANDER,CONFINES,SERGIO ALBERTO LINARES MEDINA,PARTIDO CAMBIO RADICAL,64079
Concejo,SANTANDER,CONFINES,YANDY XILENA DUARTE REYES,PARTIDO LIBERAL COLOMBIANO,64059
