corp,dpto,mpio,name,party,wp_no
Concejo,SANTANDER,EL PEÑON,ANCISAR  GONZALEZ GONZALEZ,PARTIDO COLOMBIA JUSTA LIBRES,64756
Concejo,SANTANDER,EL PEÑON,ANDRES  BARAJAS QUIROGA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,64797
Concejo,SANTANDER,EL PEÑON,ARACELI  JEREZ CASTAÑEDA,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,64788
Concejo,SANTANDER,EL PEÑON,ARTURO  VARGAS HERNANDEZ,PARTIDO COLOMBIA JUSTA LIBRES,64754
Concejo,SANTANDER,EL PEÑON,BENEDICTO  ARIZA HERREÑO,PARTIDO CONSERVADOR COLOMBIANO,64767
Concejo,SANTANDER,EL PEÑON,BRIGADIEL  SERRANO MURILLO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,64802
Concejo,SANTANDER,EL PEÑON,CARLOS ANDRES PEÑA ARIZA,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,64785
Concejo,SANTANDER,EL PEÑON,CARMEN ALICIA HERNANDEZ SANTAMARIA,PARTIDO CONSERVADOR COLOMBIANO,64762
Concejo,SANTANDER,EL PEÑON,CARMEN OLIVA PARDO ARIZA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,64796
Concejo,SANTANDER,EL PEÑON,CIRO ANTONIO GALEANO CASTAÑEDA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,64800
Concejo,SANTANDER,EL PEÑON,DANIEL  MORENO VARGAS,PARTIDO CONSERVADOR COLOMBIANO,64764
Concejo,SANTANDER,EL PEÑON,DELFINA  MORENO ARIZA,PARTIDO CONSERVADOR COLOMBIANO,64766
Concejo,SANTANDER,EL PEÑON,DIANA PATRICIA JEREZ MONCADA,PARTIDO CAMBIO RADICAL,64776
Concejo,SANTANDER,EL PEÑON,ELDA MARIA MURILLO RENGIFO,PARTIDO CAMBIO RADICAL,64772
Concejo,SANTANDER,EL PEÑON,FLOR MARIA VARGAS ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,64798
Concejo,SANTANDER,EL PEÑON,GERARDO  JEREZ DUARTE,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,64787
Concejo,SANTANDER,EL PEÑON,GILBERTO  MOSQUERA DUARTE,PARTIDO LIBERAL COLOMBIANO,64752
Concejo,SANTANDER,EL PEÑON,GLORIA  VARGAS MOSQUERA,PARTIDO CONSERVADOR COLOMBIANO,64768
Concejo,SANTANDER,EL PEÑON,HECTOR HERNEY SANTAMARIA LOPEZ,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,64790
Concejo,SANTANDER,EL PEÑON,ILBA MARIA JEREZ MONCADA,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,64782
Concejo,SANTANDER,EL PEÑON,JAIRO  RUIZ VASQUEZ,PARTIDO CONSERVADOR COLOMBIANO,64763
Concejo,SANTANDER,EL PEÑON,JAIRO  VARGAS QUIROGA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,64795
Concejo,SANTANDER,EL PEÑON,JILMER FABIAN BARRERA DIAZ,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,64783
Concejo,SANTANDER,EL PEÑON,JORGE ELI MORALES ,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,64789
Concejo,SANTANDER,EL PEÑON,JOSE ANTONIO AREVALO MONCADA,PARTIDO CAMBIO RADICAL,64774
Concejo,SANTANDER,EL PEÑON,JOSE MIGUEL FANDIÑO SUAREZ,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,64791
Concejo,SANTANDER,EL PEÑON,JOSE NOEL GUIZA ARIZA,PARTIDO COLOMBIA JUSTA LIBRES,64758
Concejo,SANTANDER,EL PEÑON,JUAN ANDRES CAMACHO OLARTE,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,64784
Concejo,SANTANDER,EL PEÑON,JULIAN  GONZALEZ DUARTE,PARTIDO CONSERVADOR COLOMBIANO,64761
Concejo,SANTANDER,EL PEÑON,KAREN ANDREA BARRERA DIAZ,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,64793
Concejo,SANTANDER,EL PEÑON,LEIDY JOHANA ARIZA ARIZA,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,64786
Concejo,SANTANDER,EL PEÑON,LEONEL  GALEANO HERNANDEZ,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,64781
Concejo,SANTANDER,EL PEÑON,LUFAN ASUCENA MOSQUERA VEGA,PARTIDO COLOMBIA JUSTA LIBRES,64759
Concejo,SANTANDER,EL PEÑON,LUIS ANTONIO PATIÑO HERNANDEZ,PARTIDO CAMBIO RADICAL,64775
Concejo,SANTANDER,EL PEÑON,MARCO ANTONIO AGUILAR RUIZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,64803
Concejo,SANTANDER,EL PEÑON,MARIA LIGIA VELASCO OLAYA,PARTIDO COLOMBIA JUSTA LIBRES,64760
Concejo,SANTANDER,EL PEÑON,MARIA MAGDALENA PEÑA PARDO,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,64792
Concejo,SANTANDER,EL PEÑON,MIGUEL ANGEL MOSQUERA GUIZA,PARTIDO CAMBIO RADICAL,64778
Concejo,SANTANDER,EL PEÑON,MIGUEL ANGEL RUIZ GONZALEZ,PARTIDO CAMBIO RADICAL,64771
Concejo,SANTANDER,EL PEÑON,NANCY  HERNANDEZ CASTILLO,PARTIDO COLOMBIA JUSTA LIBRES,64755
Concejo,SANTANDER,EL PEÑON,OMAR  GUIZA VARGAS,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,64799
Concejo,SANTANDER,EL PEÑON,ONEIDA  ROJAS GUIZA,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,64780
Concejo,SANTANDER,EL PEÑON,ORLANDO DE JESUS SANCHEZ PEDROSA,PARTIDO CAMBIO RADICAL,64777
Concejo,SANTANDER,EL PEÑON,ROGELIO  VARGAS ARIZA,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,64779
Concejo,SANTANDER,EL PEÑON,ROQUE CELIO QUIROGA HERNANDEZ,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,64794
Concejo,SANTANDER,EL PEÑON,RUBEN DARIO QUIROGA VANEGAS,PARTIDO CONSERVADOR COLOMBIANO,64765
Concejo,SANTANDER,EL PEÑON,SALVADOR  RUIZ ,PARTIDO COLOMBIA JUSTA LIBRES,64757
Concejo,SANTANDER,EL PEÑON,TILCIA  VARGAS MORENO,PARTIDO CAMBIO RADICAL,64770
Concejo,SANTANDER,EL PEÑON,WILLIAM ANTONIO HERNANDEZ CASTILLO,PARTIDO CONSERVADOR COLOMBIANO,64769
Concejo,SANTANDER,EL PEÑON,WILMAR  MURCIA MOSQUERA,PARTIDO CAMBIO RADICAL,64773
Concejo,SANTANDER,EL PEÑON,YURLEY DAYANNA PARDO GALEANO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,64801
Concejo,SANTANDER,EL PEÑON,ZORAIDA  HERNANDEZ PARDO,PARTIDO LIBERAL COLOMBIANO,64753
