corp,dpto,mpio,name,party,wp_no
Concejo,SANTANDER,GUADALUPE,ALEJANDRO  MENDOZA RUGELES,PARTIDO CONSERVADOR COLOMBIANO,65619
Concejo,SANTANDER,GUADALUPE,ALEYDA  ROMERO RAMOS,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,65644
Concejo,SANTANDER,GUADALUPE,ANA MARIA AMOROCHO SANCHEZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,65643
Concejo,SANTANDER,GUADALUPE,ANA ROSA ASTRO PEREZ,PARTIDO CENTRO DEMOCRATICO,65612
Concejo,SANTANDER,GUADALUPE,ANGEL DAVID USEDA ARDILA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,65641
Concejo,SANTANDER,GUADALUPE,ARIEL  MOYANO MOSQUERA,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,65635
Concejo,SANTANDER,GUADALUPE,CARLOS ENRIQUE MEDINA FERRO,PARTIDO CONSERVADOR COLOMBIANO,65621
Concejo,SANTANDER,GUADALUPE,CLAUDIA LILIANA JIMENEZ ,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,65638
Concejo,SANTANDER,GUADALUPE,DEICY PAOLA VILLARREAL VEGA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,65645
Concejo,SANTANDER,GUADALUPE,DIEGO FERNANDO SERRANO TRASLAVIÑA,PARTIDO CENTRO DEMOCRATICO,65608
Concejo,SANTANDER,GUADALUPE,DORA INES GOMEZ ARDILA,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,65633
Concejo,SANTANDER,GUADALUPE,EDILZA MILENA REYES CRUZ,COLOMBIA HUMANA - UNIÓN PATRIÓTICA,65606
Concejo,SANTANDER,GUADALUPE,ELIECER  AGUILAR PLATA,PARTIDO CONSERVADOR COLOMBIANO,65618
Concejo,SANTANDER,GUADALUPE,ELKIN LEONARDO GOMEZ CARREÑO,PARTIDO CONSERVADOR COLOMBIANO,65623
Concejo,SANTANDER,GUADALUPE,EMILSEN  PAEZ FIGUEREDO,PARTIDO CENTRO DEMOCRATICO,65613
Concejo,SANTANDER,GUADALUPE,ESPERANZA  GIL PINZON,PARTIDO CONSERVADOR COLOMBIANO,65616
Concejo,SANTANDER,GUADALUPE,FERNANDO  PEÑUELA VARGAS,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,65639
Concejo,SANTANDER,GUADALUPE,FERNEL ORLANDO PINILLA ARCILA,PARTIDO CONSERVADOR COLOMBIANO,65617
Concejo,SANTANDER,GUADALUPE,FREDY  TORRES GALVIS,PARTIDO CENTRO DEMOCRATICO,65611
Concejo,SANTANDER,GUADALUPE,GESBAR  PICO GARCES,PARTIDO CAMBIO RADICAL,65626
Concejo,SANTANDER,GUADALUPE,GUILLERMO JACINTO CALDERON SANCHEZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,65646
Concejo,SANTANDER,GUADALUPE,HUMBERTO  RODRIGUEZ MEJIA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,65640
Concejo,SANTANDER,GUADALUPE,IRENARCO  CUADROS GARZON,PARTIDO CENTRO DEMOCRATICO,65615
Concejo,SANTANDER,GUADALUPE,JAIME  SUAREZ ,PARTIDO CENTRO DEMOCRATICO,65609
Concejo,SANTANDER,GUADALUPE,JORGE ARMANDO GALVIS VELASCO,COLOMBIA HUMANA - UNIÓN PATRIÓTICA,65603
Concejo,SANTANDER,GUADALUPE,LILIA CENAIDA RODRIGUEZ CELIS,COLOMBIA HUMANA - UNIÓN PATRIÓTICA,65607
Concejo,SANTANDER,GUADALUPE,LUCAS  CASTELLANOS ,COLOMBIA HUMANA - UNIÓN PATRIÓTICA,65605
Concejo,SANTANDER,GUADALUPE,LUIS ALEJANDRO SAAVEDRA FONSECA,PARTIDO CONSERVADOR COLOMBIANO,65624
Concejo,SANTANDER,GUADALUPE,LUIS CARLOS PLATA DELGADO,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,65634
Concejo,SANTANDER,GUADALUPE,LUIS DAVID BECERRA CASTELLANOS,PARTIDO CENTRO DEMOCRATICO,65614
Concejo,SANTANDER,GUADALUPE,LUIS ENRIQUE GARZON SIERRA,PARTIDO CAMBIO RADICAL,65628
Concejo,SANTANDER,GUADALUPE,MARCOS  ORTIZ MARTINEZ,PARTIDO CAMBIO RADICAL,65632
Concejo,SANTANDER,GUADALUPE,MARIA DELIA SILVA GARCIA,PARTIDO CAMBIO RADICAL,65629
Concejo,SANTANDER,GUADALUPE,MARIA ELVINIA MUÑOZ ARANDA,PARTIDO CONSERVADOR COLOMBIANO,65622
Concejo,SANTANDER,GUADALUPE,MARITZA  SAAVEDRA AGUIRRE,PARTIDO CAMBIO RADICAL,65625
Concejo,SANTANDER,GUADALUPE,MARTHA ELISA GOMEZ URIBE,PARTIDO CAMBIO RADICAL,65630
Concejo,SANTANDER,GUADALUPE,MIGUEL ANGEL CASTELLANOS CRUZ,PARTIDO CAMBIO RADICAL,65627
Concejo,SANTANDER,GUADALUPE,MIREYA  DUARTE MEJIA,PARTIDO CONSERVADOR COLOMBIANO,65620
Concejo,SANTANDER,GUADALUPE,NELSON FERLEY REYES CRUZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,65642
Concejo,SANTANDER,GUADALUPE,NICANOR  AYALA QUINTERO,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,65636
Concejo,SANTANDER,GUADALUPE,ORLANDO  MOYANO RAMOS,PARTIDO CAMBIO RADICAL,65631
Concejo,SANTANDER,GUADALUPE,PEDRO ALONSO SIERRA JAIMES,COLOMBIA HUMANA - UNIÓN PATRIÓTICA,65604
Concejo,SANTANDER,GUADALUPE,SAIRA YANETH LEAL ORTIZ,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,65637
Concejo,SANTANDER,GUADALUPE,SANDRA PATRICIA GARCES AGUIRRE,PARTIDO CENTRO DEMOCRATICO,65610
