corp,dpto,mpio,name,party,wp_no
Concejo,SANTANDER,GUAVATA,ALBEIRO  SANCHEZ CUBIDES,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,59511
Concejo,SANTANDER,GUAVATA,ALDEMAR  REYES VANEGAS,PARTIDO CONSERVADOR COLOMBIANO,59490
Concejo,SANTANDER,GUAVATA,ALEXANDER  ORTIZ PEÑA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,59513
Concejo,SANTANDER,GUAVATA,ANA EDILMA QUITIAN PEÑA,PARTIDO ALIANZA VERDE,59507
Concejo,SANTANDER,GUAVATA,ANA ELCY CRUZ GAMBA,PARTIDO CENTRO DEMOCRATICO,59485
Concejo,SANTANDER,GUAVATA,ANGELA MARIA PINZON BETANCUR,PARTIDO LIBERAL COLOMBIANO,59480
Concejo,SANTANDER,GUAVATA,ARCANGEL  ARDILA ,PARTIDO CAMBIO RADICAL,59497
Concejo,SANTANDER,GUAVATA,BERENICE  ROJAS ,PARTIDO LIBERAL COLOMBIANO,59482
Concejo,SANTANDER,GUAVATA,BLANCA DORIS SANCHEZ ,PARTIDO CONSERVADOR COLOMBIANO,59494
Concejo,SANTANDER,GUAVATA,BLANCA IRMA GARCIA RUEDA,PARTIDO ALIANZA VERDE,59506
Concejo,SANTANDER,GUAVATA,CAROLIPO  PEÑA PEÑA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,59514
Concejo,SANTANDER,GUAVATA,CLAUDIA YASMIN OTALORA VELASCO,PARTIDO CENTRO DEMOCRATICO,59486
Concejo,SANTANDER,GUAVATA,DUWIER FERNANDO RAMIREZ GUERRERO,PARTIDO POLO DEMOCRATICO ALTERNATIVO,59519
Concejo,SANTANDER,GUAVATA,ELKING HARVEY SANCHEZ PARRA,PARTIDO CAMBIO RADICAL,59499
Concejo,SANTANDER,GUAVATA,FLOR ELIS PEÑA ARIAS,PARTIDO CAMBIO RADICAL,59501
Concejo,SANTANDER,GUAVATA,FLOR HIZANA CASTIBLANCO BENAVIDES,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,59512
Concejo,SANTANDER,GUAVATA,FRANCISCO  HERNANDEZ VELASCO,PARTIDO CONSERVADOR COLOMBIANO,59495
Concejo,SANTANDER,GUAVATA,GONZALO  QUIROGA ARGUELLO,PARTIDO CENTRO DEMOCRATICO,59487
Concejo,SANTANDER,GUAVATA,HEYDA MARIA ESPITIA CALVERA,PARTIDO CONSERVADOR COLOMBIANO,59492
Concejo,SANTANDER,GUAVATA,JESUS ALBERTO ARGUELLEZ PINZON,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,59510
