corp,dpto,mpio,name,party,wp_no
Concejo,SANTANDER,LA BELLEZA,ADOLFO  MARIN QUITIAN,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,59687
Concejo,SANTANDER,LA BELLEZA,ALONSO  QUIROGA PEÑA,PARTIDO CENTRO DEMOCRATICO,59660
Concejo,SANTANDER,LA BELLEZA,ANGELINA AGRIPINA ROQUEME MORELO,PARTIDO CONSERVADOR COLOMBIANO,59676
Concejo,SANTANDER,LA BELLEZA,BERNABE  ZARATE HERNANDEZ,PARTIDO COLOMBIA JUSTA LIBRES,59666
Concejo,SANTANDER,LA BELLEZA,CARLOS GUSTAVO MARIN ORTIZ,PARTIDO CENTRO DEMOCRATICO,59663
Concejo,SANTANDER,LA BELLEZA,CESAR LEONARDO MARIN MARIN,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,59694
Concejo,SANTANDER,LA BELLEZA,CLODOMIRO  ROJAS QUIROGA,PARTIDO CONSERVADOR COLOMBIANO,59673
Concejo,SANTANDER,LA BELLEZA,CRISANTO  CRUZ MATEUS,PARTIDO CENTRO DEMOCRATICO,59657
Concejo,SANTANDER,LA BELLEZA,DAIRO SAMIR REYES FANDIÑO,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,59688
Concejo,SANTANDER,LA BELLEZA,DANIEL ROGERIO TELLEZ ROJAS,PARTIDO CAMBIO RADICAL,59677
Concejo,SANTANDER,LA BELLEZA,DORIS YANETH PEÑA ROJAS,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,59693
Concejo,SANTANDER,LA BELLEZA,EBER  GONZALEZ SANTAMARIA,PARTIDO CONSERVADOR COLOMBIANO,59672
Concejo,SANTANDER,LA BELLEZA,EDWAR ALBERTO PARRA ROJAS,PARTIDO ALIANZA VERDE,59682
Concejo,SANTANDER,LA BELLEZA,ERIKA ALEJANDRA PARRA SIERRA,PARTIDO CAMBIO RADICAL,59680
Concejo,SANTANDER,LA BELLEZA,ERNEY  ARDILA ,PARTIDO COLOMBIA JUSTA LIBRES,59665
Concejo,SANTANDER,LA BELLEZA,GLADIS INES PINILLA BOGOYA,PARTIDO CENTRO DEMOCRATICO,59658
Concejo,SANTANDER,LA BELLEZA,GUILLERMO  PINEDA MARIN,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,59696
Concejo,SANTANDER,LA BELLEZA,GUSTAVO ARLEY PEREZ GONZALEZ,PARTIDO CONSERVADOR COLOMBIANO,59670
Concejo,SANTANDER,LA BELLEZA,JORGE ANDREY MARIN GOMEZ,PARTIDO CENTRO DEMOCRATICO,59656
Concejo,SANTANDER,LA BELLEZA,LEON DANEY SALAZAR HERNANDEZ,PARTIDO CENTRO DEMOCRATICO,59662
Concejo,SANTANDER,LA BELLEZA,LUCILA  RUEDA PEREZ,PARTIDO CENTRO DEMOCRATICO,59659
