corp,dpto,mpio,name,party,wp_no
Concejo,SANTANDER,LANDAZURI,ALBEIRO  FONTECHA GARCIA,PARTIDO CONSERVADOR COLOMBIANO,59750
Concejo,SANTANDER,LANDAZURI,ALFONSO  CRUZ MATEUS,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,59782
Concejo,SANTANDER,LANDAZURI,ALMIRCAR  RODRIGUEZ VEGA,PARTIDO COLOMBIA RENACIENTE,59736
Concejo,SANTANDER,LANDAZURI,ANA LUCIA HIGUERA PINZON,PARTIDO CONSERVADOR COLOMBIANO,59753
Concejo,SANTANDER,LANDAZURI,ANA LUCIA SANTAMARIA TORRES,PARTIDO COLOMBIA RENACIENTE,59733
Concejo,SANTANDER,LANDAZURI,ANDERSON  GALEANO CAMPOS,PARTIDO CAMBIO RADICAL,59770
Concejo,SANTANDER,LANDAZURI,ANGIE LORENA RUIZ RODRIGUEZ,PARTIDO ALIANZA VERDE,59779
Concejo,SANTANDER,LANDAZURI,ARIEL  HERNANDEZ NARANJO,PARTIDO COLOMBIA RENACIENTE,59735
Concejo,SANTANDER,LANDAZURI,ARMANDO  GUIZA BARRERA,PARTIDO CAMBIO RADICAL,59769
Concejo,SANTANDER,LANDAZURI,ARNULFO  DUARTE MURCIA,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,59719
Concejo,SANTANDER,LANDAZURI,AURELIO  GARCIA JIMENEZ,PARTIDO ADA,59748
Concejo,SANTANDER,LANDAZURI,BELLANIDES  QUIROGA ARIZA,PARTIDO LIBERAL COLOMBIANO,59702
Concejo,SANTANDER,LANDAZURI,BLANCA MERY MENDOZA MENDOZA,PARTIDO CONSERVADOR COLOMBIANO,59759
Concejo,SANTANDER,LANDAZURI,BLANCA NIDIA SANTAMARIA FLOREZ,PARTIDO CENTRO DEMOCRATICO,59710
Concejo,SANTANDER,LANDAZURI,CARLOS JULIO HERREÑO NOVA,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,59721
Concejo,SANTANDER,LANDAZURI,CARMEN ELISA GAMBOA ROA,PARTIDO ADA,59746
Concejo,SANTANDER,LANDAZURI,CENAIDA  PATIÑO FIGUEROA,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,59722
