corp,dpto,mpio,name,party,wp_no
Concejo,SANTANDER,MOLAGAVITA,ANA ROSA DUARTE SOTO,PARTIDO CENTRO DEMOCRATICO,60588
Concejo,SANTANDER,MOLAGAVITA,ANGEL RODOLFO RAMIREZ ARCHILA,PARTIDO CENTRO DEMOCRATICO,60590
Concejo,SANTANDER,MOLAGAVITA,CARLOS VICENTE CAMACHO BARAJAS,PARTIDO CENTRO DEMOCRATICO,60594
Concejo,SANTANDER,MOLAGAVITA,CENAIDA  LEON RAMIREZ,PARTIDO CONSERVADOR COLOMBIANO,60598
Concejo,SANTANDER,MOLAGAVITA,CLAUDIA MARLEY CARVAJAL FLOREZ,PARTIDO ALIANZA VERDE,60604
Concejo,SANTANDER,MOLAGAVITA,DENNIS YESID ROJAS RINCON,PARTIDO ALIANZA VERDE,60605
Concejo,SANTANDER,MOLAGAVITA,EDILSON  RODRIGUEZ GUEVARA,PARTIDO CONSERVADOR COLOMBIANO,60601
Concejo,SANTANDER,MOLAGAVITA,ELIZABETH  ANAYA VARGAS,PARTIDO ALIANZA VERDE,60609
Concejo,SANTANDER,MOLAGAVITA,EMMA JALITH REATEGUI HERNANDEZ,PARTIDO CENTRO DEMOCRATICO,60587
Concejo,SANTANDER,MOLAGAVITA,GLADIS CECILIA RAMIREZ RODRIGUEZ,PARTIDO CONSERVADOR COLOMBIANO,60600
Concejo,SANTANDER,MOLAGAVITA,HELIODORO  DIAZ VARGAS,PARTIDO ALIANZA VERDE,60610
Concejo,SANTANDER,MOLAGAVITA,HERNEY ORLANDO CARVAJAL ,PARTIDO ALIANZA VERDE,60607
Concejo,SANTANDER,MOLAGAVITA,INDIRA MILADY RINCON BARRERA,PARTIDO ALIANZA VERDE,60606
Concejo,SANTANDER,MOLAGAVITA,JESUS MARTIN MEDINA RAMIREZ,PARTIDO CONSERVADOR COLOMBIANO,60599
Concejo,SANTANDER,MOLAGAVITA,JOSE DANIEL SANCHEZ ALVARADO,PARTIDO CONSERVADOR COLOMBIANO,60602
Concejo,SANTANDER,MOLAGAVITA,LUIS ARNULFO RAMIREZ LOPEZ,PARTIDO CONSERVADOR COLOMBIANO,60603
Concejo,SANTANDER,MOLAGAVITA,MANUEL  LEON HERNANDEZ,PARTIDO CENTRO DEMOCRATICO,60591
Concejo,SANTANDER,MOLAGAVITA,MARGARITA ROSA RAMIREZ VARGAS,PARTIDO ALIANZA VERDE,60608
Concejo,SANTANDER,MOLAGAVITA,NANCY  ARGUELLO RANGEL,PARTIDO CENTRO DEMOCRATICO,60589
Concejo,SANTANDER,MOLAGAVITA,NELSON ENRIQUE ARGUELLO PEÑARANDA,PARTIDO CENTRO DEMOCRATICO,60592
Concejo,SANTANDER,MOLAGAVITA,PABLO ANTONIO OVIEDO DIAZ,PARTIDO CENTRO DEMOCRATICO,60593
Concejo,SANTANDER,MOLAGAVITA,RAMON  SUAREZ GUALDRON,PARTIDO CONSERVADOR COLOMBIANO,60597
Concejo,SANTANDER,MOLAGAVITA,SANDRA MILENA DIAZ SANTAMARIA,PARTIDO CONSERVADOR COLOMBIANO,60596
Concejo,SANTANDER,MOLAGAVITA,VICTOR MARIO ANAYA CASTELLANOS,PARTIDO CONSERVADOR COLOMBIANO,60595
