corp,dpto,mpio,name,party,wp_no
Concejo,SANTANDER,OCAMONTE,ADRIANA LUCIA GALINDO LIZARAZO,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,60642
Concejo,SANTANDER,OCAMONTE,ALBERTO  MELGAREJO SILVA,PARTIDO CONSERVADOR COLOMBIANO,60630
Concejo,SANTANDER,OCAMONTE,ALVARO  SALAZAR PORRAS,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,60638
Concejo,SANTANDER,OCAMONTE,ANA DE DIOS CHACON NIÑO,PARTIDO CENTRO DEMOCRATICO,60618
Concejo,SANTANDER,OCAMONTE,ANDRES FERNANDO MANCILLA LOPEZ,PARTIDO CONSERVADOR COLOMBIANO,60624
Concejo,SANTANDER,OCAMONTE,ANGEL OCTAVIO FUENTES MARIN,PARTIDO ALIANZA VERDE,60635
Concejo,SANTANDER,OCAMONTE,ANGI JOHANNA BUITRAGO JIMENEZ,PARTIDO LIBERAL COLOMBIANO,60613
Concejo,SANTANDER,OCAMONTE,ARTURO  FONSECA RIOS,PARTIDO LIBERAL COLOMBIANO,60614
Concejo,SANTANDER,OCAMONTE,BENEDICTO  PILONIETA ARAQUE,PARTIDO LIBERAL COLOMBIANO,60611
Concejo,SANTANDER,OCAMONTE,BENITO  MALDONADO CASTILLO,PARTIDO ALIANZA VERDE,60637
Concejo,SANTANDER,OCAMONTE,BLANCA FLOR VARGAS FUENTES,PARTIDO ALIANZA VERDE,60632
Concejo,SANTANDER,OCAMONTE,CARLOS  ARENAS MURILLO,PARTIDO LIBERAL COLOMBIANO,60617
Concejo,SANTANDER,OCAMONTE,CIRO ANTONIO MORENO LOPEZ,PARTIDO ALIANZA VERDE,60636
Concejo,SANTANDER,OCAMONTE,CLAUDIA AZUCENA ARAQUE ,PARTIDO CENTRO DEMOCRATICO,60619
Concejo,SANTANDER,OCAMONTE,DEISY YANETH SANABRIA BENAVIDES,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,60648
Concejo,SANTANDER,OCAMONTE,DIONICIO  DIAZ RODRIGUEZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,60647
Concejo,SANTANDER,OCAMONTE,EDUARDO  SANTOS ARDILA,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,60644
Concejo,SANTANDER,OCAMONTE,ELIANA  CASTILLO MARIN,PARTIDO LIBERAL COLOMBIANO,60612
Concejo,SANTANDER,OCAMONTE,ELIZABETH  MEJIA ARENAS,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,60649
Concejo,SANTANDER,OCAMONTE,EVANGELINA  PEREIRA CASTILLO,PARTIDO LIBERAL COLOMBIANO,60616
Concejo,SANTANDER,OCAMONTE,ISMAEL  ARENAS LOPEZ,PARTIDO CENTRO DEMOCRATICO,60620
Concejo,SANTANDER,OCAMONTE,JORGE LEONARDO ZABALA SANTOS,PARTIDO CONSERVADOR COLOMBIANO,60625
Concejo,SANTANDER,OCAMONTE,LEONARDO  CARVAJAL SANTOS,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,60645
Concejo,SANTANDER,OCAMONTE,LINA MARCELA GONZALEZ VALENCIA,PARTIDO ALIANZA VERDE,60633
Concejo,SANTANDER,OCAMONTE,LIZETH  CORDON COBOS,PARTIDO ALIANZA VERDE,60631
Concejo,SANTANDER,OCAMONTE,LUIS EDUARDO MEJIA PINZON,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,60639
Concejo,SANTANDER,OCAMONTE,LUIS EMILIO SANTOS CAMACHO,PARTIDO CENTRO DEMOCRATICO,60621
Concejo,SANTANDER,OCAMONTE,LUIS JOSE SANTOS CHACON,PARTIDO LIBERAL COLOMBIANO,60615
Concejo,SANTANDER,OCAMONTE,MANUEL ROBERTO PILONIETA SILVA,PARTIDO CENTRO DEMOCRATICO,60622
Concejo,SANTANDER,OCAMONTE,MARCOLINO  GOMEZ RIOS,PARTIDO CONSERVADOR COLOMBIANO,60628
Concejo,SANTANDER,OCAMONTE,MARIA CRISTINA BUENO MANTILLA,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,60641
Concejo,SANTANDER,OCAMONTE,MARIA NATALIA ARAQUE BARON,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,60643
Concejo,SANTANDER,OCAMONTE,MARY LUZ ROJAS SANTOS,PARTIDO CONSERVADOR COLOMBIANO,60629
Concejo,SANTANDER,OCAMONTE,MILTON JOHAN FREDY DUARTE PINZON,PARTIDO CENTRO DEMOCRATICO,60623
Concejo,SANTANDER,OCAMONTE,NAYIBE ALEYDA BAUTISTA MURILLO,PARTIDO CONSERVADOR COLOMBIANO,60626
Concejo,SANTANDER,OCAMONTE,NELSON EDUARDO REYES SILVA,PARTIDO ALIANZA VERDE,60634
Concejo,SANTANDER,OCAMONTE,RAMON  RIVERO CHACON,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,60646
Concejo,SANTANDER,OCAMONTE,SAMUEL  CRISTANCHO ARAQUE,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,60640
Concejo,SANTANDER,OCAMONTE,SANDRA PATRICIA OROZCO CRUZ,PARTIDO CONSERVADOR COLOMBIANO,60627
