corp,dpto,mpio,name,party,wp_no
Concejo,SANTANDER,PALMAR,ADRIAN  CALDERON OSORIO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,60783
Concejo,SANTANDER,PALMAR,ALEXANDER  SUAREZ CALA,PARTIDO CENTRO DEMOCRATICO,60768
Concejo,SANTANDER,PALMAR,BRIGIDA  PARRA FRANCO,PARTIDO FUERZA ALTERNATIVA REVOLUCIONARIA DEL COMUN FARC,60774
Concejo,SANTANDER,PALMAR,CESAR  CALA CALA,PARTIDO FUERZA ALTERNATIVA REVOLUCIONARIA DEL COMUN FARC,60771
Concejo,SANTANDER,PALMAR,DORA LUCILA REYES BARBOSA,PARTIDO ALIANZA VERDE,60777
Concejo,SANTANDER,PALMAR,EFRAIN FRANCISCO RONDON CALA,PARTIDO ALIANZA VERDE,60778
Concejo,SANTANDER,PALMAR,ELIAS  TRASLAVIÑA CALA,PARTIDO CENTRO DEMOCRATICO,60770
Concejo,SANTANDER,PALMAR,GERARDO ALBERTO GONZALEZ PORRAS,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,60788
Concejo,SANTANDER,PALMAR,GILBERTO  DIAZ VEGA,PARTIDO ALIANZA VERDE,60781
Concejo,SANTANDER,PALMAR,GLORIA INES SANMIGUEL PEREZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,60786
Concejo,SANTANDER,PALMAR,GUILLERMO  AYALA TORRES,PARTIDO CENTRO DEMOCRATICO,60764
Concejo,SANTANDER,PALMAR,ISMAEL  OSORIO CALA,PARTIDO LIBERAL COLOMBIANO,60761
Concejo,SANTANDER,PALMAR,ISMENIA  CALA PADILLA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,60784
Concejo,SANTANDER,PALMAR,JOSE HORACIO VEGA GONZALEZ,PARTIDO LIBERAL COLOMBIANO,60757
Concejo,SANTANDER,PALMAR,KAROL MELISA CALA SANCHEZ,PARTIDO CENTRO DEMOCRATICO,60767
Concejo,SANTANDER,PALMAR,LIBARDO  DUARTE RAMIREZ,PARTIDO CENTRO DEMOCRATICO,60766
Concejo,SANTANDER,PALMAR,LINA YADIRA VEGA VARGAS,PARTIDO LIBERAL COLOMBIANO,60762
Concejo,SANTANDER,PALMAR,LUIS EDUARDO RINCON CALA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,60787
Concejo,SANTANDER,PALMAR,LUIS FERNANDO OROSTEGUI BAUTISTA,PARTIDO LIBERAL COLOMBIANO,60759
Concejo,SANTANDER,PALMAR,MARIA EMILCEN PIMENTEL ,PARTIDO FUERZA ALTERNATIVA REVOLUCIONARIA DEL COMUN FARC,60775
Concejo,SANTANDER,PALMAR,MARIA ESTHELA AMAYA QUINTERO,PARTIDO LIBERAL COLOMBIANO,60758
Concejo,SANTANDER,PALMAR,MARIA INES ARDILA CALDERON,PARTIDO CENTRO DEMOCRATICO,60765
Concejo,SANTANDER,PALMAR,MARLEIDY  CALA CALDERON,PARTIDO ALIANZA VERDE,60780
Concejo,SANTANDER,PALMAR,MARTHA  DELGADO MONSALVE,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,60782
Concejo,SANTANDER,PALMAR,MARTHA ISABEL CALA RUEDA,PARTIDO ALIANZA VERDE,60779
Concejo,SANTANDER,PALMAR,MILTON ANGEL AMAYA CALA,PARTIDO FUERZA ALTERNATIVA REVOLUCIONARIA DEL COMUN FARC,60772
Concejo,SANTANDER,PALMAR,PEDRO  CALA SANCHEZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,60785
Concejo,SANTANDER,PALMAR,RAMIRO  CALA CALA,PARTIDO FUERZA ALTERNATIVA REVOLUCIONARIA DEL COMUN FARC,60776
Concejo,SANTANDER,PALMAR,SANDRA  SUAREZ CALA,PARTIDO FUERZA ALTERNATIVA REVOLUCIONARIA DEL COMUN FARC,60773
Concejo,SANTANDER,PALMAR,SILVIA JULIANA FORERO ARCINIEGAS,PARTIDO CENTRO DEMOCRATICO,60769
Concejo,SANTANDER,PALMAR,YECENIA  CALA SERRANO,PARTIDO LIBERAL COLOMBIANO,60760
Concejo,SANTANDER,PALMAR,YEISON OSWALDO CALA DELGADO,PARTIDO LIBERAL COLOMBIANO,60763
