corp,dpto,mpio,name,party,wp_no
Concejo,SANTANDER,PALMAS DEL SOCORRO,ABRAHAM  GOMEZ RIVERA,PARTIDO CONSERVADOR COLOMBIANO,60803
Concejo,SANTANDER,PALMAS DEL SOCORRO,ANA MILENA SANTOS SERRANO,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,60824
Concejo,SANTANDER,PALMAS DEL SOCORRO,AURELIANO  LEON NOVA,PARTIDO LIBERAL COLOMBIANO,60789
Concejo,SANTANDER,PALMAS DEL SOCORRO,BERNARDO  ROMERO SERRANO,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,60817
Concejo,SANTANDER,PALMAS DEL SOCORRO,CAMILO  NIÑO ZARATE,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,60836
Concejo,SANTANDER,PALMAS DEL SOCORRO,CARLOS ALBERTO FLOREZ SEPULVEDA,PARTIDO CENTRO DEMOCRATICO,60797
Concejo,SANTANDER,PALMAS DEL SOCORRO,CARLOS ANDRES SARMIENTO FERREIRA,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,60830
Concejo,SANTANDER,PALMAS DEL SOCORRO,CRISTIAN JHON CRUZ CARDENAS,PARTIDO CAMBIO RADICAL,60811
Concejo,SANTANDER,PALMAS DEL SOCORRO,DEICY CLEMENCIA RUBIO DE QUINTANILLA,PARTIDO CAMBIO RADICAL,60814
Concejo,SANTANDER,PALMAS DEL SOCORRO,DEISY VIVIANA CENTENO GRANADOS,PARTIDO CAMBIO RADICAL,60812
Concejo,SANTANDER,PALMAS DEL SOCORRO,DIANA MARCELA MEJIA PARRA,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,60827
Concejo,SANTANDER,PALMAS DEL SOCORRO,DUVAN  CALA FONSECA,PARTIDO LIBERAL COLOMBIANO,60795
Concejo,SANTANDER,PALMAS DEL SOCORRO,ELSON VIRGILIO ALARCON MUÑOZ,PARTIDO CAMBIO RADICAL,60816
Concejo,SANTANDER,PALMAS DEL SOCORRO,ERIKA DAYANNA MONSALVE MEJIA,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,60829
Concejo,SANTANDER,PALMAS DEL SOCORRO,ESTHER  MELENDEZ GOMEZ,PARTIDO CENTRO DEMOCRATICO,60800
Concejo,SANTANDER,PALMAS DEL SOCORRO,EZEQUIEL ANDRES PARRA VELASQUEZ,PARTIDO LIBERAL COLOMBIANO,60790
Concejo,SANTANDER,PALMAS DEL SOCORRO,GIOVANI ALBERTO MARTINEZ TOLOZA,PARTIDO CAMBIO RADICAL,60815
Concejo,SANTANDER,PALMAS DEL SOCORRO,HENRRY  ROJAS MORALES,PARTIDO CAMBIO RADICAL,60813
Concejo,SANTANDER,PALMAS DEL SOCORRO,HENRY  NIÑO MARTINEZ,PARTIDO CONSERVADOR COLOMBIANO,60807
Concejo,SANTANDER,PALMAS DEL SOCORRO,HERIBERTO  GONZALEZ GARNICA,PARTIDO CONSERVADOR COLOMBIANO,60809
Concejo,SANTANDER,PALMAS DEL SOCORRO,JAIME  ANGARITA VILLARREAL,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,60826
Concejo,SANTANDER,PALMAS DEL SOCORRO,JANETH  PRIETO ,PARTIDO CENTRO DEMOCRATICO,60802
Concejo,SANTANDER,PALMAS DEL SOCORRO,JAVIER ARMANDO ACEVEDO SANTOS,PARTIDO CENTRO DEMOCRATICO,60799
Concejo,SANTANDER,PALMAS DEL SOCORRO,JOAQUIN EDUARDO CRISTANCHO DUARTE,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,60821
Concejo,SANTANDER,PALMAS DEL SOCORRO,JOHANA PATRICIA AGREDO RINCON,PARTIDO CENTRO DEMOCRATICO,60801
Concejo,SANTANDER,PALMAS DEL SOCORRO,JORGE  ORTIZ CALDERON,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,60819
Concejo,SANTANDER,PALMAS DEL SOCORRO,JUAN CARLOS ACELAS PINZON,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,60834
Concejo,SANTANDER,PALMAS DEL SOCORRO,JULIO ALBERTO PRIETO ,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,60828
Concejo,SANTANDER,PALMAS DEL SOCORRO,LAURA KATALINA CASTRO GONZALEZ,PARTIDO LIBERAL COLOMBIANO,60794
Concejo,SANTANDER,PALMAS DEL SOCORRO,LIGIA  DURAN OROZCO,PARTIDO CENTRO DEMOCRATICO,60798
Concejo,SANTANDER,PALMAS DEL SOCORRO,LUZ AMANDA VALLEJO GRANDAS,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,60822
Concejo,SANTANDER,PALMAS DEL SOCORRO,LUZ YANETH ACELAS PINZON,PARTIDO CAMBIO RADICAL,60810
Concejo,SANTANDER,PALMAS DEL SOCORRO,MARIA ANGELICA FLOREZ ALVAREZ,PARTIDO CONSERVADOR COLOMBIANO,60808
Concejo,SANTANDER,PALMAS DEL SOCORRO,MARIA CAMILA SARMIENTO NORIEGA,PARTIDO LIBERAL COLOMBIANO,60793
Concejo,SANTANDER,PALMAS DEL SOCORRO,MARIA CAROLINA GUAITERO ESTEVEZ,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,60820
Concejo,SANTANDER,PALMAS DEL SOCORRO,MARIA LEONOR VELASQUEZ ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,60835
Concejo,SANTANDER,PALMAS DEL SOCORRO,MARIA XIMENA SILVA GOMEZ,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,60818
Concejo,SANTANDER,PALMAS DEL SOCORRO,NANCY FABIOLA DURAN GALVIS,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,60823
Concejo,SANTANDER,PALMAS DEL SOCORRO,NANCY YANETH QUIROGA CIFUENTES,PARTIDO CONSERVADOR COLOMBIANO,60806
Concejo,SANTANDER,PALMAS DEL SOCORRO,NICOLAS  LIZARAZO PINTO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,60833
Concejo,SANTANDER,PALMAS DEL SOCORRO,NUBIA STELLA TORRES MONTERO,PARTIDO CONSERVADOR COLOMBIANO,60804
Concejo,SANTANDER,PALMAS DEL SOCORRO,RAFAEL CUSTODIO RUIZ CARDENAS,PARTIDO CENTRO DEMOCRATICO,60796
Concejo,SANTANDER,PALMAS DEL SOCORRO,SERAFIN  CORTES RUIZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,60831
Concejo,SANTANDER,PALMAS DEL SOCORRO,SERGIO FRANCISCO TRIANA HERNANDEZ,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,60825
Concejo,SANTANDER,PALMAS DEL SOCORRO,SOL CLARA INES SUAREZ URIBE,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,60832
Concejo,SANTANDER,PALMAS DEL SOCORRO,YEISON  OSORIO GARZON,PARTIDO CONSERVADOR COLOMBIANO,117917
Concejo,SANTANDER,PALMAS DEL SOCORRO,YENNIFER PAOLA DAVILA BUITRAGO,PARTIDO LIBERAL COLOMBIANO,60791
