corp,dpto,mpio,name,party,wp_no
Concejo,SANTANDER,PINCHOTE,ALDRUVAN  MUÑOZ URIBE,PARTIDO CAMBIO RADICAL,61190
Concejo,SANTANDER,PINCHOTE,ALVARO  ORTIZ ROMERO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,61195
Concejo,SANTANDER,PINCHOTE,ANA JESUS GARAVITO CHACON,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,61194
Concejo,SANTANDER,PINCHOTE,ANAIS ELVIRA DURAN GARNICA,PARTIDO LIBERAL COLOMBIANO,61175
Concejo,SANTANDER,PINCHOTE,ARNOLD  NEIRA CARREÑO,PARTIDO LIBERAL COLOMBIANO,61176
Concejo,SANTANDER,PINCHOTE,BENJAMIN  PARRA VELASQUEZ,PARTIDO CENTRO DEMOCRATICO,61182
Concejo,SANTANDER,PINCHOTE,CARLOS ALBERTO RODRIGUEZ MONTERO,PARTIDO CAMBIO RADICAL,61186
Concejo,SANTANDER,PINCHOTE,DIANA CAROLINA SARMIENTO VERDUGO,PARTIDO LIBERAL COLOMBIANO,61174
Concejo,SANTANDER,PINCHOTE,DIANA CATALINA CRUZ SARMIENTO,PARTIDO CAMBIO RADICAL,61189
Concejo,SANTANDER,PINCHOTE,DINA MAGALI MARTINEZ RUIZ,PARTIDO CAMBIO RADICAL,61187
Concejo,SANTANDER,PINCHOTE,DORIS  RODRIGUEZ RODRIGUEZ,PARTIDO LIBERAL COLOMBIANO,61177
Concejo,SANTANDER,PINCHOTE,EDGAR ADRIAN ORTIZ CARREÑO,PARTIDO CENTRO DEMOCRATICO,61180
Concejo,SANTANDER,PINCHOTE,ERIKA BIBIANA SILVA AVENDAÑO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,61191
Concejo,SANTANDER,PINCHOTE,FLOR MARIA GARCIA LOPEZ,PARTIDO CAMBIO RADICAL,61188
Concejo,SANTANDER,PINCHOTE,FREDY OMAR MUÑOZ DAZA,PARTIDO CENTRO DEMOCRATICO,61179
Concejo,SANTANDER,PINCHOTE,GUSTAVO ENRIQUE DIAZ ,PARTIDO LIBERAL COLOMBIANO,61172
Concejo,SANTANDER,PINCHOTE,JAIRO  QUINTERO DURAN,PARTIDO LIBERAL COLOMBIANO,61171
Concejo,SANTANDER,PINCHOTE,JHON JAIR MENESES ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,61192
Concejo,SANTANDER,PINCHOTE,MAYERLY YARITH LOPEZ ORTIZ,PARTIDO CENTRO DEMOCRATICO,61183
Concejo,SANTANDER,PINCHOTE,MIGUEL ANGEL ROJAS VARGAS,PARTIDO CENTRO DEMOCRATICO,61178
Concejo,SANTANDER,PINCHOTE,OLGA LILIANA DIAZ ROMERO,PARTIDO CENTRO DEMOCRATICO,61181
Concejo,SANTANDER,PINCHOTE,ORLANDO  DURAN QUINTERO,PARTIDO CAMBIO RADICAL,61184
Concejo,SANTANDER,PINCHOTE,OSCAR ALBERTO CONTRERAS ARCINIEGAS,PARTIDO CAMBIO RADICAL,61185
Concejo,SANTANDER,PINCHOTE,OSCAR MAURICIO BONILLA RAMIREZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,61193
Concejo,SANTANDER,PINCHOTE,SERGIO ARMANDO RODRIGUEZ CALDERON,PARTIDO LIBERAL COLOMBIANO,61173
