corp,dpto,mpio,name,party,wp_no
Concejo,SANTANDER,SAN JOAQUIN,ANA CEILA BLANCO VELANDIA,PARTIDO CENTRO DEMOCRATICO,62020
Concejo,SANTANDER,SAN JOAQUIN,BLANCA MERY DURAN DE ALMEIDA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,62045
Concejo,SANTANDER,SAN JOAQUIN,DIANA KATHERINE SIERRA OLARTE,PARTIDO CENTRO DEMOCRATICO,62025
Concejo,SANTANDER,SAN JOAQUIN,EDILMA  CASTRO MANRIQUE,PARTIDO CAMBIO RADICAL,62035
Concejo,SANTANDER,SAN JOAQUIN,EDINSON  GUERRERO ,PARTIDO CONSERVADOR COLOMBIANO,62033
Concejo,SANTANDER,SAN JOAQUIN,EDWIN GUILLERMO QUIROGA BECERRA,PARTIDO CONSERVADOR COLOMBIANO,62032
Concejo,SANTANDER,SAN JOAQUIN,ELENA MARIA SOLER PEREZ,PARTIDO LIBERAL COLOMBIANO,62019
Concejo,SANTANDER,SAN JOAQUIN,FABIO ISNARDO ALFONSO PINTO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,62044
Concejo,SANTANDER,SAN JOAQUIN,FREDY NORBERTO RAMIREZ DIAZ,PARTIDO CONSERVADOR COLOMBIANO,62027
Concejo,SANTANDER,SAN JOAQUIN,GILBERTO  LEYVA RAMIREZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,62047
Concejo,SANTANDER,SAN JOAQUIN,GLADYS HELENA ESTUPIÑAN NIÑO,PARTIDO CONSERVADOR COLOMBIANO,62031
Concejo,SANTANDER,SAN JOAQUIN,HAIVER ERNESTO MERCHAN MERCHAN,PARTIDO CAMBIO RADICAL,62037
Concejo,SANTANDER,SAN JOAQUIN,HENRY  GARNICA PINTO,PARTIDO LIBERAL COLOMBIANO,62018
Concejo,SANTANDER,SAN JOAQUIN,JORGE OCTAVIO DIAZ APARICIO,PARTIDO LIBERAL COLOMBIANO,62013
Concejo,SANTANDER,SAN JOAQUIN,JOSE HORACIO NAVAS GARZON,PARTIDO CAMBIO RADICAL,62040
Concejo,SANTANDER,SAN JOAQUIN,JOSE MANUEL AYALA ALVAREZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,62042
Concejo,SANTANDER,SAN JOAQUIN,JOSE ROBERTO CASTRO CACERES,PARTIDO LIBERAL COLOMBIANO,62016
Concejo,SANTANDER,SAN JOAQUIN,LIBARDO  ACOSTA RAMIREZ,PARTIDO CENTRO DEMOCRATICO,62021
Concejo,SANTANDER,SAN JOAQUIN,LUIS EMILIO RUEDA ,PARTIDO CAMBIO RADICAL,62039
Concejo,SANTANDER,SAN JOAQUIN,LUZ MILA PINTO QUINTERO,PARTIDO LIBERAL COLOMBIANO,62014
Concejo,SANTANDER,SAN JOAQUIN,MARIA ISABEL VELANDIA ,PARTIDO CONSERVADOR COLOMBIANO,62029
Concejo,SANTANDER,SAN JOAQUIN,MARTHA LUCIA SUAREZ SANDOVAL,PARTIDO CAMBIO RADICAL,62036
Concejo,SANTANDER,SAN JOAQUIN,MELQUIADES  ALFONSO OVIEDO,PARTIDO CENTRO DEMOCRATICO,62022
Concejo,SANTANDER,SAN JOAQUIN,MONICA ALEXANDRA DIAZ RINCON,PARTIDO LIBERAL COLOMBIANO,62015
Concejo,SANTANDER,SAN JOAQUIN,NELSY  MUÑOZ GARCIA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,62046
Concejo,SANTANDER,SAN JOAQUIN,OMAIRA  PINTO GUALDRON,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,62043
Concejo,SANTANDER,SAN JOAQUIN,PEDRO JOSE ESTUPIÑAN ALVAREZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,62041
Concejo,SANTANDER,SAN JOAQUIN,SEVERIANO  SIERRA JIMENEZ,PARTIDO CONSERVADOR COLOMBIANO,62028
Concejo,SANTANDER,SAN JOAQUIN,SONIA  AGUILAR PINTO,PARTIDO CENTRO DEMOCRATICO,62023
Concejo,SANTANDER,SAN JOAQUIN,SONIA MILENA ROJAS RAMIREZ,PARTIDO CAMBIO RADICAL,62038
Concejo,SANTANDER,SAN JOAQUIN,ULPIANO  RIVEROS PAREDES,PARTIDO CAMBIO RADICAL,62034
Concejo,SANTANDER,SAN JOAQUIN,WILLIAM  ORTIZ ESLAVA,PARTIDO CENTRO DEMOCRATICO,62024
Concejo,SANTANDER,SAN JOAQUIN,YAMILE  ALFONSO RUEDA,PARTIDO CONSERVADOR COLOMBIANO,62030
Concejo,SANTANDER,SAN JOAQUIN,YERSON ANDRES ARENALES RAMIREZ,PARTIDO LIBERAL COLOMBIANO,62017
Concejo,SANTANDER,SAN JOAQUIN,YESID SCHNEIDER TARAZONA PRADA,PARTIDO CENTRO DEMOCRATICO,62026
