corp,dpto,mpio,name,party,wp_no
Concejo,SANTANDER,SAN JOSE DE MIRANDA,AGUSTIN  ROA CASTELLANOS,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,62096
Concejo,SANTANDER,SAN JOSE DE MIRANDA,ANA MILENA BLANCO RUIZ,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,62097
Concejo,SANTANDER,SAN JOSE DE MIRANDA,ANGEL GABRIEL TELLEZ BERMUDEZ,PARTIDO COLOMBIA RENACIENTE,62054
Concejo,SANTANDER,SAN JOSE DE MIRANDA,BELCY YAMILE HERRERA BONILLA,PARTIDO ADA,62059
Concejo,SANTANDER,SAN JOSE DE MIRANDA,BRANDON JOSE RICARDO RUIZ SUAREZ,PARTIDO ADA,62057
Concejo,SANTANDER,SAN JOSE DE MIRANDA,CAMILO  CORZO ORTIZ,PARTIDO CAMBIO RADICAL,62082
Concejo,SANTANDER,SAN JOSE DE MIRANDA,CARLOS  MARTINEZ PADILLA,PARTIDO ADA,62060
Concejo,SANTANDER,SAN JOSE DE MIRANDA,CARLOS SAUL JAIMES JAIMES,PARTIDO DE REIVINDICACIÓN ÉTNICA -PRE-,62068
Concejo,SANTANDER,SAN JOSE DE MIRANDA,CARMEN ROSA MACIAS SUAREZ,PARTIDO CONSERVADOR COLOMBIANO,62073
Concejo,SANTANDER,SAN JOSE DE MIRANDA,CLODOMIRO  SUAREZ RODRIGUEZ,PARTIDO CENTRO DEMOCRATICO,62050
Concejo,SANTANDER,SAN JOSE DE MIRANDA,DAVID ADOLFO PINZON HERNANDEZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,62100
Concejo,SANTANDER,SAN JOSE DE MIRANDA,EDWAR YESITH SUAREZ MANRIQUE,PARTIDO ALIANZA VERDE,62086
Concejo,SANTANDER,SAN JOSE DE MIRANDA,EFRAIN  CORZO GOMEZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,62099
Concejo,SANTANDER,SAN JOSE DE MIRANDA,FABIO  ORTIZ LOPEZ,PARTIDO DE REIVINDICACIÓN ÉTNICA -PRE-,62066
Concejo,SANTANDER,SAN JOSE DE MIRANDA,FABIO ANTONIO GOMEZ SUAREZ,PARTIDO ADA,62062
Concejo,SANTANDER,SAN JOSE DE MIRANDA,FELIX SAUL CASTELLANOS CASTAÑEDA,PARTIDO CONSERVADOR COLOMBIANO,62075
Concejo,SANTANDER,SAN JOSE DE MIRANDA,FLOR AMIRA PARRA JIMENEZ,PARTIDO COLOMBIA RENACIENTE,62055
Concejo,SANTANDER,SAN JOSE DE MIRANDA,FRANCISCO JAVIER VALERO LOPEZ,PARTIDO DE REIVINDICACIÓN ÉTNICA -PRE-,62067
Concejo,SANTANDER,SAN JOSE DE MIRANDA,GLADYS  URIBE RUIZ,PARTIDO CAMBIO RADICAL,62081
Concejo,SANTANDER,SAN JOSE DE MIRANDA,ISIDORO  CASTELLANOS MESA,PARTIDO CAMBIO RADICAL,62083
Concejo,SANTANDER,SAN JOSE DE MIRANDA,ISIDORO  JAIMES JIMENEZ,PARTIDO CAMBIO RADICAL,62079
Concejo,SANTANDER,SAN JOSE DE MIRANDA,JENNY ANDREA TOLOZA ROJAS,PARTIDO CONSERVADOR COLOMBIANO,62071
Concejo,SANTANDER,SAN JOSE DE MIRANDA,JHON SERGIO GARCIA CHIA,PARTIDO ALIANZA VERDE,62091
Concejo,SANTANDER,SAN JOSE DE MIRANDA,JORGE ENRIQUE SUAREZ RUIZ,PARTIDO CONSERVADOR COLOMBIANO,62074
Concejo,SANTANDER,SAN JOSE DE MIRANDA,JORGE LUIS RUIZ ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,62102
Concejo,SANTANDER,SAN JOSE DE MIRANDA,JOSE DOMINGO ORTIZ OCHOA,PARTIDO CAMBIO RADICAL,62084
