corp,dpto,mpio,name,party,wp_no
Concejo,SANTANDER,SAN MIGUEL,ALDEMAR  RUIZ TOSCANO,PARTIDO ALIANZA VERDE,62433
Concejo,SANTANDER,SAN MIGUEL,ALEXI  GOMEZ HERNANDEZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,62451
Concejo,SANTANDER,SAN MIGUEL,ALEXIS SNEIDER SEPULVEDA BONILLA,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,62442
Concejo,SANTANDER,SAN MIGUEL,ANA ISABEL JAIMES MANRIQUE,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,62443
Concejo,SANTANDER,SAN MIGUEL,ANIBAL  PACHECO ,PARTIDO CONSERVADOR COLOMBIANO,62423
Concejo,SANTANDER,SAN MIGUEL,CARLOS JULIO GOMEZ OCHOA,PARTIDO LIBERAL COLOMBIANO,62401
Concejo,SANTANDER,SAN MIGUEL,DANIELA ROCIO MEJIA TORRES,PARTIDO ALIANZA VERDE,62436
Concejo,SANTANDER,SAN MIGUEL,DIDMARY  QUINTERO PITA,PARTIDO COLOMBIA RENACIENTE,62417
Concejo,SANTANDER,SAN MIGUEL,EDGAR ENRIQUE LANDINEZ AGUILAR,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,62445
Concejo,SANTANDER,SAN MIGUEL,EDUAR JOHANE SUAREZ LANDAZABAL,PARTIDO CENTRO DEMOCRATICO,62405
Concejo,SANTANDER,SAN MIGUEL,ELCIDA  SUAREZ SOTO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,62449
Concejo,SANTANDER,SAN MIGUEL,ELOY  BAEZ SANCHEZ,PARTIDO ALIANZA VERDE,62437
Concejo,SANTANDER,SAN MIGUEL,ESTEBAN  MANRIQUE BONILLA,PARTIDO CONSERVADOR COLOMBIANO,62419
Concejo,SANTANDER,SAN MIGUEL,HUGO EDILSON CORREA PINZON,PARTIDO ALIANZA VERDE,62435
Concejo,SANTANDER,SAN MIGUEL,IVAN RENE SALAZAR FLOREZ,PARTIDO CONSERVADOR COLOMBIANO,62421
Concejo,SANTANDER,SAN MIGUEL,JHON JAIRO SANDOVAL SANDOVAL,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,62439
Concejo,SANTANDER,SAN MIGUEL,JOSE ASCENCION AYALA VILLAMARIN,PARTIDO CENTRO DEMOCRATICO,62407
Concejo,SANTANDER,SAN MIGUEL,JOSE EDGAR DAZA GOMEZ,PARTIDO LIBERAL COLOMBIANO,62400
Concejo,SANTANDER,SAN MIGUEL,JOSE LUIS SALAZAR MALDONADO,PARTIDO COLOMBIA RENACIENTE,62413
