corp,dpto,mpio,name,party,wp_no
Concejo,SANTANDER,SIMACOTA,ANGEL STEVEN PARRA RIVERO,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,62698
Concejo,SANTANDER,SIMACOTA,CARLOS LUIS SALAMANCA RAMIREZ,PARTIDO CAMBIO RADICAL,62680
Concejo,SANTANDER,SIMACOTA,CRISTIAN JULIAN DUARTE ARDILA,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,62692
Concejo,SANTANDER,SIMACOTA,CUSTODIO  HERNANDEZ OLARTE,PARTIDO CENTRO DEMOCRATICO,62665
Concejo,SANTANDER,SIMACOTA,DANIEL  RODRIGUEZ GONZALEZ,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,62695
Concejo,SANTANDER,SIMACOTA,DANILO  AYALA GAMBOA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,62706
Concejo,SANTANDER,SIMACOTA,DAYANA  IBARRA TORO,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,62688
Concejo,SANTANDER,SIMACOTA,DIANA MARITZA FORERO MONROY,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,62696
Concejo,SANTANDER,SIMACOTA,EDILMA  RAMIREZ ARDILA,PARTIDO COLOMBIA RENACIENTE,62674
Concejo,SANTANDER,SIMACOTA,EDILMA ROSA ROMERO ,PARTIDO CAMBIO RADICAL,62681
Concejo,SANTANDER,SIMACOTA,EDISON ANDRES MORALES DIAZ,PARTIDO CAMBIO RADICAL,62685
Concejo,SANTANDER,SIMACOTA,EDUARDO  ZULETA RENTERIA,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,62689
Concejo,SANTANDER,SIMACOTA,EGNA MARGARETH CORDOBA DURAN,PARTIDO COLOMBIA RENACIENTE,62676
Concejo,SANTANDER,SIMACOTA,ELISENIA  MENDOZA HERNANDEZ,PARTIDO CAMBIO RADICAL,62678
Concejo,SANTANDER,SIMACOTA,ELOISA  SUAREZ CALA,PARTIDO LIBERAL COLOMBIANO,62651
Concejo,SANTANDER,SIMACOTA,ELVIA MARIA TAVERA CALA,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,62701
Concejo,SANTANDER,SIMACOTA,EMILCE  ACEVEDO RODRIGUEZ,PARTIDO CENTRO DEMOCRATICO,62666
Concejo,SANTANDER,SIMACOTA,ERIKA MALEIVY REYES CARRILLO,PARTIDO LIBERAL COLOMBIANO,62653
Concejo,SANTANDER,SIMACOTA,FREDY ALEXANDER LIZARAZO DUARTE,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,62687
Concejo,SANTANDER,SIMACOTA,GERARDO  MACIAS ACERO,PARTIDO LIBERAL COLOMBIANO,62656
Concejo,SANTANDER,SIMACOTA,GINZON ANDRES MACIAS SANCHEZ,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,62694
Concejo,SANTANDER,SIMACOTA,GRACIELA  QUINTERO DE ARGUELLO,PARTIDO CENTRO DEMOCRATICO,62667
Concejo,SANTANDER,SIMACOTA,GUSTAVO  ARGUELLO QUINTERO,PARTIDO CENTRO DEMOCRATICO,62660
Concejo,SANTANDER,SIMACOTA,HECTOR  ZAMBRANO PEREZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,62711
Concejo,SANTANDER,SIMACOTA,HENRY  VEGA CADENA,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,62702
Concejo,SANTANDER,SIMACOTA,HERNANDO  SANDOVAL ,PARTIDO CAMBIO RADICAL,62679
Concejo,SANTANDER,SIMACOTA,HIPOLITO  SANCHEZ ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,62705
Concejo,SANTANDER,SIMACOTA,IVAN RICARDO PINZON VILLAMIL,PARTIDO CENTRO DEMOCRATICO,62664
Concejo,SANTANDER,SIMACOTA,JENNYFFER STIFER GARRIDO CARDOZO,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,62704
Concejo,SANTANDER,SIMACOTA,JHON GABRIEL CERDAS QUINTERO,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,62690
Concejo,SANTANDER,SIMACOTA,JORGE  VILLAMIZAR OSORIO,PARTIDO CENTRO DEMOCRATICO,62661
Concejo,SANTANDER,SIMACOTA,JORGE ALIRIO PEREZ RIAÑO,PARTIDO COLOMBIA RENACIENTE,62677
Concejo,SANTANDER,SIMACOTA,JORGEN  MUÑOZ SANTOS,PARTIDO CAMBIO RADICAL,62682
Concejo,SANTANDER,SIMACOTA,JOSE ABELARDO VILLARREAL PEREZ,PARTIDO COLOMBIA RENACIENTE,62670
Concejo,SANTANDER,SIMACOTA,JOSE LEONARDO ROJAS GARCIA,PARTIDO CENTRO DEMOCRATICO,62662
Concejo,SANTANDER,SIMACOTA,JUAN DE DIOS CALDERON RAMIREZ,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,62703
Concejo,SANTANDER,SIMACOTA,JULIAN  RUIZ QUIROGA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,62710
Concejo,SANTANDER,SIMACOTA,KATHERINE FERNANDA GARRIDO CARDOZO,PARTIDO CENTRO DEMOCRATICO,62668
Concejo,SANTANDER,SIMACOTA,LAURA JULIANA AMAYA AREVALO,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,62691
Concejo,SANTANDER,SIMACOTA,LIDA ROCIO RINCON TOLOZA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,62709
Concejo,SANTANDER,SIMACOTA,LIZETH NATALIA SALINAS GONZALEZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,62708
Concejo,SANTANDER,SIMACOTA,LUCAS JOAQUIN TAVERA RUIZ,PARTIDO LIBERAL COLOMBIANO,62658
Concejo,SANTANDER,SIMACOTA,LUIS EDUARDO PEÑA TELLEZ,PARTIDO LIBERAL COLOMBIANO,62654
Concejo,SANTANDER,SIMACOTA,LUIS FERNANDO CALA DIAZ,PARTIDO CENTRO DEMOCRATICO,62663
Concejo,SANTANDER,SIMACOTA,LUISA LILIANA CALA SANCHEZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,62712
Concejo,SANTANDER,SIMACOTA,LUZ MARINA NARANJO VILLARREAL,PARTIDO CAMBIO RADICAL,62683
Concejo,SANTANDER,SIMACOTA,LUZ YORLENY SOLANO CRUZ,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,62697
Concejo,SANTANDER,SIMACOTA,MARIA DEL CARMEN HERNANDEZ SANABRIA,PARTIDO LIBERAL COLOMBIANO,62657
Concejo,SANTANDER,SIMACOTA,MYRIAM  CALA RODRIGUEZ,PARTIDO COLOMBIA RENACIENTE,62671
Concejo,SANTANDER,SIMACOTA,NATALI  LANDINEZ ESTEVEZ,PARTIDO LIBERAL COLOMBIANO,62655
Concejo,SANTANDER,SIMACOTA,OMAR  TAVERA AMADO,PARTIDO CAMBIO RADICAL,62686
Concejo,SANTANDER,SIMACOTA,PABLO  ZAMBRANO VASQUEZ,PARTIDO COLOMBIA RENACIENTE,62669
Concejo,SANTANDER,SIMACOTA,PABLO EMILIO LEAL ,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,62700
Concejo,SANTANDER,SIMACOTA,RAMON  GONZALEZ VILLARREAL,PARTIDO LIBERAL COLOMBIANO,62652
Concejo,SANTANDER,SIMACOTA,RICARDO  BARRERA ABRIL,PARTIDO COLOMBIA RENACIENTE,62673
Concejo,SANTANDER,SIMACOTA,RICARDO  LOPEZ RODRIGUEZ,PARTIDO COLOMBIA RENACIENTE,62672
Concejo,SANTANDER,SIMACOTA,RODOLFO ENRIQUE VILLALBA OVIEDO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,62707
Concejo,SANTANDER,SIMACOTA,SENAIDA  SUESCUM ARRIETA,PARTIDO LIBERAL COLOMBIANO,62659
Concejo,SANTANDER,SIMACOTA,SILTON EDINSON VEGA GARCIA,PARTIDO COLOMBIA RENACIENTE,62675
Concejo,SANTANDER,SIMACOTA,YENI CATHERINE RIBEROS RINCON,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,62699
Concejo,SANTANDER,SIMACOTA,YESENIA  PINZON NIÑO,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,62693
