corp,dpto,mpio,name,party,wp_no
Concejo,SANTANDER,SUCRE,ELVIA MARIA ROJAS ESCAMILLA,PARTIDO CONSERVADOR COLOMBIANO,62969
Concejo,SANTANDER,SUCRE,FERNANDO FERLEIN MATEUS PEÑA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,62984
Concejo,SANTANDER,SUCRE,HECTOR ANDRES ARIZA CASTILLO,PARTIDO CONSERVADOR COLOMBIANO,62971
Concejo,SANTANDER,SUCRE,HECTOR HERNANDO MATEUS PEÑA,PARTIDO CONSERVADOR COLOMBIANO,62966
Concejo,SANTANDER,SUCRE,JAIRO  MARTINEZ PEÑA,PARTIDO CAMBIO RADICAL,62979
Concejo,SANTANDER,SUCRE,JANET  OVALLE MARIN,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,62987
Concejo,SANTANDER,SUCRE,JORGE HUMBERTO ROJAS MARIN,PARTIDO CAMBIO RADICAL,62980
Concejo,SANTANDER,SUCRE,LEONEL  MEDINA ARDILA,PARTIDO CONSERVADOR COLOMBIANO,62968
Concejo,SANTANDER,SUCRE,LOURDES  SANABRIA RODRIGUEZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,62989
Concejo,SANTANDER,SUCRE,LUIS ALBERTO MARIN SANABRIA,PARTIDO LIBERAL COLOMBIANO,62964
Concejo,SANTANDER,SUCRE,LUIS ALVARO ARIZA GONZALEZ,PARTIDO CAMBIO RADICAL,62981
Concejo,SANTANDER,SUCRE,LUIS FRANCISCO GALLEGOS MARIN,PARTIDO LIBERAL COLOMBIANO,62961
Concejo,SANTANDER,SUCRE,LUX MARY ARIZA MARIN,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,62990
Concejo,SANTANDER,SUCRE,MARCO AURELIO RUIZ ,PARTIDO CONSERVADOR COLOMBIANO,62967
Concejo,SANTANDER,SUCRE,MIGUEL ANGEL VARGAS VARGAS,PARTIDO LIBERAL COLOMBIANO,62965
Concejo,SANTANDER,SUCRE,MIGUEL ARCANGEL GONZALEZ FRANCO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,62983
Concejo,SANTANDER,SUCRE,MILTON  ROJAS ROJAS,PARTIDO CONSERVADOR COLOMBIANO,62970
Concejo,SANTANDER,SUCRE,MINELVA  MOSQUERA AGUILAR,PARTIDO LIBERAL COLOMBIANO,62962
Concejo,SANTANDER,SUCRE,NANCY  ARDILA VARGAS,PARTIDO CONSERVADOR COLOMBIANO,62972
Concejo,SANTANDER,SUCRE,NELLY SOFIA MATEUS MATEUS,PARTIDO CAMBIO RADICAL,62977
Concejo,SANTANDER,SUCRE,NORBERTO  MATEUS ARDILA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,62988
Concejo,SANTANDER,SUCRE,OSCAR  GONZALEZ VARGAS,PARTIDO CAMBIO RADICAL,62982
Concejo,SANTANDER,SUCRE,RAMON NONATO GONZALEZ ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,62986
Concejo,SANTANDER,SUCRE,RICARDO ANTONIO BAREÑO QUIROGA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,62985
Concejo,SANTANDER,SUCRE,SHARITH VALENTINA CASTILLO MUÑOZ,PARTIDO CONSERVADOR COLOMBIANO,62973
Concejo,SANTANDER,SUCRE,SIRLEY  OVALLE MARIN,PARTIDO CAMBIO RADICAL,62978
Concejo,SANTANDER,SUCRE,WILSON ARLEY ROMERO ,PARTIDO CAMBIO RADICAL,62974
Concejo,SANTANDER,SUCRE,YEINER  ROJAS FORERO,PARTIDO CAMBIO RADICAL,62975
Concejo,SANTANDER,SUCRE,YERLEDY  RENTERIA PINEDA,PARTIDO LIBERAL COLOMBIANO,62963
Concejo,SANTANDER,SUCRE,YOLANDA  ARIZA ARIZA,PARTIDO CAMBIO RADICAL,62976
