corp,dpto,mpio,name,party,wp_no
Concejo,SANTANDER,TONA,ANGEL MARIA HERRERA LEAL,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,63055
Concejo,SANTANDER,TONA,ANGEL RAMON HERRERA MOGOTOCORO,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,63051
Concejo,SANTANDER,TONA,ANGELA GISELA MANRIQUE BENAVIDES,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,63081
Concejo,SANTANDER,TONA,BRAYAN FERNEY CONTRERAS CALDERON,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,63076
Concejo,SANTANDER,TONA,DANIEL  ESTUPIÑAN SANTOS,PARTIDO LIBERAL COLOMBIANO,63031
Concejo,SANTANDER,TONA,DAVID  DELGADO CARVAJAL,PARTIDO CENTRO DEMOCRATICO,63043
Concejo,SANTANDER,TONA,DIEGO ALONSO ESCOBAR GUTIERREZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,117936
Concejo,SANTANDER,TONA,DUVAN FELIPE PULIDO VILLAMIZAR,PARTIDO ALIANZA VERDE,63067
Concejo,SANTANDER,TONA,EDUARDO  LIZCANO LANDAZABAL,PARTIDO CENTRO DEMOCRATICO,63046
Concejo,SANTANDER,TONA,EDYSON YAIR VILLAMIZAR PABON,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,63078
Concejo,SANTANDER,TONA,ELIAS  MEDINA CARDENAS,PARTIDO CAMBIO RADICAL,63061
Concejo,SANTANDER,TONA,EYVAR HERNANDO FLOREZ CONTRERAS,PARTIDO ALIANZA VERDE,63070
Concejo,SANTANDER,TONA,FABIO  DIAZ HERNANDEZ,PARTIDO CENTRO DEMOCRATICO,63040
Concejo,SANTANDER,TONA,FABIO ENRIQUE BAUTISTA CASTELLANOS,PARTIDO CENTRO DEMOCRATICO,63041
Concejo,SANTANDER,TONA,FACUNDO  LAGUADO CASTELLANOS,PARTIDO CAMBIO RADICAL,63058
Concejo,SANTANDER,TONA,FELIX EDUARDO MORENO RIVERA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,63079
Concejo,SANTANDER,TONA,FRANCISCO  FORERO GUTIERREZ,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,63049
Concejo,SANTANDER,TONA,HENRY  VILLAMIZAR RAMIREZ,PARTIDO LIBERAL COLOMBIANO,63035
Concejo,SANTANDER,TONA,HERMES  JEREZ LANDAZABAL,PARTIDO CAMBIO RADICAL,63056
Concejo,SANTANDER,TONA,IDINAEL  TOLOZA LIEVANO,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,63054
Concejo,SANTANDER,TONA,JAHIR SNEIDER VERA CACERES,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,63080
Concejo,SANTANDER,TONA,JAIR ARMANDO VALENCIA VERA,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,63053
Concejo,SANTANDER,TONA,JHOJAN ARVEY GUERRERO PRINCE,PARTIDO CENTRO DEMOCRATICO,63042
Concejo,SANTANDER,TONA,JORGE ARMANDO SEQUEDA NAVAS,PARTIDO LIBERAL COLOMBIANO,63037
Concejo,SANTANDER,TONA,JOSE ALEJANDRO BARROSO ARAQUE,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,63084
Concejo,SANTANDER,TONA,JOSE ANTONIO MARTINEZ GALVIS,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,63083
Concejo,SANTANDER,TONA,KAREN BETULIA MERCHAN BASTO,PARTIDO CENTRO DEMOCRATICO,63047
Concejo,SANTANDER,TONA,LEIDY  ALFONSO PEREZ,PARTIDO CAMBIO RADICAL,63063
Concejo,SANTANDER,TONA,LEIDY ROCIO MORALES OSMA,PARTIDO ALIANZA VERDE,63065
Concejo,SANTANDER,TONA,LILIANA  REY PULIDO,PARTIDO CENTRO DEMOCRATICO,63045
Concejo,SANTANDER,TONA,LUIS ALIRIO CAPACHO MORENO,PARTIDO ALIANZA VERDE,63073
Concejo,SANTANDER,TONA,LUIS CARDENIO VERA SANDOVAL,PARTIDO LIBERAL COLOMBIANO,63036
Concejo,SANTANDER,TONA,LUIS GABRIEL MAYORGA ANTOLINEZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,117937
Concejo,SANTANDER,TONA,LYA VERONICA ARRIETA OSORIO,PARTIDO CAMBIO RADICAL,63062
Concejo,SANTANDER,TONA,MAGDALENA  JAIMES RAMIREZ,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,63050
Concejo,SANTANDER,TONA,MARCOS  GUTIERREZ LUNA,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,63077
Concejo,SANTANDER,TONA,MARIA BENILDA PEREZ MALDONADO,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,63048
Concejo,SANTANDER,TONA,MARIA HELENA CABEZA BAUTISTA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,63086
Concejo,SANTANDER,TONA,MARTHA LILIANA ORTIZ DUARTE,PARTIDO ALIANZA VERDE,63068
Concejo,SANTANDER,TONA,MONICA RUBIELA BAUTISTA SANTANDER,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,63085
Concejo,SANTANDER,TONA,NINFA  LIZCANO MOGOTOCORO,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,63074
Concejo,SANTANDER,TONA,NINI JOHANNA ALARCON ROJAS,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,63075
Concejo,SANTANDER,TONA,ODIN  VILLAMIZAR MENDEZ,PARTIDO CAMBIO RADICAL,63059
Concejo,SANTANDER,TONA,ORLANDO  DELGADO MALDONADO,PARTIDO LIBERAL COLOMBIANO,63033
Concejo,SANTANDER,TONA,PABLO ANTONIO ANAYA CUADROS,PARTIDO CAMBIO RADICAL,63057
Concejo,SANTANDER,TONA,PEDRO MAURICIO AGUILLON BARAJAS,PARTIDO ALIANZA VERDE,63066
Concejo,SANTANDER,TONA,ROXANA  CUADROS ROJAS,PARTIDO ALIANZA VERDE,63069
