corp,dpto,mpio,name,party,wp_no
Concejo,SANTANDER,VETAS,ANGEL LEONICIO GAMBOA ,PARTIDO CONSERVADOR COLOMBIANO,63157
Concejo,SANTANDER,VETAS,CAMILO  MORA SOLANO,PARTIDO CENTRO DEMOCRATICO,63148
Concejo,SANTANDER,VETAS,DELCY NATHALIA ARIAS TOLOZA,PARTIDO CONSERVADOR COLOMBIANO,63155
Concejo,SANTANDER,VETAS,DIANA CAROLINA MONCADA MORENO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,63163
Concejo,SANTANDER,VETAS,ELVIRA  RODRIGUEZ RODRIGUEZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,63162
Concejo,SANTANDER,VETAS,ERIKA DAYANNA SUAREZ RODRIGUEZ,PARTIDO CONSERVADOR COLOMBIANO,63154
Concejo,SANTANDER,VETAS,FERNEY ADOLFO GUERRERO MORENO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,63161
Concejo,SANTANDER,VETAS,HOMERO  ROJAS RODRIGUEZ,PARTIDO CENTRO DEMOCRATICO,63150
Concejo,SANTANDER,VETAS,JONATHANN  MESA PLATA,PARTIDO LIBERAL COLOMBIANO,63146
Concejo,SANTANDER,VETAS,JOSE ALFONSO RAMIREZ DURAN,PARTIDO CENTRO DEMOCRATICO,63152
Concejo,SANTANDER,VETAS,JOSELIN  SUAREZ ARIAS,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,63159
Concejo,SANTANDER,VETAS,JULIAN ANDRES GUERRERO ROJAS,PARTIDO LIBERAL COLOMBIANO,63143
Concejo,SANTANDER,VETAS,JULIAN ANTONIO JIMENEZ GONZALEZ,PARTIDO CENTRO DEMOCRATICO,63147
Concejo,SANTANDER,VETAS,KAREN JOHANNA RODRIGUEZ GAMBOA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,63164
Concejo,SANTANDER,VETAS,LUZ ELENA LANDAZABAL SUAREZ,PARTIDO CONSERVADOR COLOMBIANO,63158
Concejo,SANTANDER,VETAS,LUZ HORTENCIA RODRIGUEZ GONZALEZ,PARTIDO CONSERVADOR COLOMBIANO,63153
Concejo,SANTANDER,VETAS,MANUEL AUGUSTO DELGADO DELGADO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,63160
Concejo,SANTANDER,VETAS,ORLANDO  MONCADA DELGADO,PARTIDO LIBERAL COLOMBIANO,63145
Concejo,SANTANDER,VETAS,PEDRO NEL RODRIGUEZ HERNANDEZ,PARTIDO CONSERVADOR COLOMBIANO,63156
Concejo,SANTANDER,VETAS,ROSA ELVIRA CONTRERAS MORENO,PARTIDO LIBERAL COLOMBIANO,63142
Concejo,SANTANDER,VETAS,SERGIO ARMANDO GAMBOA SANTANA,PARTIDO LIBERAL COLOMBIANO,63141
Concejo,SANTANDER,VETAS,SILVIA XIMENA RODRIGUEZ PEREZ,PARTIDO CENTRO DEMOCRATICO,63149
Concejo,SANTANDER,VETAS,VIVIANA  RAMIREZ ARIAS,PARTIDO LIBERAL COLOMBIANO,63144
Concejo,SANTANDER,VETAS,YULI PATRICIA MORENO VILLAMIZAR,PARTIDO CENTRO DEMOCRATICO,63151
