corp,dpto,mpio,name,party,wp_no
Concejo,SANTANDER,VILLANUEVA,ANGEL MARIA PRADA CHAPARRO,PARTIDO CENTRO DEMOCRATICO,63347
Concejo,SANTANDER,VILLANUEVA,ANGEL MIGUEL CHAPARRO VARGAS,PARTIDO CONSERVADOR COLOMBIANO,63350
Concejo,SANTANDER,VILLANUEVA,ARNULFO  DELGADO BUENO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,63363
Concejo,SANTANDER,VILLANUEVA,BELKIS NAYIBE BARON MENDEZ,PARTIDO CONSERVADOR COLOMBIANO,63352
Concejo,SANTANDER,VILLANUEVA,BERNARDO  SARMIENTO GOMEZ,PARTIDO CONSERVADOR COLOMBIANO,63355
Concejo,SANTANDER,VILLANUEVA,CLAUDINE ELIZABETH TORRADO QUINTERO,PARTIDO CONSERVADOR COLOMBIANO,63357
Concejo,SANTANDER,VILLANUEVA,DAVID  BOHORQUEZ LIZARAZO,PARTIDO CENTRO DEMOCRATICO,63344
Concejo,SANTANDER,VILLANUEVA,EDGAR  RUIZ APARICIO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,63364
Concejo,SANTANDER,VILLANUEVA,EDILSA  CORZO SARMIENTO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,63360
Concejo,SANTANDER,VILLANUEVA,HECTOR  ARDILA JAIMES,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,63367
Concejo,SANTANDER,VILLANUEVA,HECTOR BLADIMIR NEIRA BALLESTEROS,PARTIDO CENTRO DEMOCRATICO,63346
Concejo,SANTANDER,VILLANUEVA,JUAN DE DIOS ARTEAGA MOGOLLON,PARTIDO CENTRO DEMOCRATICO,63348
Concejo,SANTANDER,VILLANUEVA,LIBARDO  CARREÑO FUENTES,PARTIDO CONSERVADOR COLOMBIANO,63358
Concejo,SANTANDER,VILLANUEVA,LINA JOAQUINA VIVIESCAS ORTIZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,63366
Concejo,SANTANDER,VILLANUEVA,LUIS DANIEL GOMEZ DIAZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,63361
Concejo,SANTANDER,VILLANUEVA,LUIS FRANCISCO BAYONA PATIÑO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,63365
Concejo,SANTANDER,VILLANUEVA,LUZ HERMINDA APARICIO DAZA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,63362
Concejo,SANTANDER,VILLANUEVA,MARTHA  BECERRA JIMENEZ,PARTIDO CENTRO DEMOCRATICO,63345
Concejo,SANTANDER,VILLANUEVA,MEDARDO  VIVIESCAS BARRANCO,PARTIDO CONSERVADOR COLOMBIANO,63356
Concejo,SANTANDER,VILLANUEVA,NELSON JULIAN GONZALEZ ORTIZ,PARTIDO CONSERVADOR COLOMBIANO,63353
Concejo,SANTANDER,VILLANUEVA,RAMIRO  GOMEZ RUEDA,PARTIDO CONSERVADOR COLOMBIANO,63351
Concejo,SANTANDER,VILLANUEVA,ROBINSON  MOGOLLON DELGADO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,63359
Concejo,SANTANDER,VILLANUEVA,SOL MAGDIELYD SEPULVEDA JIMENEZ,PARTIDO CENTRO DEMOCRATICO,63349
Concejo,SANTANDER,VILLANUEVA,YENNY MARCELA NEIRA CARREÑO,PARTIDO CONSERVADOR COLOMBIANO,63354
