corp,dpto,mpio,name,party,wp_no
Concejo,SUCRE,COLOSO (RICAURTE),ALBA ESTER NARVAEZ CARRASCAL,PARTIDO COLOMBIA RENACIENTE,66936
Concejo,SUCRE,COLOSO (RICAURTE),ANDRES ENRIQUE RUIZ CAMERA,COLOMBIA HUMANA - UNIÓN PATRIÓTICA,66927
Concejo,SUCRE,COLOSO (RICAURTE),ARIDE ANTONIO ROMERO ALVAREZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,66960
Concejo,SUCRE,COLOSO (RICAURTE),ARIEL DE JESUS BARRIOS URIBE,PARTIDO LIBERAL COLOMBIANO,66925
Concejo,SUCRE,COLOSO (RICAURTE),AYDA MARGARITA URZOLA ALQUERQUE,PARTIDO LIBERAL COLOMBIANO,66922
Concejo,SUCRE,COLOSO (RICAURTE),CARMELINA  PEÑA TOVAR,PARTIDO LIBERAL COLOMBIANO,66924
Concejo,SUCRE,COLOSO (RICAURTE),DALVIS ANDRES MONTES ROMERO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,66962
Concejo,SUCRE,COLOSO (RICAURTE),DUMAR JOSE RUIZ RUIZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,66958
Concejo,SUCRE,COLOSO (RICAURTE),EDENIS DEL CARMEN MARTINEZ BELTRAN,PARTIDO LIBERAL COLOMBIANO,66926
Concejo,SUCRE,COLOSO (RICAURTE),EDGAR DAVID REYES BARRIOS,PARTIDO CAMBIO RADICAL,66952
Concejo,SUCRE,COLOSO (RICAURTE),EDGARDO FABIO RODRIGUEZ QUIROZ,PARTIDO CAMBIO RADICAL,66948
Concejo,SUCRE,COLOSO (RICAURTE),EDRAN JOSE NARVAEZ GARCIA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,66956
Concejo,SUCRE,COLOSO (RICAURTE),EDUAR  PEÑA DIAZ,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,66932
Concejo,SUCRE,COLOSO (RICAURTE),ESTHER JUDITH TOVAR CONTRERAS,PARTIDO CAMBIO RADICAL,66946
Concejo,SUCRE,COLOSO (RICAURTE),EUGENIO MANUEL HERNANDEZ TAPIA,PARTIDO COLOMBIA RENACIENTE,66934
Concejo,SUCRE,COLOSO (RICAURTE),FRANCISCO JOSE RUIZ SALAS,PARTIDO LIBERAL COLOMBIANO,66918
Concejo,SUCRE,COLOSO (RICAURTE),GARIS ANTONIO SIERRA MONTES,COLOMBIA HUMANA - UNIÓN PATRIÓTICA,66929
Concejo,SUCRE,COLOSO (RICAURTE),GREGORIA ISABEL VILLALBA BARRIO,PARTIDO COLOMBIA RENACIENTE,66935
Concejo,SUCRE,COLOSO (RICAURTE),HELBER EMIRO RODRIGUEZ QUIROZ,PARTIDO CONSERVADOR COLOMBIANO,66941
Concejo,SUCRE,COLOSO (RICAURTE),HENRY RAFAEL LOPEZ RODRIGUEZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,66954
Concejo,SUCRE,COLOSO (RICAURTE),HERNAN DARIO CANCHILA NAVARRO,PARTIDO LIBERAL COLOMBIANO,66921
Concejo,SUCRE,COLOSO (RICAURTE),JOSE MANUEL PEREZ AMAYA,PARTIDO LIBERAL COLOMBIANO,66920
Concejo,SUCRE,COLOSO (RICAURTE),JUAN CARLOS MARTINEZ PELUFFO,PARTIDO COLOMBIA RENACIENTE,66933
Concejo,SUCRE,COLOSO (RICAURTE),JUAN FRANCISCO PEREZ YEPEZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,66955
Concejo,SUCRE,COLOSO (RICAURTE),LENIS AMPARO HERAZO LORA,PARTIDO CONSERVADOR COLOMBIANO,66937
Concejo,SUCRE,COLOSO (RICAURTE),LETY LUPE CANCHILA PACHECO,PARTIDO CONSERVADOR COLOMBIANO,66940
Concejo,SUCRE,COLOSO (RICAURTE),LIZETH CAROLINA PEREZ BAQUERO,PARTIDO CAMBIO RADICAL,66947
Concejo,SUCRE,COLOSO (RICAURTE),LUIS ALBERTO VERBEL JARABA,PARTIDO CAMBIO RADICAL,66951
