corp,dpto,mpio,name,party,wp_no
Concejo,SUCRE,LA UNION,ALMA DELIA DE HOYOS ARRIETA,PARTIDO CONSERVADOR COLOMBIANO,67673
Concejo,SUCRE,LA UNION,ANGIE JULIANA MARTINEZ GONZALEZ,PARTIDO LIBERAL COLOMBIANO,67645
Concejo,SUCRE,LA UNION,ARIEL  DE LA OSSA VERGARA,PARTIDO LIBERAL COLOMBIANO,67650
Concejo,SUCRE,LA UNION,CARLOS ARTURO RAMIREZ RICARDO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,67691
Concejo,SUCRE,LA UNION,CARMELO JOSE LEDEZMA LOPEZ,PARTIDO CAMBIO RADICAL,67680
Concejo,SUCRE,LA UNION,CESAR JULIO TEJADA BENITEZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,67695
Concejo,SUCRE,LA UNION,CESAR MANUEL HERNANDEZ CUELLO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,67688
Concejo,SUCRE,LA UNION,DAIRO LUIS SANCHEZ ESTRADA,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,67653
Concejo,SUCRE,LA UNION,DAYUNIS DAYANA RODRIGUEZ QUINTANA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,67698
Concejo,SUCRE,LA UNION,DEIBER JOSE DIAZ LOPEZ,PARTIDO CONSERVADOR COLOMBIANO,67674
Concejo,SUCRE,LA UNION,DIANA MARCELA BARRIOS SAENZ,PARTIDO CAMBIO RADICAL,67686
Concejo,SUCRE,LA UNION,DIEGO ARMANDO RICARDO PERDOMO,PARTIDO LIBERAL COLOMBIANO,67649
Concejo,SUCRE,LA UNION,DUBIS YANETH RICARDO MONTERROSA,PARTIDO CAMBIO RADICAL,67685
Concejo,SUCRE,LA UNION,EDILBERTO MANUEL VEGA HERNANDEZ,PARTIDO COLOMBIA RENACIENTE,67666
Concejo,SUCRE,LA UNION,EDILMA JUDITH CORDOBA CORDOBA,PARTIDO CAMBIO RADICAL,67684
Concejo,SUCRE,LA UNION,EDINSON RAMON TALAIGUA VILORIA,PARTIDO CAMBIO RADICAL,67679
Concejo,SUCRE,LA UNION,EDWIN  GUETO SANCHEZ,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,67655
Concejo,SUCRE,LA UNION,EMELSON RAFAEL PEREZ ARROYO,PARTIDO CONSERVADOR COLOMBIANO,67670
Concejo,SUCRE,LA UNION,EMINTO DE JESUS ALVAREZ VILORIA,PARTIDO COLOMBIA RENACIENTE,67664
Concejo,SUCRE,LA UNION,EMIRO  ARRIETA ARRIETA,PARTIDO CONSERVADOR COLOMBIANO,67677
Concejo,SUCRE,LA UNION,FELIPE SEGUNDO MARTINEZ OSORIO,PARTIDO CAMBIO RADICAL,67687
Concejo,SUCRE,LA UNION,GEOMAR ALFONSO MONTIEL ARRIETA,PARTIDO COLOMBIA RENACIENTE,67663
Concejo,SUCRE,LA UNION,GEOVANIS AUGUSTO CABRERA OVIEDO,PARTIDO LIBERAL COLOMBIANO,67642
Concejo,SUCRE,LA UNION,GLORIA EDITH AVILEZ LAZARO,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,67660
Concejo,SUCRE,LA UNION,HANDERSON ENRIQUE PEREZ MONTERROZA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,67690
Concejo,SUCRE,LA UNION,HUMBERTO JOSE RICARDO RICARDO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,67694
Concejo,SUCRE,LA UNION,IVANILDO ANTONIO RICARDO CARMONA,PARTIDO CAMBIO RADICAL,67678
Concejo,SUCRE,LA UNION,JAIME ALBERTO MEDRANO MARTINEZ,PARTIDO CAMBIO RADICAL,67681
Concejo,SUCRE,LA UNION,JAIRO LUIS ZAFRA VERGARA,PARTIDO LIBERAL COLOMBIANO,67647
Concejo,SUCRE,LA UNION,JHON CRISTIAN PIMIENTA RICARDO,PARTIDO CAMBIO RADICAL,67683
Concejo,SUCRE,LA UNION,JORGE ELICER MOLINA MARTINEZ,PARTIDO CONSERVADOR COLOMBIANO,67671
Concejo,SUCRE,LA UNION,JORGE LUIS NORIEGA PEREZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,67693
Concejo,SUCRE,LA UNION,JOSE GABRIEL VELASQUEZ ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,67692
Concejo,SUCRE,LA UNION,JUAN JOSE JIMENEZ HERRERA,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,67656
Concejo,SUCRE,LA UNION,JUAN JOSE LOPEZ ARRIETA,PARTIDO LIBERAL COLOMBIANO,67643
Concejo,SUCRE,LA UNION,JULIO ENRIQUE MENDOZA SALGADO,PARTIDO COLOMBIA RENACIENTE,67667
Concejo,SUCRE,LA UNION,JULISSA  CORDERO SALAZAR,PARTIDO LIBERAL COLOMBIANO,67651
Concejo,SUCRE,LA UNION,KATERIN  SALGADO GUERRA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,67697
Concejo,SUCRE,LA UNION,LEONOVIS DEL CARMEN ARRIETA ARCIA,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,67657
Concejo,SUCRE,LA UNION,LIBARDO  VERGARA VERGARA,PARTIDO CONSERVADOR COLOMBIANO,67675
Concejo,SUCRE,LA UNION,LINA MARIA ARRIETA MIELES,PARTIDO LIBERAL COLOMBIANO,67648
Concejo,SUCRE,LA UNION,LUIS DANIEL SARMIENTO PERDOMO,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,67652
Concejo,SUCRE,LA UNION,LUZ DAMARIS DIAZ CALDERA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,67689
Concejo,SUCRE,LA UNION,MANUEL ESTEBAN RODRIGUEZ REBOLLEDO,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,67658
Concejo,SUCRE,LA UNION,MARIA ANGELICA LOPEZ MEDRANO,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,67661
Concejo,SUCRE,LA UNION,MARUJA ISABEL CORDERO VASQUEZ,PARTIDO CONSERVADOR COLOMBIANO,67672
Concejo,SUCRE,LA UNION,MONICA PATRICIA ARROLLO FABRA,PARTIDO CONSERVADOR COLOMBIANO,67668
Concejo,SUCRE,LA UNION,NELYS PATRICIA BRAVO GOMEZ,PARTIDO COLOMBIA RENACIENTE,117950
Concejo,SUCRE,LA UNION,OSCAR MIGUEL ARRIETA CALIZ,PARTIDO CONSERVADOR COLOMBIANO,67669
Concejo,SUCRE,LA UNION,PEDRO ANTONIO ACOSTA ZABALETA,PARTIDO LIBERAL COLOMBIANO,67646
Concejo,SUCRE,LA UNION,RAFAEL DARIO VERGARA DE LA OSSA,PARTIDO CONSERVADOR COLOMBIANO,67676
Concejo,SUCRE,LA UNION,ROSA ICELLA BROCHERO JIMENEZ,PARTIDO CAMBIO RADICAL,67682
Concejo,SUCRE,LA UNION,ROSA ISABEL GUERRERO NORIEGA,PARTIDO COLOMBIA RENACIENTE,67662
Concejo,SUCRE,LA UNION,RUBY DEL SOCORRO MARTINEZ FUENTES,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,67696
Concejo,SUCRE,LA UNION,SADY DEL CARMEN ARRIETA DIAZ,PARTIDO LIBERAL COLOMBIANO,67644
Concejo,SUCRE,LA UNION,WALTER EMILIO JARABA HERRERA,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,67659
Concejo,SUCRE,LA UNION,WALTER MIGUEL VERGARA PERDOMO,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,67654
Concejo,SUCRE,LA UNION,YONYS ENRIQUE DIAZ MERCADO,PARTIDO LIBERAL COLOMBIANO,67641
