corp,dpto,mpio,name,party,wp_no
Concejo,SUCRE,SAN MARCOS,ABEL GREGORIO MACHADO HOYOS,PARTIDO DE REIVINDICACIÓN ÉTNICA -PRE-,66453
Concejo,SUCRE,SAN MARCOS,ACKEBER PAOLA GUEVARA MONTIEL,PARTIDO CAMBIO RADICAL,66482
Concejo,SUCRE,SAN MARCOS,ADALBERTO MANUEL YEPES MEZA,PARTIDO ALIANZA VERDE,66494
Concejo,SUCRE,SAN MARCOS,ADRIANA  MONTERROZA CARRIAZO,PARTIDO CONSERVADOR COLOMBIANO,66468
Concejo,SUCRE,SAN MARCOS,ALBA LUZ QUIROZ HERRERA,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,66503
Concejo,SUCRE,SAN MARCOS,ALBEIRO MANUEL JARAMILLO CAMAÑO,PARTIDO COLOMBIA RENACIENTE,66440
Concejo,SUCRE,SAN MARCOS,ALEX  ACOSTA RIOS,PARTIDO CENTRO DEMOCRATICO,66405
Concejo,SUCRE,SAN MARCOS,ALEXANDER DE JESUS CARRIAZO MADERA,PARTIDO CONSERVADOR COLOMBIANO,66465
Concejo,SUCRE,SAN MARCOS,ALEXANDER JAVIER GOMEZ CALLEJAS,PARTIDO COLOMBIA RENACIENTE,66438
Concejo,SUCRE,SAN MARCOS,ALFONSO DE LA CRUZ CASTILLO VERGARA,PARTIDO CAMBIO RADICAL,66483
Concejo,SUCRE,SAN MARCOS,AMADA MARIA ARRIETA MARTINEZ,PARTIDO LIBERAL COLOMBIANO,66381
Concejo,SUCRE,SAN MARCOS,AMARFY MURFITH ARRIETA MONTES,PARTIDO DE REIVINDICACIÓN ÉTNICA -PRE-,66454
Concejo,SUCRE,SAN MARCOS,ANDRES JOSE SALCEDO VILLADIEGO,PARTIDO CAMBIO RADICAL,66486
Concejo,SUCRE,SAN MARCOS,ANDRIS GABRIEL GUTIERREZ RAMIREZ,PARTIDO COLOMBIA RENACIENTE,66435
Concejo,SUCRE,SAN MARCOS,ANGIE SOFIA MENDEZ BARANOA,COLOMBIA HUMANA - UNIÓN PATRIÓTICA,66389
Concejo,SUCRE,SAN MARCOS,ANUAR  ARABIA VERGARA,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,66508
Concejo,SUCRE,SAN MARCOS,ARGEMIRO ENRIQUE ZUÑIGA BERMEJO,PARTIDO COLOMBIA RENACIENTE,66430
Concejo,SUCRE,SAN MARCOS,ARIS MANUEL SILVA PRASCA,PARTIDO LIBERAL COLOMBIANO,66377
Concejo,SUCRE,SAN MARCOS,ARMANDO RAFAEL PRASCA ROJAS,PARTIDO CONSERVADOR COLOMBIANO,66461
Concejo,SUCRE,SAN MARCOS,BALDOMERO ALEJANDRO MONTALVO ZULETA,PARTIDO CENTRO DEMOCRATICO,66410
Concejo,SUCRE,SAN MARCOS,BLADIMIR ISSAC ZURITA HERNANDEZ,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,66422
Concejo,SUCRE,SAN MARCOS,BRAIAM  LOZANO UPARELA,PARTIDO CONSERVADOR COLOMBIANO,66469
Concejo,SUCRE,SAN MARCOS,CARLOS ALBERTO FORTICH GARAVITO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,66518
Concejo,SUCRE,SAN MARCOS,CARLOS ALBERTO MARTELO VERGARA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,66517
Concejo,SUCRE,SAN MARCOS,CARLOS ALONSO OSORIO GIL,COLOMBIA HUMANA - UNIÓN PATRIÓTICA,66392
Concejo,SUCRE,SAN MARCOS,CARLOS ANTONIO FLOREZ ALVAREZ,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,66424
Concejo,SUCRE,SAN MARCOS,CARLOS ARTURO VALERIO BETIN,COLOMBIA HUMANA - UNIÓN PATRIÓTICA,66395
Concejo,SUCRE,SAN MARCOS,CARLOS AUGUSTO ABAD ARENAS,PARTIDO CONSERVADOR COLOMBIANO,66466
Concejo,SUCRE,SAN MARCOS,CARMEN ENITH JIMENEZ RESTAN,PARTIDO ALIANZA VERDE,66495
Concejo,SUCRE,SAN MARCOS,CARMEN ROSA CORTEZ ZABALETA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,66520
Concejo,SUCRE,SAN MARCOS,CAROLINA MARIA FERNANDEZ RICARDO,PARTIDO CAMBIO RADICAL,66478
Concejo,SUCRE,SAN MARCOS,CECILIA ANDREA ACOSTA DIAZ,PARTIDO POLO DEMOCRATICO ALTERNATIVO,66537
Concejo,SUCRE,SAN MARCOS,CESAR ENRIQUE CARCAMO ARRIETA,PARTIDO DE REIVINDICACIÓN ÉTNICA -PRE-,66456
Concejo,SUCRE,SAN MARCOS,DAGOBERTO  CARREÑO MOLINA,PARTIDO CENTRO DEMOCRATICO,66402
Concejo,SUCRE,SAN MARCOS,DAIRIS MILENA CERVANTES COCHERO,PARTIDO DE REIVINDICACIÓN ÉTNICA -PRE-,66450
Concejo,SUCRE,SAN MARCOS,DAMIRIS  CABRERA GONZALEZ,PARTIDO LIBERAL COLOMBIANO,66382
