corp,dpto,mpio,name,party,wp_no
Concejo,SUCRE,SAN PEDRO,ABELARDO JOSE CUELLO BOHORQUEZ,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,66687
Concejo,SUCRE,SAN PEDRO,ADONAY DE JESUS GAMARRA ARRIETA,PARTIDO CAMBIO RADICAL,66715
Concejo,SUCRE,SAN PEDRO,ALBERTO JOSE MERCADO VERGARA,PARTIDO CAMBIO RADICAL,66718
Concejo,SUCRE,SAN PEDRO,ALEX MANUEL SIERRA ALTAMAR,PARTIDO ALIANZA VERDE,66727
Concejo,SUCRE,SAN PEDRO,ALVARO JAVIER SOLORZANO SOLORZANO,PARTIDO CENTRO DEMOCRATICO,66681
Concejo,SUCRE,SAN PEDRO,AMAURY MANUEL NAVARRO ARQUERQUE,PARTIDO COLOMBIA JUSTA LIBRES,66697
Concejo,SUCRE,SAN PEDRO,AUGUSTO RAFAEL PATERNINA BENITEZ,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,66686
Concejo,SUCRE,SAN PEDRO,BEATRIZ  AGUILERA ARRIETA,PARTIDO LIBERAL COLOMBIANO,66672
Concejo,SUCRE,SAN PEDRO,CAMILO ALFONSO ROMERO MERCADO,PARTIDO CONSERVADOR COLOMBIANO,66703
Concejo,SUCRE,SAN PEDRO,CANDELARIO JOSE NUÑEZ SERPA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,66743
Concejo,SUCRE,SAN PEDRO,CAPITOLINO ADALBERTO VILLARREAL GUTIERREZ,PARTIDO FUERZA ALTERNATIVA REVOLUCIONARIA DEL COMUN FARC,66695
Concejo,SUCRE,SAN PEDRO,CARMELO EDUARDO GONZALEZ ARRIETA,PARTIDO LIBERAL COLOMBIANO,66669
Concejo,SUCRE,SAN PEDRO,CARMEN ROSA MESA OLIVERA,PARTIDO CAMBIO RADICAL,66719
Concejo,SUCRE,SAN PEDRO,CECILIA DEL CARMEN CASTILLA ANAYA,PARTIDO CENTRO DEMOCRATICO,66678
Concejo,SUCRE,SAN PEDRO,CESAR DAVID PINEDA GOMEZ,PARTIDO COLOMBIA JUSTA LIBRES,66696
Concejo,SUCRE,SAN PEDRO,CESAR DE JESUS VITOLA GOMEZ,PARTIDO CONSERVADOR COLOMBIANO,66704
Concejo,SUCRE,SAN PEDRO,CINDY YOJANA QUINTANA MARTINEZ,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,66740
Concejo,SUCRE,SAN PEDRO,CRISTIAN JOSE BAHENA NOVOA,PARTIDO CAMBIO RADICAL,66711
Concejo,SUCRE,SAN PEDRO,DAIRIS PAOLA TOVAR CORREA,PARTIDO CAMBIO RADICAL,66720
Concejo,SUCRE,SAN PEDRO,DALILA PAOLA SANCHEZ LAMBRAÑO,PARTIDO LIBERAL COLOMBIANO,66670
Concejo,SUCRE,SAN PEDRO,DANIELLA CAROLINA PATERNINA MANJARRES,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,66733
Concejo,SUCRE,SAN PEDRO,EDUARDO MIGUEL BENITEZ CASTILLA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,66745
Concejo,SUCRE,SAN PEDRO,EDUIN EMIRO PEREZ MONTERO,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,66739
Concejo,SUCRE,SAN PEDRO,ELKIN ISMAEL MARTINEZ FUNEZ,PARTIDO CONSERVADOR COLOMBIANO,66705
Concejo,SUCRE,SAN PEDRO,EMELINA ISABEL PEREZ FLOREZ,PARTIDO CONSERVADOR COLOMBIANO,66707
Concejo,SUCRE,SAN PEDRO,ENEDITH DEL CARMEN CASTRO HERNANDEZ,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,66692
Concejo,SUCRE,SAN PEDRO,EVARISTO JOSE JARABA DE HOYOS,PARTIDO ALIANZA VERDE,66728
Concejo,SUCRE,SAN PEDRO,FABIO ANDRES DORADO ORTIZ,PARTIDO CONSERVADOR COLOMBIANO,66702
Concejo,SUCRE,SAN PEDRO,GERMAN JUNIOR MANJARRES HERNANDEZ,PARTIDO ALIANZA VERDE,66726
Concejo,SUCRE,SAN PEDRO,GIOVANNY DE JESUS BENITEZ CUELLO,PARTIDO CAMBIO RADICAL,66717
Concejo,SUCRE,SAN PEDRO,GUSTAVO ADOLFO CUELLO OVIEDO,PARTIDO LIBERAL COLOMBIANO,66663
Concejo,SUCRE,SAN PEDRO,IRIS DEL CARMEN ROMERO ALDANA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,66747
Concejo,SUCRE,SAN PEDRO,JACOB EUCARIO GUERRA AVILEZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,66741
Concejo,SUCRE,SAN PEDRO,JAIRO ALFONSO ARRIETA MEZA,PARTIDO CENTRO DEMOCRATICO,66674
Concejo,SUCRE,SAN PEDRO,JAISON JAVIER HENAO TOVAR,PARTIDO ALIANZA VERDE,66721
Concejo,SUCRE,SAN PEDRO,JOAQUIN ANTONIO GONZALEZ MENDOZA,PARTIDO ALIANZA VERDE,66724
Concejo,SUCRE,SAN PEDRO,JOAQUIN DE JESUS DIAZ ACOSTA,PARTIDO CAMBIO RADICAL,66712
Concejo,SUCRE,SAN PEDRO,JORGE ELIECER AGUILERA CONTRERAS,PARTIDO ALIANZA VERDE,66729
Concejo,SUCRE,SAN PEDRO,JORGE ELIECER SEVILLA HERNANDEZ,PARTIDO CENTRO DEMOCRATICO,66683
