corp,dpto,mpio,name,party,wp_no
Concejo,SUCRE,SUCRE,ADALBERTO ANTONIO TOVAR ACEVEDO,PARTIDO CENTRO DEMOCRATICO,66877
Concejo,SUCRE,SUCRE,ADELAIDA MERCEDES SANCHEZ FARRAYANS,PARTIDO CAMBIO RADICAL,66896
Concejo,SUCRE,SUCRE,ALEXANDER RAMON VILARO MONROY,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,66913
Concejo,SUCRE,SUCRE,ALVARO MIGUEL MADRID MARTINEZ,PARTIDO CAMBIO RADICAL,66897
Concejo,SUCRE,SUCRE,ANA YOLIMA ROJAS LOPEZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,66915
Concejo,SUCRE,SUCRE,ARNOL DE JESUS BALDOVINO PAREDES,PARTIDO CENTRO DEMOCRATICO,66867
Concejo,SUCRE,SUCRE,BEATRIZ CRISTINA SANCHEZ FARRALLAN,PARTIDO CONSERVADOR COLOMBIANO,66880
Concejo,SUCRE,SUCRE,BERNARDO MANUEL RAMOS SAMPAYO,PARTIDO CAMBIO RADICAL,66892
Concejo,SUCRE,SUCRE,CALIXTO AGUSTIN CAMARGO AVILA,PARTIDO LIBERAL COLOMBIANO,66862
Concejo,SUCRE,SUCRE,CANDELARIA PAOLA CURE BARRETO,PARTIDO CONSERVADOR COLOMBIANO,66888
Concejo,SUCRE,SUCRE,CARLOS EDUARDO RUZ ARROYO,PARTIDO CAMBIO RADICAL,66894
Concejo,SUCRE,SUCRE,CARMEN VIVIANA LLANES HERNANDEZ,PARTIDO CAMBIO RADICAL,66893
Concejo,SUCRE,SUCRE,CHARLIS ANDRES VILLARREAL GIL,PARTIDO LIBERAL COLOMBIANO,66859
Concejo,SUCRE,SUCRE,CRISTINA  MUNIVE URREA,PARTIDO CONSERVADOR COLOMBIANO,66889
Concejo,SUCRE,SUCRE,CRISTINO MIGUEL LARA VEGA,PARTIDO CENTRO DEMOCRATICO,66874
Concejo,SUCRE,SUCRE,DENIS ESTHER MENCO DOMINGUEZ,PARTIDO LIBERAL COLOMBIANO,66858
Concejo,SUCRE,SUCRE,DIOGENES CARLOS HERRERA MEDINA,PARTIDO ALIANZA VERDE,66902
Concejo,SUCRE,SUCRE,EBERTO JAIRO ROJAS TRESPALACIOS,PARTIDO CAMBIO RADICAL,66891
