corp,dpto,mpio,name,party,wp_no
Concejo,TOLIMA,AMBALEMA,ALEXANDER  HENAO RODRIGUEZ,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,68304
Concejo,TOLIMA,AMBALEMA,ALEXANDER  TORRES PALMERA,PARTIDO CONSERVADOR COLOMBIANO,68281
Concejo,TOLIMA,AMBALEMA,ALFONSO  RONDON CASTRO,PARTIDO LIBERAL COLOMBIANO,68245
Concejo,TOLIMA,AMBALEMA,ANGELINA  RIOS GALLO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,68317
Concejo,TOLIMA,AMBALEMA,ANYILI MILENA RAMIREZ SERRATO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,68318
Concejo,TOLIMA,AMBALEMA,BLANCA MARIBEL OSORIO SANCHEZ,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,68301
Concejo,TOLIMA,AMBALEMA,CAMILO ANDRES SANCHEZ DOMINGUEZ,PARTIDO ALIANZA VERDE,68293
Concejo,TOLIMA,AMBALEMA,CARLOS JULIO SANCHEZ SALGADO,PARTIDO CENTRO DEMOCRATICO,68257
Concejo,TOLIMA,AMBALEMA,CESAR  OLMOS CORDERO,PARTIDO CONSERVADOR COLOMBIANO,68278
Concejo,TOLIMA,AMBALEMA,CORAIMA  HERNANDEZ QUIMBAYO,PARTIDO ADA,68273
Concejo,TOLIMA,AMBALEMA,DANIEL  GORDILLO MENDOZA,PARTIDO CONSERVADOR COLOMBIANO,68280
Concejo,TOLIMA,AMBALEMA,DEYDA YAIRA LOZADA LOPEZ,PARTIDO LIBERAL COLOMBIANO,68253
Concejo,TOLIMA,AMBALEMA,DIANA PATRICIA CALDERON OVIEDO,PARTIDO CONSERVADOR COLOMBIANO,68276
Concejo,TOLIMA,AMBALEMA,DIEGO ARMANDO RODRIGUEZ SANCHEZ,PARTIDO CAMBIO RADICAL,68289
Concejo,TOLIMA,AMBALEMA,DIEGO GERMAN CEBALLOS ,PARTIDO LIBERAL COLOMBIANO,68251
Concejo,TOLIMA,AMBALEMA,DIEGO JAVIER CHICA AGUIAR,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,68307
Concejo,TOLIMA,AMBALEMA,EDILBERTO  AMAYA PRECIADO,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,68302
Concejo,TOLIMA,AMBALEMA,ELOISA  COBOS AMAYA,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,68306
Concejo,TOLIMA,AMBALEMA,ESMERALDA  NAICIPE ARIAS,PARTIDO LIBERAL COLOMBIANO,68252
Concejo,TOLIMA,AMBALEMA,ESPERANZA  MARTINEZ GOMEZ,PARTIDO CONSERVADOR COLOMBIANO,68277
Concejo,TOLIMA,AMBALEMA,EVERARDO  VELASQUEZ VARON,PARTIDO CAMBIO RADICAL,68287
Concejo,TOLIMA,AMBALEMA,FAUSTINO  ALDANA PIÑERES,PARTIDO ADA,68271
