corp,dpto,mpio,name,party,wp_no
Concejo,TOLIMA,ARMERO (GUAYABAL),ADRIANA MARIA DUARTE VARGAS,PARTIDO COLOMBIA RENACIENTE,69261
Concejo,TOLIMA,ARMERO (GUAYABAL),ALEJANDRO  ESCOBAR MORRIS,PARTIDO DE REIVINDICACIÓN ÉTNICA -PRE-,69283
Concejo,TOLIMA,ARMERO (GUAYABAL),ALEYDA  LONDOÑO GALVIS,PARTIDO CONSERVADOR COLOMBIANO,69286
Concejo,TOLIMA,ARMERO (GUAYABAL),ALONSO  DIAZ SANCHEZ,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,69318
Concejo,TOLIMA,ARMERO (GUAYABAL),ANDRES RICARDO CRUZ ROA,COLOMBIA HUMANA - UNIÓN PATRIÓTICA,69226
Concejo,TOLIMA,ARMERO (GUAYABAL),ANGELA LUCIA PINTO ,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,69313
Concejo,TOLIMA,ARMERO (GUAYABAL),ANGELY YULIETH CALLEJAS GONZALEZ,PARTIDO LIBERAL COLOMBIANO,69222
Concejo,TOLIMA,ARMERO (GUAYABAL),ANYILITH  GONZALEZ CARDENAS,CONVERGENCIA ALTERNATIVA POR ARMERO GUAYABAL,69338
Concejo,TOLIMA,ARMERO (GUAYABAL),ARCESIO  ROJAS ,PARTIDO CENTRO DEMOCRATICO,69237
Concejo,TOLIMA,ARMERO (GUAYABAL),BETULIA  RAMIREZ ARIAS,PARTIDO COLOMBIA JUSTA LIBRES,69249
Concejo,TOLIMA,ARMERO (GUAYABAL),BRANDON  QUIÑONES ROJAS,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,69322
Concejo,TOLIMA,ARMERO (GUAYABAL),CARLOS ARMANDO MEDINA CARDENAS,PARTIDO ADA,69264
Concejo,TOLIMA,ARMERO (GUAYABAL),CARLOS ARTURO VILLARRAGA GUZMAN,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,69312
