corp,dpto,mpio,name,party,wp_no
Concejo,TOLIMA,COYAIMA,ALBEIRO  BARRIOS VILLARREAL,PARTIDO POLO DEMOCRATICO ALTERNATIVO,69920
Concejo,TOLIMA,COYAIMA,ALDEMAR  SOGAMOSO ALAPE,PARTIDO POLO DEMOCRATICO ALTERNATIVO,69927
Concejo,TOLIMA,COYAIMA,ALFONSO  CEDEÑO PULECIO,PARTIDO LIBERAL COLOMBIANO,69824
Concejo,TOLIMA,COYAIMA,AMINTA  MANIOS TOVAR,PARTIDO LIBERAL COLOMBIANO,69825
Concejo,TOLIMA,COYAIMA,ANA JULIA TEVAR AYALA,PARTIDO POLO DEMOCRATICO ALTERNATIVO,69926
Concejo,TOLIMA,COYAIMA,ARNOLDO  DUCUARA OTAVO,PARTIDO CAMBIO RADICAL,69882
Concejo,TOLIMA,COYAIMA,AURA LIVIA MICOLTA ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,69912
Concejo,TOLIMA,COYAIMA,CARMEN LILIANA TIQUE PRADA,PARTIDO ALIANZA VERDE,69893
Concejo,TOLIMA,COYAIMA,CECILIA  ARIAS CORTES,PARTIDO CAMBIO RADICAL,69887
Concejo,TOLIMA,COYAIMA,CENEN  CARDOZO CAPERA,COYAIMA DIGNA,69934
Concejo,TOLIMA,COYAIMA,CESAR AUGUSTO LOAIZA CAPERA,PARTIDO ALIANZA VERDE,69899
Concejo,TOLIMA,COYAIMA,CLARIVEL  GARCIA OLIVEROS,PARTIDO CONSERVADOR COLOMBIANO,69865
Concejo,TOLIMA,COYAIMA,CLAUDIA AMELIA TORRES AMAYA,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,69848
Concejo,TOLIMA,COYAIMA,CRISTINA  CUPITRA PRADA,PARTIDO CONSERVADOR COLOMBIANO,69870
Concejo,TOLIMA,COYAIMA,DANI EDUARDO CUMBE AROCA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,69914
Concejo,TOLIMA,COYAIMA,DANIEL ALEJANDRO QUIMBAYO RAMIREZ,PARTIDO DE REIVINDICACIÓN ÉTNICA -PRE-,69855
Concejo,TOLIMA,COYAIMA,DAVID  TIQUE MALAMBO,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,69849
Concejo,TOLIMA,COYAIMA,DELIO ALEXIS MORENO ALZATE,PARTIDO CENTRO DEMOCRATICO,69839
