corp,dpto,mpio,name,party,wp_no
Concejo,TOLIMA,ORTEGA,ADOLFO  TAPIERO LOZANO,PARTIDO CONSERVADOR COLOMBIANO,71913
Concejo,TOLIMA,ORTEGA,ALDEMAR  VEGA OTAVO,PARTIDO ADA,71900
Concejo,TOLIMA,ORTEGA,ALEXANDER  CAPERA DUCUARA,PARTIDO CONSERVADOR COLOMBIANO,71905
Concejo,TOLIMA,ORTEGA,ALEXANDER  DIMATE SANDINO,COALICION PARTIDO DE LA U - PARTIDO MIRA,71949
Concejo,TOLIMA,ORTEGA,ALFONSO  CARDOZO AGUILAR,COALICION PARTIDO DE LA U - PARTIDO MIRA,71945
Concejo,TOLIMA,ORTEGA,AMADO  GUARNIZO LASSO,PARTIDO ADA,71901
Concejo,TOLIMA,ORTEGA,AMANDA  VERA PORTELA,PARTIDO CENTRO DEMOCRATICO,71870
Concejo,TOLIMA,ORTEGA,ANA CLARA CHAGUALA PEÑA,COALICION PARTIDO DE LA U - PARTIDO MIRA,71946
Concejo,TOLIMA,ORTEGA,ANDRES EDUARDO PRIETO CAPERA,PARTIDO ADA,71895
Concejo,TOLIMA,ORTEGA,CARLOS ALBERTO RADA ALBA,PARTIDO ALIANZA VERDE,71935
Concejo,TOLIMA,ORTEGA,CARLOS CESAR CARRERO GUZMAN,PARTIDO LIBERAL COLOMBIANO,71867
Concejo,TOLIMA,ORTEGA,CARLOS EDUARDO MENDOZA YAGUARA,PARTIDO CONSERVADOR COLOMBIANO,71904
Concejo,TOLIMA,ORTEGA,CECILIA  GARATEJO DIAZ,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,71879
Concejo,TOLIMA,ORTEGA,CLAUDIA  TIMOTE AGUJA,PARTIDO CENTRO DEMOCRATICO,71875
Concejo,TOLIMA,ORTEGA,DAGOBERTO  RAMIREZ BERNAL,PARTIDO ALIANZA VERDE,71937
Concejo,TOLIMA,ORTEGA,DANIEL  FLOREZ MADRIGAL,PARTIDO ALIANZA VERDE,71938
Concejo,TOLIMA,ORTEGA,DARLY YINETH GUZMAN MENDEZ,PARTIDO CAMBIO RADICAL,71918
Concejo,TOLIMA,ORTEGA,DELIA MARIA SOGAMOSO MORENO,COALICION PARTIDO DE LA U - PARTIDO MIRA,71947
Concejo,TOLIMA,ORTEGA,EGTNNY TITIANA ASCENCIO BONILLA,PARTIDO ADA,71898
Concejo,TOLIMA,ORTEGA,ELSY ELIZABETH PEDRAZA ASCENCIO,PARTIDO CONSERVADOR COLOMBIANO,71911
Concejo,TOLIMA,ORTEGA,FABER GILDARDO LOZANO TAPIERO,PARTIDO CENTRO DEMOCRATICO,71876
Concejo,TOLIMA,ORTEGA,FELIX GERMAN MONTIEL ALAPE,PARTIDO CAMBIO RADICAL,71919
Concejo,TOLIMA,ORTEGA,FERNEY  LOZADA GARCIA,PARTIDO LIBERAL COLOMBIANO,71864
Concejo,TOLIMA,ORTEGA,FLOR ASTRID PIÑEREZ RAMIREZ,PARTIDO CAMBIO RADICAL,71927
