corp,dpto,mpio,name,party,wp_no
Concejo,TOLIMA,PURIFICACION,ALEXANDRA  QUIÑONES LOZANO,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,72296
Concejo,TOLIMA,PURIFICACION,ALFONSO  BOCANEGRA ANDRADE,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,72311
Concejo,TOLIMA,PURIFICACION,ALICIA  LOZANO SUAREZ,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,72289
Concejo,TOLIMA,PURIFICACION,ALVARO  ZABALA CAMPOS,PARTIDO LIBERAL COLOMBIANO,72225
Concejo,TOLIMA,PURIFICACION,ALVARO DAMIAN LOZANO LOZANO,PARTIDO CAMBIO RADICAL,72263
Concejo,TOLIMA,PURIFICACION,ANA AURORA SOSA ARROYO,COALICION ALTERNATIVA POR PURIFICACIÓN,72340
Concejo,TOLIMA,PURIFICACION,ANA GUISELLE ALVIS LOZANO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,72307
Concejo,TOLIMA,PURIFICACION,ANA LUCIA GODOY ORTIZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,72316
Concejo,TOLIMA,PURIFICACION,ANIBAL  SOLANO VIDALES,PARTIDO CAMBIO RADICAL,72270
Concejo,TOLIMA,PURIFICACION,ARACELY  MENDEZ CORRECHA,PARTIDO CAMBIO RADICAL,72269
Concejo,TOLIMA,PURIFICACION,ARGELIA  SANCHEZ RODRIGUEZ,PARTIDO CAMBIO RADICAL,72265
Concejo,TOLIMA,PURIFICACION,ARIEL  PADILLA ESQUIVEL,PARTIDO CONSERVADOR COLOMBIANO,72258
Concejo,TOLIMA,PURIFICACION,BELLANID  QUIMBAYO MENDEZ,PARTIDO CONSERVADOR COLOMBIANO,72262
Concejo,TOLIMA,PURIFICACION,BLANCA RUTH PEREZ RINCON,PARTIDO LIBERAL COLOMBIANO,72221
Concejo,TOLIMA,PURIFICACION,CAMILO ERNESTO CASTIBLANCO RUIZ,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,72292
Concejo,TOLIMA,PURIFICACION,CAMILO JAVIER RICO ARGUELLO,COALICION ALTERNATIVA POR PURIFICACIÓN,72337
Concejo,TOLIMA,PURIFICACION,CARLOS  MARTINEZ MORALES,PARTIDO LIBERAL COLOMBIANO,72224
Concejo,TOLIMA,PURIFICACION,CARLOS ARTURO QUIMBAYO ,PARTIDO CONSERVADOR COLOMBIANO,72256
Concejo,TOLIMA,PURIFICACION,CARLOS ARTURO ZABALA JIMENEZ,PARTIDO CENTRO DEMOCRATICO,72229
Concejo,TOLIMA,PURIFICACION,CESAR  BARRETO OTAVO,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,72293
Concejo,TOLIMA,PURIFICACION,CRISTIAN CAMILO SANABRIA MORALES,PRIMERO PURIFICACION,72325
