corp,dpto,mpio,name,party,wp_no
Concejo,TOLIMA,RIOBLANCO,ADOLFO  VARON LOZANO,PARTIDO CENTRO DEMOCRATICO,72358
Concejo,TOLIMA,RIOBLANCO,ANCIZAR  TORRES GONZALEZ,PARTIDO COLOMBIA JUSTA LIBRES,72367
Concejo,TOLIMA,RIOBLANCO,ANGEL MARIA SUAREZ CARDOZO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,72375
Concejo,TOLIMA,RIOBLANCO,ANGIE TATIANA CARDENAS MENDEZ,PARTIDO POLITICO MIRA,72372
Concejo,TOLIMA,RIOBLANCO,ARELIS  CASTRO CAÑAS,PARTIDO LIBERAL COLOMBIANO,72342
Concejo,TOLIMA,RIOBLANCO,ARLES  ESCOBAR URBANO,PARTIDO COLOMBIA JUSTA LIBRES,72368
Concejo,TOLIMA,RIOBLANCO,ARNOVIL  URREA GARCIA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,72383
Concejo,TOLIMA,RIOBLANCO,BELLANIRA  CAPERA MENDEZ,PARTIDO CENTRO DEMOCRATICO,72361
Concejo,TOLIMA,RIOBLANCO,CINDY PAOLA GONZALEZ CORPAS,PARTIDO COLOMBIA JUSTA LIBRES,72370
Concejo,TOLIMA,RIOBLANCO,DARLEY  YATE YANGUMA,PARTIDO COLOMBIA JUSTA LIBRES,72369
Concejo,TOLIMA,RIOBLANCO,DIDIER  PARRA DAGUA,PARTIDO LIBERAL COLOMBIANO,72347
Concejo,TOLIMA,RIOBLANCO,DIOGENES  ORTIZ CAICEDO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,72381
Concejo,TOLIMA,RIOBLANCO,ERIKA YULIEDH JIMENEZ REINOSO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,72386
Concejo,TOLIMA,RIOBLANCO,EZEQUIEL  RAMIREZ CASTAÑO,PARTIDO CENTRO DEMOCRATICO,72360
Concejo,TOLIMA,RIOBLANCO,FREDY  VARGAS HURTATIS,PARTIDO CENTRO DEMOCRATICO,72354
Concejo,TOLIMA,RIOBLANCO,HENRY  DIAZ MONTERO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,72378
Concejo,TOLIMA,RIOBLANCO,HUBERNEY  HERNANDEZ VALERO,PARTIDO LIBERAL COLOMBIANO,72349
Concejo,TOLIMA,RIOBLANCO,INGRI YESSENIA LOZANO SANCHEZ,PARTIDO CENTRO DEMOCRATICO,72355
Concejo,TOLIMA,RIOBLANCO,ISMAEL  PERDOMO OVIEDO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,72382
Concejo,TOLIMA,RIOBLANCO,JAIME  FIERRO BETANCOURT,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,72384
Concejo,TOLIMA,RIOBLANCO,JAIRO  CRUZ SUAREZ,PARTIDO COLOMBIA JUSTA LIBRES,72365
Concejo,TOLIMA,RIOBLANCO,JAZMIN  REINOSO ANIMERO,PARTIDO CENTRO DEMOCRATICO,72362
Concejo,TOLIMA,RIOBLANCO,JESUS ANTONIO JIMENEZ PALACIOS,PARTIDO LIBERAL COLOMBIANO,72343
Concejo,TOLIMA,RIOBLANCO,JESUS MARIA CARDENAS LOZADA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,72385
Concejo,TOLIMA,RIOBLANCO,JESUS MARIA MENDEZ CARDENAS,PARTIDO LIBERAL COLOMBIANO,72344
Concejo,TOLIMA,RIOBLANCO,JHON DAIRO MONROY GARCIA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,72380
Concejo,TOLIMA,RIOBLANCO,JIMMY SANDRO ESCOBAR SANCHEZ,PARTIDO CENTRO DEMOCRATICO,72363
Concejo,TOLIMA,RIOBLANCO,JOSE DANIEL SANCHEZ CASAS,PARTIDO LIBERAL COLOMBIANO,72351
Concejo,TOLIMA,RIOBLANCO,JOSE EUGENIO CASTRO REINOSO,PARTIDO LIBERAL COLOMBIANO,72346
Concejo,TOLIMA,RIOBLANCO,JULIETH KATERINE ESCOBAR ANGEL,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,72387
Concejo,TOLIMA,RIOBLANCO,LEONARDO  LOZANO RUBIO,PARTIDO LIBERAL COLOMBIANO,72350
Concejo,TOLIMA,RIOBLANCO,LUIS ARCESIO CARDENAS DIAZ,PARTIDO CENTRO DEMOCRATICO,72364
Concejo,TOLIMA,RIOBLANCO,LUZ EDITH CORTES TOVAR,PARTIDO LIBERAL COLOMBIANO,72352
Concejo,TOLIMA,RIOBLANCO,MARIA AURELIA IBATA ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,72377
Concejo,TOLIMA,RIOBLANCO,MARIA DARMICE ESTRADA ESTRADA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,72376
Concejo,TOLIMA,RIOBLANCO,MARIA UBENIDE VANEGAS ,PARTIDO COLOMBIA JUSTA LIBRES,72366
