corp,dpto,mpio,name,party,wp_no
Concejo,TOLIMA,RONCESVALLES,ALVARO  MURILLO CRUZ,PARTIDO LIBERAL COLOMBIANO,68325
Concejo,TOLIMA,RONCESVALLES,AMPARO  BLANDON RODRIGUEZ,PARTIDO CONSERVADOR COLOMBIANO,68338
Concejo,TOLIMA,RONCESVALLES,ANGEL ALFONSO MORA CUARTAS,PARTIDO LIBERAL COLOMBIANO,68327
Concejo,TOLIMA,RONCESVALLES,CARLOS ALBERTO FRANCO VARON,PARTIDO ALIANZA VERDE,68350
Concejo,TOLIMA,RONCESVALLES,CELSO EDUARDO CORTES ROMERO,PARTIDO CAMBIO RADICAL,68343
Concejo,TOLIMA,RONCESVALLES,CLAUDIA YINETH MORALES DIAZ,PARTIDO CAMBIO RADICAL,68349
Concejo,TOLIMA,RONCESVALLES,DANIEL STEVEN ESCOBAR PRIETO,PARTIDO CAMBIO RADICAL,68344
Concejo,TOLIMA,RONCESVALLES,DIANA CAROLINA ECHEVERRY GUZMAN,PARTIDO CONSERVADOR COLOMBIANO,68335
Concejo,TOLIMA,RONCESVALLES,DIGNORY  AVILEZ POLANIA,PARTIDO LIBERAL COLOMBIANO,68320
Concejo,TOLIMA,RONCESVALLES,DIOCID  RIVAS RODRIGUEZ,PARTIDO CONSERVADOR COLOMBIANO,68332
Concejo,TOLIMA,RONCESVALLES,DORA INES LOPEZ DE CHANGO,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,68357
Concejo,TOLIMA,RONCESVALLES,EDUAR FERNEY PRADA COLORADO,PARTIDO LIBERAL COLOMBIANO,68324
Concejo,TOLIMA,RONCESVALLES,EDWIN AUGUSTO CASTELBLANCO ROJAS,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,68364
Concejo,TOLIMA,RONCESVALLES,ERIKA VANESSA PINEDA OLAYA,PARTIDO ALIANZA VERDE,68351
Concejo,TOLIMA,RONCESVALLES,FABER MAURICIO DIAZ PATIÑO,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,68363
Concejo,TOLIMA,RONCESVALLES,FAIBER ANDRES GUTIERREZ VELEZ,PARTIDO ALIANZA VERDE,68356
Concejo,TOLIMA,RONCESVALLES,GEOVANNY  MURCIA GOMEZ,PARTIDO CAMBIO RADICAL,68347
Concejo,TOLIMA,RONCESVALLES,GONZALO  GOMEZ RODRIGUEZ,PARTIDO CAMBIO RADICAL,68348
Concejo,TOLIMA,RONCESVALLES,HECTOR ECCEHOMO FORERO VALENCIA,PARTIDO CONSERVADOR COLOMBIANO,68337
Concejo,TOLIMA,RONCESVALLES,HERIBERTO  GARCIA REINOSO,PARTIDO CONSERVADOR COLOMBIANO,68333
Concejo,TOLIMA,RONCESVALLES,HERNAN  TORRES RUEDA,PARTIDO CONSERVADOR COLOMBIANO,68334
Concejo,TOLIMA,RONCESVALLES,HILMER  ROMERO MURILLO,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,68359
Concejo,TOLIMA,RONCESVALLES,JOSE ALBEIRO BERMUDEZ BONILLA,PARTIDO CAMBIO RADICAL,68341
Concejo,TOLIMA,RONCESVALLES,LEYDY YINETH CARDONA GARCIA,PARTIDO CONSERVADOR COLOMBIANO,68340
Concejo,TOLIMA,RONCESVALLES,LINO PASTOR ECHEVERRY USME,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,68360
Concejo,TOLIMA,RONCESVALLES,LUZ ALBA MARIN PELAEZ,PARTIDO ALIANZA VERDE,68352
Concejo,TOLIMA,RONCESVALLES,MARCO AURELIO CAMPO PINILLA,PARTIDO CONSERVADOR COLOMBIANO,68339
Concejo,TOLIMA,RONCESVALLES,MARTHA BELZU DEVIA ZULUAGA,PARTIDO LIBERAL COLOMBIANO,68319
Concejo,TOLIMA,RONCESVALLES,MARTHA LIGIA PEREZ CARDENAS,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,68358
Concejo,TOLIMA,RONCESVALLES,MIGUEL ALFONSO MARTINEZ BUENDIA,PARTIDO LIBERAL COLOMBIANO,68326
Concejo,TOLIMA,RONCESVALLES,NOLBERTO ANTONIO CORREA CALDERON,PARTIDO CAMBIO RADICAL,68345
Concejo,TOLIMA,RONCESVALLES,PEDRO JOSE DIMAS SANDOVAL,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,68361
Concejo,TOLIMA,RONCESVALLES,RAFAEL  OVALLE MEJIA,PARTIDO ALIANZA VERDE,68353
Concejo,TOLIMA,RONCESVALLES,ROGER HAMINTONG VILLANUEVA GIRALDO,PARTIDO CONSERVADOR COLOMBIANO,68336
Concejo,TOLIMA,RONCESVALLES,SANDRA LILIANA GOMEZ OBANDO,PARTIDO CAMBIO RADICAL,68342
Concejo,TOLIMA,RONCESVALLES,SANDRA YAMILE LONDOÑO ARANGO,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,68362
Concejo,TOLIMA,RONCESVALLES,SERGIO ALBERTO LOPEZ ROMERO,PARTIDO LIBERAL COLOMBIANO,68323
Concejo,TOLIMA,RONCESVALLES,URIEL ANTONIO PINEDA MARTINEZ,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,68365
Concejo,TOLIMA,RONCESVALLES,WILLIAN FERNANDO AMAYA BRAVO,PARTIDO LIBERAL COLOMBIANO,68321
Concejo,TOLIMA,RONCESVALLES,YECICA ALEJANDRA HOYOS SERNA,PARTIDO ALIANZA VERDE,68354
Concejo,TOLIMA,RONCESVALLES,YOLANDA  ROJAS TAPIERO,PARTIDO LIBERAL COLOMBIANO,68322
Concejo,TOLIMA,RONCESVALLES,YURI EUDIS PLAZAS RAMIREZ,PARTIDO ALIANZA VERDE,68355
