corp,dpto,mpio,name,party,wp_no
Concejo,TOLIMA,ROVIRA,ALBEIRO  MARTINEZ ORTEGA,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,68456
Concejo,TOLIMA,ROVIRA,ALEJANDRINA ELIZABETH CASTILLO JIMENEZ,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,68466
Concejo,TOLIMA,ROVIRA,AMANDA  MEDINA GUTIERREZ,PARTIDO CAMBIO RADICAL,68437
Concejo,TOLIMA,ROVIRA,ANA MERCEDES HERNANDEZ CORREDIL,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,68461
Concejo,TOLIMA,ROVIRA,ANDERSON JAVIER LOZANO SANCHEZ,COLOMBIA HUMANA - UNIÓN PATRIÓTICA,68379
Concejo,TOLIMA,ROVIRA,ANDREA  BARRIOS MENESES,PARTIDO CENTRO DEMOCRATICO,68393
Concejo,TOLIMA,ROVIRA,ANDRES FELIPE RIVEROS CARDOSO,PARTIDO CAMBIO RADICAL,68440
Concejo,TOLIMA,ROVIRA,BAUDILIO  CARDOZO OSPINA,PARTIDO ADA,68417
Concejo,TOLIMA,ROVIRA,BLANCA DIVA BERJAN RIOS,PARTIDO ALIANZA VERDE,68450
Concejo,TOLIMA,ROVIRA,BLANCA HAIDI ENCISO SUAREZ,PARTIDO CAMBIO RADICAL,68432
Concejo,TOLIMA,ROVIRA,CARLOS EFREN RONCANCIO RUIZ,PARTIDO ALIANZA VERDE,68446
Concejo,TOLIMA,ROVIRA,CIMARA PRACEDIZ SUSUNAGA OLAYA,PARTIDO LIBERAL COLOMBIANO,68372
Concejo,TOLIMA,ROVIRA,CLARIBEL  BONILLA ROBAYO,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,68401
Concejo,TOLIMA,ROVIRA,CLAUDIA PATRICIA SAAVEDRA MARTINEZ,PARTIDO CAMBIO RADICAL,68439
Concejo,TOLIMA,ROVIRA,CRISTIAN CAMILO BARRETO BARRAGAN,PARTIDO CENTRO DEMOCRATICO,68392
Concejo,TOLIMA,ROVIRA,CRISTIAN FERNANDO PRECIADO IBAÑEZ,PARTIDO ADA,68415
Concejo,TOLIMA,ROVIRA,DANIEL  RUIZ ALVIS,PARTIDO CENTRO DEMOCRATICO,68384
Concejo,TOLIMA,ROVIRA,DERLIS ROCIO RUIZ BETANCOURT,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,68475
Concejo,TOLIMA,ROVIRA,DERLY JOHANA ACOSTA SEGOVIA,PARTIDO CONSERVADOR COLOMBIANO,68422
Concejo,TOLIMA,ROVIRA,DIANA CRISTINA GUTIERREZ GALINDO,PARTIDO CENTRO DEMOCRATICO,68389
Concejo,TOLIMA,ROVIRA,DIANA MAYERLY NEIRA RIOS,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,68476
Concejo,TOLIMA,ROVIRA,DISNEY  GONZALEZ ROJAS,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,68399
Concejo,TOLIMA,ROVIRA,EDGAR  TAFUR CHAVES,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,68467
Concejo,TOLIMA,ROVIRA,EDGAR  ZAPATA CARDENAS,PARTIDO CENTRO DEMOCRATICO,68390
Concejo,TOLIMA,ROVIRA,EDGAR JAVIER BARRERO QUIMBAY,PARTIDO ADA,68413
Concejo,TOLIMA,ROVIRA,ELIANA ESTEFANY RAMIREZ GUTIERREZ,COLOMBIA HUMANA - UNIÓN PATRIÓTICA,68380
Concejo,TOLIMA,ROVIRA,ENRIQUE  VILLA URREGO,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,68455
Concejo,TOLIMA,ROVIRA,FAIFER ALBERTO ZAMBRANO VARELA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,68486
Concejo,TOLIMA,ROVIRA,FANNY CONSUELO TAVERA MORALES,PARTIDO ADA,68420
Concejo,TOLIMA,ROVIRA,FERDY DE LA CRUZ MOLANO OROZCO,PARTIDO CENTRO DEMOCRATICO,68386
Concejo,TOLIMA,ROVIRA,FRANCENITH  PERALTA CARVAJAL,PARTIDO CONSERVADOR COLOMBIANO,68424
Concejo,TOLIMA,ROVIRA,FRANCISCO JAVIER AMAYA ROMERO,PARTIDO CENTRO DEMOCRATICO,68383
Concejo,TOLIMA,ROVIRA,GERMAN EDUARDO GUTIERREZ ROJAS,PARTIDO CONSERVADOR COLOMBIANO,68427
Concejo,TOLIMA,ROVIRA,GINA LUCIA CRUZ ,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,68396
Concejo,TOLIMA,ROVIRA,GLORIA AMPARO WALTEROS NAVARRO,PARTIDO ADA,68414
Concejo,TOLIMA,ROVIRA,GLORIA NELLY RAMOS CUELLAR,PARTIDO CENTRO DEMOCRATICO,68387
Concejo,TOLIMA,ROVIRA,GONZALO  PEREZ PEÑA,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,68468
Concejo,TOLIMA,ROVIRA,HECTOR  CASTRO GUZMAN,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,68397
Concejo,TOLIMA,ROVIRA,HENRY DANIEL PADILLA RODRIGUEZ,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,68470
Concejo,TOLIMA,ROVIRA,HERNANDO JAVIER GARCIA GUAYARA,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,68473
Concejo,TOLIMA,ROVIRA,HILDEBRANDO  MARROQUIN MARROQUIN,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,68481
Concejo,TOLIMA,ROVIRA,HUGO ALEXIS GOMEZ TORRES,PARTIDO ADA,68412
Concejo,TOLIMA,ROVIRA,INGRID DANIELA RINCON LOPEZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,68487
Concejo,TOLIMA,ROVIRA,IVAN  BARRAGAN GUZMAN,PARTIDO CENTRO DEMOCRATICO,68382
Concejo,TOLIMA,ROVIRA,JACKELINE  HERNANDEZ OCAMPO,PARTIDO CONSERVADOR COLOMBIANO,68430
Concejo,TOLIMA,ROVIRA,JAIME  GARCIA CANO,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,68477
Concejo,TOLIMA,ROVIRA,JALVER JOAQUIN RIVEROS ,PARTIDO LIBERAL COLOMBIANO,68375
Concejo,TOLIMA,ROVIRA,JAMES  RODRIGUEZ LEONEL,PARTIDO LIBERAL COLOMBIANO,68371
Concejo,TOLIMA,ROVIRA,JAMIR  CONDE FLORIDO,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,68460
Concejo,TOLIMA,ROVIRA,JEFFERSON ANDRES BARRERO CARDOZO,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,68474
Concejo,TOLIMA,ROVIRA,JESSICA ALEXANDRA CIFUENTES BENAVIDES,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,68478
Concejo,TOLIMA,ROVIRA,JHON FREDY LOPEZ VALDERRAMA,PARTIDO LIBERAL COLOMBIANO,68369
Concejo,TOLIMA,ROVIRA,JHONI IDARLY PATIÑO DIAZ,PARTIDO LIBERAL COLOMBIANO,68367
Concejo,TOLIMA,ROVIRA,JOHN  ORJUELA SALCEDO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,68480
Concejo,TOLIMA,ROVIRA,JOHN DEIVIS DIAZ GUTIERREZ,PARTIDO ADA,68416
Concejo,TOLIMA,ROVIRA,JOSE ALBEIRO MADERA ALVAREZ,PARTIDO CONSERVADOR COLOMBIANO,68428
Concejo,TOLIMA,ROVIRA,JOSE DAVID SANCHEZ AVENDAÑO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,68490
Concejo,TOLIMA,ROVIRA,JOSE ELEUTERIO GONGORA CALDERON,PARTIDO ALIANZA VERDE,68452
Concejo,TOLIMA,ROVIRA,JOSE EMILIO LOPEZ RUIZ,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,68459
Concejo,TOLIMA,ROVIRA,JOSE FERNANDO ROMERO ,PARTIDO ADA,68411
Concejo,TOLIMA,ROVIRA,JOSE HERLEY OVIEDO ,PARTIDO ALIANZA VERDE,68451
Concejo,TOLIMA,ROVIRA,JOSE JACID GUTIERREZ RAMIREZ,PARTIDO LIBERAL COLOMBIANO,68376
Concejo,TOLIMA,ROVIRA,JOSE JAMIR ARCINIEGAS MOSCOSO,PARTIDO LIBERAL COLOMBIANO,68378
Concejo,TOLIMA,ROVIRA,JOSE OVIDIO VARGAS MONTEALEGRE,PARTIDO ALIANZA VERDE,68442
Concejo,TOLIMA,ROVIRA,JOSE SATUN MARROQUIN CEDANO,PARTIDO CONSERVADOR COLOMBIANO,68426
Concejo,TOLIMA,ROVIRA,JOSE VITALINO MONTEALEGRE LINARES,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,68482
Concejo,TOLIMA,ROVIRA,JUAN CARLOS LEON GOMEZ,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,68454
Concejo,TOLIMA,ROVIRA,JUAN CARLOS ORJUELA RUIZ,PARTIDO CONSERVADOR COLOMBIANO,68429
Concejo,TOLIMA,ROVIRA,JULIAN ANDRES GUZMAN JIMENEZ,PARTIDO CAMBIO RADICAL,68434
Concejo,TOLIMA,ROVIRA,JULIO CESAR HOMEZ HERNANDEZ,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,68394
Concejo,TOLIMA,ROVIRA,LAUREANO  PEREZ GUEVARA,PARTIDO CENTRO DEMOCRATICO,68385
Concejo,TOLIMA,ROVIRA,LEIDY CAROLINA CALLEJAS CESPEDES,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,68488
Concejo,TOLIMA,ROVIRA,LIBARDO  RAMIREZ LARA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,68491
Concejo,TOLIMA,ROVIRA,LIBIA  GONZALEZ RODRIGUEZ,PARTIDO CAMBIO RADICAL,68431
Concejo,TOLIMA,ROVIRA,LINA MARIA PATIÑO CARDENAS,PARTIDO CENTRO DEMOCRATICO,68391
Concejo,TOLIMA,ROVIRA,LINA MARIA RODRIGUEZ PRECIADO,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,68395
Concejo,TOLIMA,ROVIRA,LINDELIA  BABATIVA MORENO,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,68469
Concejo,TOLIMA,ROVIRA,LORENA LICETH MENDOZA BARRAGAN,PARTIDO ADA,68408
Concejo,TOLIMA,ROVIRA,LUIS MIGUEL VILLARREAL CARDENAS,COLOMBIA HUMANA - UNIÓN PATRIÓTICA,68381
Concejo,TOLIMA,ROVIRA,LUIS YEZID MARTINEZ ARCINIEGAS,PARTIDO ADA,68419
Concejo,TOLIMA,ROVIRA,LUZ ANGELICA RUIZ CARDONA,PARTIDO LIBERAL COLOMBIANO,68377
Concejo,TOLIMA,ROVIRA,LUZ MERY INCHIMA GUEVARA,PARTIDO CONSERVADOR COLOMBIANO,68425
Concejo,TOLIMA,ROVIRA,MANUEL ANTONIO MARTINEZ SABOGAL,PARTIDO COLOMBIA JUSTA LIBRES,68407
Concejo,TOLIMA,ROVIRA,MARCO REINERIO MONTEALEGRE CERQUERA,PARTIDO FUERZA ALTERNATIVA REVOLUCIONARIA DEL COMUN FARC,68405
Concejo,TOLIMA,ROVIRA,MARIA CRISTINA MORENO DE ECHEVERRY,PARTIDO ALIANZA VERDE,68445
Concejo,TOLIMA,ROVIRA,MARIA DELIA LOZANO GUALTERO,PARTIDO COLOMBIA JUSTA LIBRES,68406
Concejo,TOLIMA,ROVIRA,MARIA ELENA VASQUEZ DIAZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,68483
Concejo,TOLIMA,ROVIRA,MARIA LEYLA GALICIA DE MESA,PARTIDO LIBERAL COLOMBIANO,68366
Concejo,TOLIMA,ROVIRA,MARILYN MELHIZABED MONTOYA MORENO,PARTIDO ADA,68409
Concejo,TOLIMA,ROVIRA,MARIO ALEXANDER RODRIGUEZ ACOSTA,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,68479
Concejo,TOLIMA,ROVIRA,MARY LUZ MENDEZ MARROQUIN,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,68492
Concejo,TOLIMA,ROVIRA,MIGUEL ANDRES NEIRA CARDENAS,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,68462
Concejo,TOLIMA,ROVIRA,MIGUEL ANTONIO PATIÑO ESPINOSA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,68485
Concejo,TOLIMA,ROVIRA,MONICA MARCELA GOMEZ PLATA,PARTIDO ALIANZA VERDE,68443
Concejo,TOLIMA,ROVIRA,NANCY  ALVIS LOPEZ,PARTIDO ALIANZA VERDE,68453
Concejo,TOLIMA,ROVIRA,NESTOR JAIRO BONILLA MEDINA,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,68472
Concejo,TOLIMA,ROVIRA,NORBEY  AGUILERA OLAYA,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,68463
Concejo,TOLIMA,ROVIRA,OLGA YANETH VARGAS VELASCO,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,68400
Concejo,TOLIMA,ROVIRA,ORLANDO  SANCHEZ VANEGAS,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,68403
Concejo,TOLIMA,ROVIRA,OSCAR ANDRES CEDANO MARROQUIN,PARTIDO CAMBIO RADICAL,68436
Concejo,TOLIMA,ROVIRA,OSCAR EDUARDO BENAVIDES SANCHEZ,PARTIDO LIBERAL COLOMBIANO,68373
Concejo,TOLIMA,ROVIRA,OSIRIS  TRUJILLO MATTA,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,68458
Concejo,TOLIMA,ROVIRA,PRUDENCIO  GUTIERREZ RAMIREZ,PARTIDO ALIANZA VERDE,68449
Concejo,TOLIMA,ROVIRA,RICARDO  CHAVEZ SANABRIA,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,68471
Concejo,TOLIMA,ROVIRA,RICARDO  RIVERA SANCHEZ,PARTIDO ADA,68418
Concejo,TOLIMA,ROVIRA,ROBINSON  GARCIA ACOSTA,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,68464
Concejo,TOLIMA,ROVIRA,ROBINSON SNEIDER ARANA CELIS,PARTIDO LIBERAL COLOMBIANO,68368
Concejo,TOLIMA,ROVIRA,ROSABEL EDITH QUIÑONES SERRANO,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,68398
Concejo,TOLIMA,ROVIRA,RUBEN DARIO HOMEZ RAMIREZ,PARTIDO CONSERVADOR COLOMBIANO,68423
Concejo,TOLIMA,ROVIRA,RUBEN DARIO ORJUELA RUIZ,PARTIDO CENTRO DEMOCRATICO,68388
Concejo,TOLIMA,ROVIRA,SANDRA LILIANA HOYOS LEYTON,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,68457
Concejo,TOLIMA,ROVIRA,SANDRA MILENA MENDOZA ,PARTIDO ALIANZA VERDE,68448
Concejo,TOLIMA,ROVIRA,SANDRA MILENA MUÑOZ ALVIS,PARTIDO CAMBIO RADICAL,68438
Concejo,TOLIMA,ROVIRA,SANDRO RODRIGO RIVAS FALLA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,68484
Concejo,TOLIMA,ROVIRA,SERAFIN  SIERRA ALVAREZ,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,68402
Concejo,TOLIMA,ROVIRA,SILVERIA  BONILLA LOZANO,PARTIDO CAMBIO RADICAL,68435
Concejo,TOLIMA,ROVIRA,TATIANA ANDREA ROBAYO GUZMAN,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,68465
Concejo,TOLIMA,ROVIRA,URIEL  CONDE FLORIDO,PARTIDO CONSERVADOR COLOMBIANO,68421
Concejo,TOLIMA,ROVIRA,WILDER  TIQUE PATIÑO,PARTIDO ALIANZA VERDE,68447
Concejo,TOLIMA,ROVIRA,WILSON  MORENO AVILA,PARTIDO LIBERAL COLOMBIANO,68374
Concejo,TOLIMA,ROVIRA,XIMENA XIOMARA RICO SANCHEZ,PARTIDO LIBERAL COLOMBIANO,68370
Concejo,TOLIMA,ROVIRA,YENI ALEJANDRA HURTADO OBANDO,PARTIDO ADA,68410
Concejo,TOLIMA,ROVIRA,YENNY PAOLA PADILLA HERNANDEZ,PARTIDO CAMBIO RADICAL,68433
Concejo,TOLIMA,ROVIRA,YEZID  PATIÑO ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,68489
Concejo,TOLIMA,ROVIRA,YOLEIDA  VARGAS CESPEDES,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,68404
