corp,dpto,mpio,name,party,wp_no
Concejo,TOLIMA,SAN LUIS,ADOLFO  MUÑOZ COLLAZOS,PARTIDO CENTRO DEMOCRATICO,68713
Concejo,TOLIMA,SAN LUIS,ADRIANA  BRIÑEZ PRECIADO,PARTIDO CENTRO DEMOCRATICO,68714
Concejo,TOLIMA,SAN LUIS,ALEXANDER  MARTINEZ CALDERON,PARTIDO COLOMBIA RENACIENTE,68731
Concejo,TOLIMA,SAN LUIS,ALEXANDER EDUARDO AVILES GUAYARA,PARTIDO CAMBIO RADICAL,68749
Concejo,TOLIMA,SAN LUIS,ALVARO  GUALTERO MURCIA,PARTIDO ALIANZA VERDE,68760
Concejo,TOLIMA,SAN LUIS,ALVEIRO  MEDINA PRECIADO,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,68722
Concejo,TOLIMA,SAN LUIS,ANA MERCEDES CERQUERA ,PARTIDO CENTRO DEMOCRATICO,68715
Concejo,TOLIMA,SAN LUIS,ANA SOFIA CARRILLO BUITRAGO,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,68773
Concejo,TOLIMA,SAN LUIS,ANDRES FELIPE BONILLA BONILLA,PARTIDO COLOMBIA RENACIENTE,68728
Concejo,TOLIMA,SAN LUIS,ANGELA  PARGA HERRERA,PARTIDO CAMBIO RADICAL,68751
Concejo,TOLIMA,SAN LUIS,ARISTOBULO  BARRERO RIVEROS,PARTIDO ALIANZA VERDE,68766
Concejo,TOLIMA,SAN LUIS,AURORA  PARRALES DEVIA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,68790
Concejo,TOLIMA,SAN LUIS,BENEDICTO  LOZANO GIRON,PARTIDO ALIANZA VERDE,68763
Concejo,TOLIMA,SAN LUIS,CARLOS HUMBERTO MIRQUEZ PORTELA,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,68779
Concejo,TOLIMA,SAN LUIS,CARLOS ROBERTO FERIA RUBIO,PARTIDO CONSERVADOR COLOMBIANO,68743
Concejo,TOLIMA,SAN LUIS,CARLOS UBERTEY JIMENEZ GUTIERREZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,68786
Concejo,TOLIMA,SAN LUIS,DARIANA YERALDINE CASTRO ROMERO,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,68769
Concejo,TOLIMA,SAN LUIS,DIANA MARITZA QUIMBAYO AMPUDIA,PARTIDO CAMBIO RADICAL,68747
Concejo,TOLIMA,SAN LUIS,EDUARDO  CAMPOS GODOY,PARTIDO CONSERVADOR COLOMBIANO,68744
Concejo,TOLIMA,SAN LUIS,EDWIN  ROBAYO CUELLAR,PARTIDO ALIANZA VERDE,68767
Concejo,TOLIMA,SAN LUIS,EDWIN OCTAVIO BRIÑEZ BRIÑEZ,PARTIDO ALIANZA VERDE,68758
Concejo,TOLIMA,SAN LUIS,ELVA  CARVAJAL FLOREZ,PARTIDO COLOMBIA RENACIENTE,68730
Concejo,TOLIMA,SAN LUIS,ERIKA YINED MIRQUEZ PORTELA,PARTIDO ALIANZA VERDE,68765
Concejo,TOLIMA,SAN LUIS,FANNY  CARRILLO LAZO,PARTIDO LIBERAL COLOMBIANO,68696
Concejo,TOLIMA,SAN LUIS,FERNANDO  GUAYARA MOSCOSO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,68783
Concejo,TOLIMA,SAN LUIS,FLORINDA  LUGO CIFUENTES,PARTIDO LIBERAL COLOMBIANO,68705
Concejo,TOLIMA,SAN LUIS,FRANCY ROCIO PADILLA SUAREZ,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,68718
Concejo,TOLIMA,SAN LUIS,FREDDY ALEXANDER PARRADO REY,PARTIDO CAMBIO RADICAL,68752
Concejo,TOLIMA,SAN LUIS,GEOVANI  GONZALEZ GUAYARA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,68782
Concejo,TOLIMA,SAN LUIS,HEMERSON  BERNATE MURILLO,PARTIDO CONSERVADOR COLOMBIANO,68742
Concejo,TOLIMA,SAN LUIS,HERMELINDA  GAMBA ,PARTIDO CONSERVADOR COLOMBIANO,68738
Concejo,TOLIMA,SAN LUIS,IRMA  CARRILLO VARGAS,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,68777
Concejo,TOLIMA,SAN LUIS,ISABEL  MEJIA NARANJO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,68785
Concejo,TOLIMA,SAN LUIS,ISAIAS  OSORIO PAEZ,PARTIDO CENTRO DEMOCRATICO,68708
Concejo,TOLIMA,SAN LUIS,JACQUELIN  CASTRO CASTIBLANCO,PARTIDO CAMBIO RADICAL,68757
Concejo,TOLIMA,SAN LUIS,JACQUELINE  CONDE PALOMINO,PARTIDO ALIANZA VERDE,68761
Concejo,TOLIMA,SAN LUIS,JESUS ANDRES SANCHEZ CAICEDO,PARTIDO COLOMBIA RENACIENTE,68727
Concejo,TOLIMA,SAN LUIS,JESUS MARIA DIAZ MORALES,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,68778
Concejo,TOLIMA,SAN LUIS,JHON FREDY CAYCEDO MONROY,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,68787
Concejo,TOLIMA,SAN LUIS,JHON FREDY ROJAS MENDEZ,PARTIDO COLOMBIA RENACIENTE,68735
Concejo,TOLIMA,SAN LUIS,JHON HENRY BARRETO PRECIADO,PARTIDO CAMBIO RADICAL,68754
Concejo,TOLIMA,SAN LUIS,JORGE IVAN CAICEDO GUZMAN,PARTIDO LIBERAL COLOMBIANO,68698
Concejo,TOLIMA,SAN LUIS,JOSE ALCIDES GUZMAN ,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,68776
Concejo,TOLIMA,SAN LUIS,JOSE ALEXANDER MENESES CASTILLO,PARTIDO CENTRO DEMOCRATICO,68707
Concejo,TOLIMA,SAN LUIS,JOSE ARLEY PEREZ LUGO,PARTIDO CONSERVADOR COLOMBIANO,68741
