corp,dpto,mpio,name,party,wp_no
Concejo,TOLIMA,SUAREZ,ALEXANDER  PEREZ GOMEZ,PARTIDO CENTRO DEMOCRATICO,68845
Concejo,TOLIMA,SUAREZ,ANGEL GUSTAVO SUAREZ GARNICA,PARTIDO LIBERAL COLOMBIANO,68842
Concejo,TOLIMA,SUAREZ,ARGELY  VASQUEZ ROMERO,PARTIDO CAMBIO RADICAL,68869
Concejo,TOLIMA,SUAREZ,BLANCA CECILIA HERNANDEZ GOMEZ,PARTIDO CAMBIO RADICAL,68872
Concejo,TOLIMA,SUAREZ,CARMEN ROSA BRIÑEZ GONGORA,PARTIDO LIBERAL COLOMBIANO,68841
Concejo,TOLIMA,SUAREZ,DANIA CATHERINE RODRIGUEZ CARRILLO,PARTIDO ALIANZA VERDE,68877
Concejo,TOLIMA,SUAREZ,DORIS ASTRID URIZA ,PARTIDO CENTRO DEMOCRATICO,68851
Concejo,TOLIMA,SUAREZ,EDILIA  GUALDRON TAVERA,PARTIDO COLOMBIA RENACIENTE,68854
Concejo,TOLIMA,SUAREZ,ELICENIA  CALDERON ORJUELA,PARTIDO ALIANZA VERDE,68874
Concejo,TOLIMA,SUAREZ,ELIZABETH  BUSTAMANTE VASQUEZ,PARTIDO LIBERAL COLOMBIANO,68844
Concejo,TOLIMA,SUAREZ,ELIZABETH  PERDOMO TOLEDO,PARTIDO CONSERVADOR COLOMBIANO,68860
Concejo,TOLIMA,SUAREZ,ELSY YANETH BARBERY SAAVEDRA,PARTIDO ALIANZA VERDE,68876
Concejo,TOLIMA,SUAREZ,FELIX EDUARDO SOTO CARDOZO,PARTIDO COLOMBIA RENACIENTE,68858
Concejo,TOLIMA,SUAREZ,FLOR MELFI CASILIMAS OSPINA,PARTIDO COLOMBIA RENACIENTE,68855
Concejo,TOLIMA,SUAREZ,GLORIA MARCELA LOMBO DIAZ,SIEMPRE POR SUAREZ,68885
Concejo,TOLIMA,SUAREZ,HENRY  SANCHEZ PERDOMO,PARTIDO CONSERVADOR COLOMBIANO,68862
Concejo,TOLIMA,SUAREZ,HERNAN  CESPEDES PRADA,PARTIDO CAMBIO RADICAL,68870
Concejo,TOLIMA,SUAREZ,HERNAN  RODRIGUEZ GUZMAN,SIEMPRE POR SUAREZ,68880
Concejo,TOLIMA,SUAREZ,HERNANDO  CASTRO AVILES,PARTIDO CONSERVADOR COLOMBIANO,68865
Concejo,TOLIMA,SUAREZ,JESUS ALBERTO RAMIREZ CARDOSO,PARTIDO CENTRO DEMOCRATICO,68849
Concejo,TOLIMA,SUAREZ,JHON JAMES ARIAS ESCOBAR,SIEMPRE POR SUAREZ,68883
Concejo,TOLIMA,SUAREZ,JHONATAN  LIZCANO GONZALEZ,PARTIDO CAMBIO RADICAL,68871
Concejo,TOLIMA,SUAREZ,JORGE ARMANDO YEPES AGUDELO,PARTIDO COLOMBIA RENACIENTE,68857
Concejo,TOLIMA,SUAREZ,JORGE ARTURO RAMIREZ URQUIJO,PARTIDO LIBERAL COLOMBIANO,68840
Concejo,TOLIMA,SUAREZ,JOSE AUGUSTO BARRIOS FUENTES,PARTIDO CENTRO DEMOCRATICO,68846
Concejo,TOLIMA,SUAREZ,JOSE BENJAMIN HERRERA GOMEZ,PARTIDO COLOMBIA RENACIENTE,68856
Concejo,TOLIMA,SUAREZ,JUAN ESTEBAN GARNICA RODRIGUEZ,PARTIDO LIBERAL COLOMBIANO,68843
Concejo,TOLIMA,SUAREZ,LUZ MARIA FORERO DE CORNELIO,SIEMPRE POR SUAREZ,68884
Concejo,TOLIMA,SUAREZ,MARCO TULIO CORNELIO MARIN,PARTIDO COLOMBIA RENACIENTE,68852
Concejo,TOLIMA,SUAREZ,MARIA DALIZ MONTILLA ,PARTIDO CENTRO DEMOCRATICO,68848
Concejo,TOLIMA,SUAREZ,MARTIN ORLANDO POLANIA CORNELIO,PARTIDO CENTRO DEMOCRATICO,68847
Concejo,TOLIMA,SUAREZ,MIGUEL  CALDERON BRIÑEZ,PARTIDO CAMBIO RADICAL,68866
Concejo,TOLIMA,SUAREZ,MIGUEL ANTONIO SALAZAR TIQUE,PARTIDO CONSERVADOR COLOMBIANO,68861
Concejo,TOLIMA,SUAREZ,NIEVES  CASTAÑEDA SALCEDO,SIEMPRE POR SUAREZ,68881
Concejo,TOLIMA,SUAREZ,NOHORA ASTRID GUERRA CARDOZO,PARTIDO CAMBIO RADICAL,68868
Concejo,TOLIMA,SUAREZ,OSWALDO JAVIER SANCHEZ CALDERON,PARTIDO ALIANZA VERDE,68873
Concejo,TOLIMA,SUAREZ,REINALDO  CORTES LOZANO,PARTIDO ALIANZA VERDE,68878
