corp,dpto,mpio,name,party,wp_no
Concejo,TOLIMA,VILLAHERMOSA,ALBA LUZ ZULETA PARADA,PARTIDO LIBERAL COLOMBIANO,69012
Concejo,TOLIMA,VILLAHERMOSA,ALBERTO  AVILA SANCHEZ,PARTIDO LIBERAL COLOMBIANO,69011
Concejo,TOLIMA,VILLAHERMOSA,ALEJANDRA  OSPINA MUÑOZ,PARTIDO ADA,69034
Concejo,TOLIMA,VILLAHERMOSA,ALVARO  RUIZ MOYA,PARTIDO CAMBIO RADICAL,69057
Concejo,TOLIMA,VILLAHERMOSA,AMANDA SOLANY MELO RUDAS,PARTIDO CONSERVADOR COLOMBIANO,69047
Concejo,TOLIMA,VILLAHERMOSA,ANGHIE NATALIA ARBELAEZ GAVIRIA,PARTIDO CENTRO DEMOCRATICO,69027
Concejo,TOLIMA,VILLAHERMOSA,ANTONIO JOSE GIRALDO OSORNO,PARTIDO LIBERAL COLOMBIANO,69015
Concejo,TOLIMA,VILLAHERMOSA,BRAULIO  ZULUAGA GRANADOS,PARTIDO POLO DEMOCRATICO ALTERNATIVO,69070
Concejo,TOLIMA,VILLAHERMOSA,CARLOS ARTURO VARGAS ORDOÑEZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,69068
Concejo,TOLIMA,VILLAHERMOSA,CARLOS GABRIEL DIAZ RIOS,PARTIDO ADA,69038
Concejo,TOLIMA,VILLAHERMOSA,CECILIA  MURILLO PINEDA,PARTIDO CENTRO DEMOCRATICO,69023
Concejo,TOLIMA,VILLAHERMOSA,CESAR AUGUSTO MUÑOZ MORENO,PARTIDO CONSERVADOR COLOMBIANO,69046
Concejo,TOLIMA,VILLAHERMOSA,CINDY NATALIA SIERRA ARENAS,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,69060
Concejo,TOLIMA,VILLAHERMOSA,CINDY YULIANA PINEDA RUDAS,PARTIDO ADA,69035
Concejo,TOLIMA,VILLAHERMOSA,DIANA PATRICIA CARDONA OSORIO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,69064
Concejo,TOLIMA,VILLAHERMOSA,DIEGO FERNANDO SANCHEZ VALLEJO,PARTIDO CONSERVADOR COLOMBIANO,69044
Concejo,TOLIMA,VILLAHERMOSA,DIEGO LEONARDO OROZCO GUTIERREZ,PARTIDO ADA,69037
Concejo,TOLIMA,VILLAHERMOSA,DORIS AMANDA CASTRO OSORIO,PARTIDO CENTRO DEMOCRATICO,69028
Concejo,TOLIMA,VILLAHERMOSA,EDGAR ALBEIRO OSORNO REINOSA,PARTIDO LIBERAL COLOMBIANO,69019
Concejo,TOLIMA,VILLAHERMOSA,EDUARDO ALONSO ZAPATA BURITICA,PARTIDO CENTRO DEMOCRATICO,69020
Concejo,TOLIMA,VILLAHERMOSA,EDWAR ANDRES OSORIO BALLESTEROS,PARTIDO CONSERVADOR COLOMBIANO,69045
Concejo,TOLIMA,VILLAHERMOSA,ELIANA MARCELA HERRERA PEREZ,PARTIDO CAMBIO RADICAL,69055
Concejo,TOLIMA,VILLAHERMOSA,ELIAS  CALDERON GONZALEZ,PARTIDO CENTRO DEMOCRATICO,69021
Concejo,TOLIMA,VILLAHERMOSA,EUGENIO  CORREDOR HERNANDEZ,PARTIDO LIBERAL COLOMBIANO,69017
Concejo,TOLIMA,VILLAHERMOSA,GILDARDO  RODRIGUEZ CAICEDO,COALICION POR VILLAHERMOSA,69076
Concejo,TOLIMA,VILLAHERMOSA,GLEYDIS  CORTES MARIN,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,69065
Concejo,TOLIMA,VILLAHERMOSA,GUSTAVO ANDRES VANEGAS ORJUELA,COALICION POR VILLAHERMOSA,69080
Concejo,TOLIMA,VILLAHERMOSA,ISMAEL  PARRA AMORTEGUI,PARTIDO CONSERVADOR COLOMBIANO,69041
Concejo,TOLIMA,VILLAHERMOSA,IVERSON ADRIAN BEDOYA BAUTISTA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,69066
Concejo,TOLIMA,VILLAHERMOSA,JACKELINE  RAMIREZ MARTINEZ,COALICION POR VILLAHERMOSA,69074
Concejo,TOLIMA,VILLAHERMOSA,JAIME  BEDOYA PEÑA,PARTIDO CENTRO DEMOCRATICO,69026
Concejo,TOLIMA,VILLAHERMOSA,JAIRO  CARDONA CARDONA,PARTIDO ADA,69033
Concejo,TOLIMA,VILLAHERMOSA,JAIRO  CASTRO ORTIGOZA,PARTIDO CAMBIO RADICAL,69053
Concejo,TOLIMA,VILLAHERMOSA,JAVIER ANTONIO BEDOYA SUAREZ,COALICION POR VILLAHERMOSA,69075
Concejo,TOLIMA,VILLAHERMOSA,JAZMIN  ARENAS GIRALDO,COALICION POR VILLAHERMOSA,69078
Concejo,TOLIMA,VILLAHERMOSA,JENNY JOHANA LOPEZ MARIN,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,69067
Concejo,TOLIMA,VILLAHERMOSA,JESUS ORLANDO ZULUAGA ARCILA,COALICION POR VILLAHERMOSA,69077
Concejo,TOLIMA,VILLAHERMOSA,JHONN ANDERSON FAJARDO ARCILA,PARTIDO LIBERAL COLOMBIANO,69018
Concejo,TOLIMA,VILLAHERMOSA,JORGE ARLEY VALLEJO BETANCOURT,PARTIDO CENTRO DEMOCRATICO,69030
Concejo,TOLIMA,VILLAHERMOSA,JOSE ALDEMAR AVILA BENITEZ,PARTIDO CENTRO DEMOCRATICO,69022
Concejo,TOLIMA,VILLAHERMOSA,JOSE BLADIMIR MARTINEZ GONZALEZ,PARTIDO POLO DEMOCRATICO ALTERNATIVO,69072
Concejo,TOLIMA,VILLAHERMOSA,JOSE DAVID FLOREZ LOPEZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,69063
Concejo,TOLIMA,VILLAHERMOSA,JOSE DINAEL OROZCO CORTES,PARTIDO CENTRO DEMOCRATICO,69025
Concejo,TOLIMA,VILLAHERMOSA,JOSE DIONISIO CORREDOR HERNANDEZ,PARTIDO CONSERVADOR COLOMBIANO,69043
Concejo,TOLIMA,VILLAHERMOSA,JOSE NELSON TORRES ,PARTIDO CAMBIO RADICAL,69054
Concejo,TOLIMA,VILLAHERMOSA,JOSE NORBEY PEREZ CARDENAS,PARTIDO CENTRO DEMOCRATICO,69024
Concejo,TOLIMA,VILLAHERMOSA,LIBARDO  BEDOYA PEÑA,COALICION POR VILLAHERMOSA,69073
Concejo,TOLIMA,VILLAHERMOSA,LINDELIO  VARGAS GARCIA,PARTIDO LIBERAL COLOMBIANO,69013
Concejo,TOLIMA,VILLAHERMOSA,LUIS ALBERTO GARCIA ,PARTIDO CAMBIO RADICAL,69050
Concejo,TOLIMA,VILLAHERMOSA,LUZ DARY MONTOYA SALAZAR,PARTIDO LIBERAL COLOMBIANO,69014
Concejo,TOLIMA,VILLAHERMOSA,LUZ STELLA HOYOS BOTERO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,69069
Concejo,TOLIMA,VILLAHERMOSA,MANUEL HUMBERTO AVILA BENITEZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,69062
Concejo,TOLIMA,VILLAHERMOSA,MARIA ASCENCION LOPEZ MIRANDA,PARTIDO LIBERAL COLOMBIANO,69016
Concejo,TOLIMA,VILLAHERMOSA,MARTHA LUCIA SIERRA VALENCIA,PARTIDO CONSERVADOR COLOMBIANO,69042
Concejo,TOLIMA,VILLAHERMOSA,MARTHA YINNETH GALLEGO PINEDA,PARTIDO CONSERVADOR COLOMBIANO,69048
Concejo,TOLIMA,VILLAHERMOSA,MARYOLY  VERGARA MORALES,PARTIDO POLO DEMOCRATICO ALTERNATIVO,69071
Concejo,TOLIMA,VILLAHERMOSA,MAYRA ALEJANDRA SUAREZ LONDOÑO,PARTIDO CAMBIO RADICAL,69059
Concejo,TOLIMA,VILLAHERMOSA,OMAR YESID MARTINEZ VALENCIA,PARTIDO CONSERVADOR COLOMBIANO,69040
Concejo,TOLIMA,VILLAHERMOSA,ROBER  RUIZ PATIÑO,PARTIDO CONSERVADOR COLOMBIANO,69039
Concejo,TOLIMA,VILLAHERMOSA,SANDRA MILENA MORENO GRISALES,PARTIDO ADA,69032
Concejo,TOLIMA,VILLAHERMOSA,SONIA ROCIO PEDRAZA SABOGAL,PARTIDO CENTRO DEMOCRATICO,69029
Concejo,TOLIMA,VILLAHERMOSA,STEFANIA  PEÑA ALVAREZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,69061
Concejo,TOLIMA,VILLAHERMOSA,VIANEY MAYERLI GUZMAN YEPES,PARTIDO CAMBIO RADICAL,69051
Concejo,TOLIMA,VILLAHERMOSA,YARIS FERNANDA SUAREZ LONDOÑO,PARTIDO CAMBIO RADICAL,69052
Concejo,TOLIMA,VILLAHERMOSA,YEISON FERNANDO PATIÑO POSADA,PARTIDO ADA,69036
Concejo,TOLIMA,VILLAHERMOSA,YURI NORELI FRANCO AREVALO,PARTIDO CONSERVADOR COLOMBIANO,69049
Concejo,TOLIMA,VILLAHERMOSA,YURI ROCIO GAVIRIA ALVAREZ,COALICION POR VILLAHERMOSA,69079
