corp,dpto,mpio,name,party,wp_no
Concejo,VALLE,BUENAVENTURA,ABENCIO  CAICEDO CAICEDO,PARTIDO POLO DEMOCRATICO ALTERNATIVO,76417
Concejo,VALLE,BUENAVENTURA,ABRAHAM  RAMIREZ DELGADO,PARTIDO COLOMBIA JUSTA LIBRES,76243
Concejo,VALLE,BUENAVENTURA,ADALBERTO  ROMAÑA CUESTA,PARTIDO COLOMBIA RENACIENTE,76255
Concejo,VALLE,BUENAVENTURA,ALBA LUCIA CASTAÑO SALAZAR,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,76358
Concejo,VALLE,BUENAVENTURA,ALEX HERNAN CAMPO ANGULO,PARTIDO POLO DEMOCRATICO ALTERNATIVO,76410
Concejo,VALLE,BUENAVENTURA,ALEXANDER  ARAUJO LASSO,PARTIDO COLOMBIA JUSTA LIBRES,76250
Concejo,VALLE,BUENAVENTURA,ALEXANDER  DELGADO ARAGON,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,76387
Concejo,VALLE,BUENAVENTURA,ALIX DANEY RIASCOS MORANTE,PARTIDO COLOMBIA RENACIENTE,76253
Concejo,VALLE,BUENAVENTURA,ALVARO RODRIGO RODRIGUEZ ROSERO,PARTIDO POLO DEMOCRATICO ALTERNATIVO,76422
Concejo,VALLE,BUENAVENTURA,ALWIN YERSON ANDRADE CHUNGA,PARTIDO ADA,76280
Concejo,VALLE,BUENAVENTURA,ANA CAROLINA ANGULO MOSQUERA,PARTIDO COLOMBIA JUSTA LIBRES,76248
Concejo,VALLE,BUENAVENTURA,ANA GLORIA TORRES RIASCOS,PARTIDO CENTRO DEMOCRATICO,76214
Concejo,VALLE,BUENAVENTURA,ANA ISABEL CARDONA AGUILAR,PARTIDO COLOMBIA JUSTA LIBRES,76247
Concejo,VALLE,BUENAVENTURA,ANA YENSI MOSQUERA GIRON,PARTIDO ADA,76282
Concejo,VALLE,BUENAVENTURA,ANATILDE  CAICEDO PRETEL,PARTIDO CENTRO DEMOCRATICO,76217
Concejo,VALLE,BUENAVENTURA,ANDERSON  DELGADO GARCIA,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,76236
Concejo,VALLE,BUENAVENTURA,ANDERSON  QUINONEZ LOPEZ,PARTIDO COLOMBIA JUSTA LIBRES,76241
Concejo,VALLE,BUENAVENTURA,ANDRES  FERRIN MORENO,PARTIDO CAMBIO RADICAL,76312
Concejo,VALLE,BUENAVENTURA,ANGELINO  PERDIZ PIRAZA,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,76228
Concejo,VALLE,BUENAVENTURA,ANSELMO  CAICEDO ,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,76355
Concejo,VALLE,BUENAVENTURA,ARLEY  RIASCOS MENESES,PARTIDO CENTRO DEMOCRATICO,76211
Concejo,VALLE,BUENAVENTURA,BEATRIZ  MOSQUERA RODRIGUEZ,PARTIDO POLO DEMOCRATICO ALTERNATIVO,76406
Concejo,VALLE,BUENAVENTURA,BETTY  VALENCIA ROSERO,PARTIDO ALIANZA VERDE,76322
Concejo,VALLE,BUENAVENTURA,BLENY DEL CARMEN VALLECILLA SEGURA,PARTIDO POLO DEMOCRATICO ALTERNATIVO,76419
Concejo,VALLE,BUENAVENTURA,BORIS FRANCISCO MOSQUERA POTES,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,76224
Concejo,VALLE,BUENAVENTURA,CARLOS ARTURO LOPEZ VALENCIA,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,76221
Concejo,VALLE,BUENAVENTURA,CARMEN  ROSERO VIVEROS,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,76340
Concejo,VALLE,BUENAVENTURA,CARMEN ALICIA MOSQUERA DE RODRIGUEZ,PARTIDO LIBERAL COLOMBIANO,76192
Concejo,VALLE,BUENAVENTURA,CESAR AUGUSTO CUNDUMI JORY,PARTIDO ALIANZA VERDE,76315
Concejo,VALLE,BUENAVENTURA,CIRILA  SANCHEZ OROBIO,PARTIDO LIBERAL COLOMBIANO,76187
Concejo,VALLE,BUENAVENTURA,CLARCK JOSE VALENCIA VALENCIA,PARTIDO CENTRO DEMOCRATICO,76208
Concejo,VALLE,BUENAVENTURA,DAGOBERTO  CUERO HURTADO,PARTIDO CAMBIO RADICAL,76303
Concejo,VALLE,BUENAVENTURA,DARLING SANTIAGO TORRES CASTRO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,76402
Concejo,VALLE,BUENAVENTURA,DARLY  ZUÑIGA ANGULO,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,76333
Concejo,VALLE,BUENAVENTURA,DAVID JASON VIAFARA SARRIA,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,76349
Concejo,VALLE,BUENAVENTURA,DAYAN GUILLERMO MUÑOZ LOPEZ,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,76232
Concejo,VALLE,BUENAVENTURA,DENIS DANIEL MINA ESTUPIÑAN,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,76341
Concejo,VALLE,BUENAVENTURA,DIANA KAROLINA GUERRERO OBREGON,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,76234
Concejo,VALLE,BUENAVENTURA,DIEGO FERNEY RIASCOS VALENCIA,PARTIDO ADA,76273
Concejo,VALLE,BUENAVENTURA,DONALD JOFRE MATAMBA MURILLO,COLOMBIA HUMANA - UNIÓN PATRIÓTICA,76195
Concejo,VALLE,BUENAVENTURA,DORIS  SINISTERRA ,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,76354
Concejo,VALLE,BUENAVENTURA,DORIS MARIA SINISTERRA HERNANDEZ,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,76237
Concejo,VALLE,BUENAVENTURA,EDDY HARDANY CEDEÑO VELASCO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,76392
Concejo,VALLE,BUENAVENTURA,EDGAR  SINISTERRA GRANADOS,PARTIDO COLOMBIA JUSTA LIBRES,76239
Concejo,VALLE,BUENAVENTURA,EDGAR HUMBERTO GOMEZ MUNERA,PARTIDO ALIANZA VERDE,76330
Concejo,VALLE,BUENAVENTURA,EDWARD  JIMENEZ VARGAS,PARTIDO CONSERVADOR COLOMBIANO,76290
Concejo,VALLE,BUENAVENTURA,EDWARD EMIL ORDOÑEZ PEÑA,PARTIDO CONSERVADOR COLOMBIANO,76297
Concejo,VALLE,BUENAVENTURA,EDWIN ALBERTO MOSQUERA VIVEROS,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,76400
Concejo,VALLE,BUENAVENTURA,EDWIN ALBERTO VEGA VALENCIA,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,76363
Concejo,VALLE,BUENAVENTURA,ELIANA  RUBIO GUANGA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,76390
Concejo,VALLE,BUENAVENTURA,ELIZA NORA GAMBOA RENTERIA,PARTIDO DE REIVINDICACIÓN ÉTNICA -PRE-,76284
Concejo,VALLE,BUENAVENTURA,ELIZABETH  CACERES LOPEZ,PARTIDO COLOMBIA RENACIENTE,76263
Concejo,VALLE,BUENAVENTURA,ERICKSON  SAA ASPRILLA,PARTIDO CAMBIO RADICAL,76307
Concejo,VALLE,BUENAVENTURA,ERIKA  VALENCIA RENTERIA,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,76229
Concejo,VALLE,BUENAVENTURA,ESTHER JULIA NUÑEZ BOYA,PARTIDO CENTRO DEMOCRATICO,76216
Concejo,VALLE,BUENAVENTURA,EUSTAQUIO  OBANDO ,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,76345
Concejo,VALLE,BUENAVENTURA,EVANGELISTA  ARAGON CUERO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,76401
Concejo,VALLE,BUENAVENTURA,EYDA LUZ MOSQUERA GAMBOA,PARTIDO POLO DEMOCRATICO ALTERNATIVO,76421
Concejo,VALLE,BUENAVENTURA,FABIO  CASTILLO MOSQUERA,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,76220
Concejo,VALLE,BUENAVENTURA,FLOR DEL CARMEN CASTILLO ,PARTIDO CAMBIO RADICAL,76301
Concejo,VALLE,BUENAVENTURA,FLOR ESTHER CARIAGA OLAYA,PARTIDO COLOMBIA JUSTA LIBRES,76246
Concejo,VALLE,BUENAVENTURA,FLORESMILO  RENTERIA ANGULO,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,76227
Concejo,VALLE,BUENAVENTURA,FRANCISCO JAVIER PAREDES TORRES,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,76352
Concejo,VALLE,BUENAVENTURA,FREHIMAN  CASTRO TORRES,PARTIDO ADA,76277
Concejo,VALLE,BUENAVENTURA,GAMAL  VALENCIA SAA,PARTIDO CONSERVADOR COLOMBIANO,76291
Concejo,VALLE,BUENAVENTURA,GERARDO ALFREDO GONGORA IBARRA,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,76223
Concejo,VALLE,BUENAVENTURA,GILMAR ORLANDO VALENCIA MARTINEZ,PARTIDO COLOMBIA RENACIENTE,76267
Concejo,VALLE,BUENAVENTURA,GLADYS  LOANGO CAICEDO,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,76339
Concejo,VALLE,BUENAVENTURA,GUSTAVO  AGUILAR ,COLOMBIA HUMANA - UNIÓN PATRIÓTICA,76197
Concejo,VALLE,BUENAVENTURA,GUSTAVO  CHAMAPURO NEGRIA,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,76233
Concejo,VALLE,BUENAVENTURA,HAMILTON  MURILLO MOSQUERA,PARTIDO CAMBIO RADICAL,76313
Concejo,VALLE,BUENAVENTURA,HANS  JARAMILLO VALENCIA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,76397
