corp,dpto,mpio,name,party,wp_no
Concejo,VALLE,CALI,ALBEIRO  ECHEVERRY BUSTAMANTE,PARTIDO CONSERVADOR COLOMBIANO,74919
Concejo,VALLE,CALI,ALBERTO  BEJARANO SCHIESS,PARTIDO POLO DEMOCRATICO ALTERNATIVO,75045
Concejo,VALLE,CALI,ALEJANDRO  BALANTA SANCHEZ,PARTIDO COLOMBIA JUSTA LIBRES,74882
Concejo,VALLE,CALI,ALEJANDRO  CAICEDO CORTES,PARTIDO COLOMBIA RENACIENTE,74896
Concejo,VALLE,CALI,ALEJANDRO  GAVIRIA NOREÑA,PARTIDO CONSERVADOR COLOMBIANO,74924
Concejo,VALLE,CALI,ALEJANDRO  VASQUEZ ZAWAZKY,PARTIDO CENTRO DEMOCRATICO,74844
Concejo,VALLE,CALI,ALEXANDER  LEON ,PARTIDO CAMBIO RADICAL,74942
Concejo,VALLE,CALI,ALEXANDER  SEGURA ZULUAGA,PARTIDO COLOMBIA JUSTA LIBRES,74869
Concejo,VALLE,CALI,ALEXANDER  TRUJILLO FAJARDO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,75030
Concejo,VALLE,CALI,ALEXANDRA  HERNANDEZ CEDEÑO,PARTIDO CAMBIO RADICAL,74939
Concejo,VALLE,CALI,ALFONSO  OSPINA TERAN,CONVERGENCIA HUMANA,75060
Concejo,VALLE,CALI,ALFREDO  PINEDA TORRES,PARTIDO COLOMBIA RENACIENTE,74894
Concejo,VALLE,CALI,ALVARO JOSE AGUADO ,PARTIDO LIBERAL COLOMBIANO,74825
Concejo,VALLE,CALI,ANA CAROLINA AGUADO OVIEDO,PARTIDO CAMBIO RADICAL,117976
Concejo,VALLE,CALI,ANA LEIDY ERAZO RUIZ,PARTIDO POLO DEMOCRATICO ALTERNATIVO,75032
Concejo,VALLE,CALI,ANDRES MAURICIO ALARCON ARIAS,PARTIDO ALIANZA VERDE,74962
Concejo,VALLE,CALI,ANDRES PAOLO VALENZUELA RIASCOS,PARTIDO ADA,74915
Concejo,VALLE,CALI,ANGEL MARIA SIERRA MUÑOZ,PARTIDO POLITICO MIRA,75006
