corp,dpto,mpio,name,party,wp_no
Concejo,VALLE,CANDELARIA,ADELAIDA  ANDRADE PATIÑO,COALICION AICO - MIRA,76973
Concejo,VALLE,CANDELARIA,AGUSTIN DANIEL PINZON POVEDA,PARTIDO CONSERVADOR COLOMBIANO,76899
Concejo,VALLE,CANDELARIA,ALEXANDER  CARDONA SOTO,PARTIDO ALIANZA VERDE,76925
Concejo,VALLE,CANDELARIA,ALEXANDER  TIGREROS ROA,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,76846
Concejo,VALLE,CANDELARIA,ALEXANDER  VALENCIA CAICEDO,COALICION AICO - MIRA,76982
Concejo,VALLE,CANDELARIA,ALEXIS  CARDENAS NUÑEZ,COALICION AICO - MIRA,76977
Concejo,VALLE,CANDELARIA,ALVARO  MACA MONTILLA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,76952
Concejo,VALLE,CANDELARIA,ALVARO JOSE MAYA FLOREZ,PARTIDO CONSERVADOR COLOMBIANO,76888
Concejo,VALLE,CANDELARIA,ALVEIRO  PULGARIN PEREZ,PARTIDO ADA,76881
Concejo,VALLE,CANDELARIA,ANA MILENA ALVEAR ,CONVERGENCIA CANDELARIA,76961
Concejo,VALLE,CANDELARIA,ANA MILENA ROSERO CHAVEZ,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,76942
Concejo,VALLE,CANDELARIA,ANDERSON  ARTEAGA MENESES,PARTIDO COLOMBIA JUSTA LIBRES,76862
Concejo,VALLE,CANDELARIA,ANDRES FELIPE GOMEZ RAMIREZ,PARTIDO COLOMBIA JUSTA LIBRES,76854
Concejo,VALLE,CANDELARIA,AURA ALICIA BERMUDEZ MELINDRES,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,76844
Concejo,VALLE,CANDELARIA,BIRMANIA  MARIN CASTAÑEDA,PARTIDO ALIANZA VERDE,76920
Concejo,VALLE,CANDELARIA,BLANCA NIEVES HERNANDEZ MACEA,PARTIDO CAMBIO RADICAL,76911
Concejo,VALLE,CANDELARIA,CALIXTO  GARCES ENRIQUEZ,PARTIDO LIBERAL COLOMBIANO,76830
Concejo,VALLE,CANDELARIA,CARLOS ALBERTO VALENCIA LASSO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,76950
Concejo,VALLE,CANDELARIA,CARLOS ANDRES GIL ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,76946
Concejo,VALLE,CANDELARIA,CARLOS AUGUSTO IRIARTE SALDAÑA,PARTIDO CAMBIO RADICAL,76912
Concejo,VALLE,CANDELARIA,CARLOS EFREN SANCHEZ LONDOÑO,PARTIDO COLOMBIA RENACIENTE,76863
Concejo,VALLE,CANDELARIA,CARLOS HERNANDO SALAZAR VELASQUEZ,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,76935
Concejo,VALLE,CANDELARIA,CARLOS JULIO RAMIREZ ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,76951
Concejo,VALLE,CANDELARIA,CARMEN PATRICIA ROSERO SOLARTE,PARTIDO CONSERVADOR COLOMBIANO,76897
Concejo,VALLE,CANDELARIA,CASTULO ANIBAL ACOSTA MUÑOZ,PARTIDO ALIANZA VERDE,76927
Concejo,VALLE,CANDELARIA,CELIMO  MARTINEZ ,PARTIDO CENTRO DEMOCRATICO,76837
Concejo,VALLE,CANDELARIA,CHRISTIAN RENE ARCE SEPULVEDA,PARTIDO CONSERVADOR COLOMBIANO,76892
Concejo,VALLE,CANDELARIA,CLARA INES BONILLA CARVAJAL,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,76944
Concejo,VALLE,CANDELARIA,CLAUDINA  IRIARTE PEREZ,PARTIDO LIBERAL COLOMBIANO,76828
Concejo,VALLE,CANDELARIA,CONSUELO  TROCHEZ CAMPO,CONVERGENCIA CANDELARIA,76959
Concejo,VALLE,CANDELARIA,DANIELA FERNANDA BORRERO BANDERAS,PARTIDO CAMBIO RADICAL,76905
Concejo,VALLE,CANDELARIA,DARLING  SIERRA PEREZ,PARTIDO ADA,76874
Concejo,VALLE,CANDELARIA,DAVID  ROSERO MEDINA,PARTIDO COLOMBIA JUSTA LIBRES,76850
Concejo,VALLE,CANDELARIA,DEBORAH LILY MOSCOSO SARMIENTO,CONVERGENCIA CANDELARIA,76967
Concejo,VALLE,CANDELARIA,DEYBIS MARIA PALACIOS MOSQUERA,PARTIDO CONSERVADOR COLOMBIANO,76895
Concejo,VALLE,CANDELARIA,DIANA LUCIA HERNANDEZ ROMERO,COALICION AICO - MIRA,76984
Concejo,VALLE,CANDELARIA,DIANA MARCELA ALUMA GARRIDO,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,117981
Concejo,VALLE,CANDELARIA,DUNIA CELENE FUENTES VALLEJO,PARTIDO CAMBIO RADICAL,76903
Concejo,VALLE,CANDELARIA,EDIEL FERNEY MORENO REYES,PARTIDO CENTRO DEMOCRATICO,76838
Concejo,VALLE,CANDELARIA,EDINSON  TAMAYO MIRANDA,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,76931
Concejo,VALLE,CANDELARIA,EDWARD  FLOREZ CASTRO,PARTIDO ADA,76873
Concejo,VALLE,CANDELARIA,EDWARD WLADIMIR FLOREZ GUZMAN,CONVERGENCIA CANDELARIA,76965
Concejo,VALLE,CANDELARIA,EDWIN  ALZATE LARRAHONDO,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,76845
Concejo,VALLE,CANDELARIA,EDWIN RODOLFO PELAEZ DIAZ,PARTIDO CONSERVADOR COLOMBIANO,76891
Concejo,VALLE,CANDELARIA,ELENA  GARCIA GAVIRIA,PARTIDO ALIANZA VERDE,76915
Concejo,VALLE,CANDELARIA,ELSA MARIA LONDOÑO TABORDA,PARTIDO ADA,76876
Concejo,VALLE,CANDELARIA,ENRIQUE  CANDELO CASTAÑEDA,PARTIDO CAMBIO RADICAL,76901
Concejo,VALLE,CANDELARIA,ENRIQUE ADOLFO POLO ALZATE,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,76948
Concejo,VALLE,CANDELARIA,ERIK DANIEL MINA TOBAR,PARTIDO LIBERAL COLOMBIANO,76827
Concejo,VALLE,CANDELARIA,ERIKA BANESSA HERRERA ABONIA,PARTIDO CONSERVADOR COLOMBIANO,76886
Concejo,VALLE,CANDELARIA,ERIKA FERNANDA MUELAS MUELAS,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,76957
Concejo,VALLE,CANDELARIA,FABIO ENRIQUE CEBALLOS OSORIO,CONVERGENCIA CANDELARIA,76958
