corp,dpto,mpio,name,party,wp_no
Concejo,VALLE,PALMIRA,ALBA RUTH MAÑOZCA CALERO,CONVERGENCIA PALMIRA HUMANA,79169
Concejo,VALLE,PALMIRA,ALBERTO  BERNAL SANCHEZ,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,78998
Concejo,VALLE,PALMIRA,ALBERTO  GOMEZ SANCHEZ,PARTIDO CENTRO DEMOCRATICO,78984
Concejo,VALLE,PALMIRA,ALEJANDRO  MARTINEZ ESCOBAR,PARTIDO ADA,79046
Concejo,VALLE,PALMIRA,ALEXANDER  GONZALEZ NIEVA,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,79123
Concejo,VALLE,PALMIRA,ALEXANDER  RIVERA RIVERA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,79145
Concejo,VALLE,PALMIRA,ALEXANDER  TRUJILLO BEJARANO,PARTIDO ALIANZA VERDE,79095
Concejo,VALLE,PALMIRA,ALEYDA  GONZALEZ GARCIA,CONVERGENCIA PALMIRA HUMANA,79174
Concejo,VALLE,PALMIRA,ALIX SOFIA ILLERA GALVIS,PARTIDO ALIANZA VERDE,79088
Concejo,VALLE,PALMIRA,ALVARO  MARADIAGO MARTINEZ,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,79009
Concejo,VALLE,PALMIRA,ALVARO  SALINAS PALACIOS,PARTIDO ALIANZA VERDE,79096
Concejo,VALLE,PALMIRA,ANA BEIBA MARQUEZ CARDONA,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,79122
Concejo,VALLE,PALMIRA,ANA FERNANDA CIFUENTES CHACON,PARTIDO CONSERVADOR  -  PARTIDO POLITICO MIRA,79165
Concejo,VALLE,PALMIRA,ANABEL  GUARAN FRANCO,PARTIDO COLOMBIA RENACIENTE,79030
Concejo,VALLE,PALMIRA,ANDRES EMILIO ZAPATA CASTRO,PARTIDO COLOMBIA JUSTA LIBRES,79021
Concejo,VALLE,PALMIRA,ANDRES FELIPE GONZALEZ MARTINEZ,PARTIDO CENTRO DEMOCRATICO,78992
Concejo,VALLE,PALMIRA,ANDRES FERNANDO CUERVO OREJUELA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,79143
Concejo,VALLE,PALMIRA,ANDRES HERNAN SANCHEZ GUZMAN,PARTIDO CENTRO DEMOCRATICO,78985
Concejo,VALLE,PALMIRA,ANGELICA MARIA RENGIFO MURCIA,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,79109
Concejo,VALLE,PALMIRA,ANGIE SARAHIDT SAAVEDRA DIAZ,PARTIDO CENTRO DEMOCRATICO,78989
Concejo,VALLE,PALMIRA,ANGIE TATIANA SINISTERRA CUENCA,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,79125
Concejo,VALLE,PALMIRA,ANI LORENA GONZALEZ RENTERIA,PARTIDO ADA,79042
Concejo,VALLE,PALMIRA,ANTONIO JOSE OCHOA BETANCOURT,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,79146
Concejo,VALLE,PALMIRA,ARACELLY  LOAIZA SALAZAR,PARTIDO CAMBIO RADICAL,79082
Concejo,VALLE,PALMIRA,ARLEX  SINISTERRA ALBORNOZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,79152
Concejo,VALLE,PALMIRA,ARMANDO  ESCOBAR OSORIO,PARTIDO CONSERVADOR  -  PARTIDO POLITICO MIRA,79158
