corp,dpto,mpio,name,party,wp_no
Concejo,VALLE,TRUJILLO,ACENET  BLANDON PATIÑO,PARTIDO POLITICO MIRA,75280
Concejo,VALLE,TRUJILLO,ALBEIRO  DIAZ ALVAREZ,PARTIDO ALIANZA VERDE,75250
Concejo,VALLE,TRUJILLO,ALEXANDER  CAÑOLA VILLALOBOS,PARTIDO POLITICO MIRA,75276
Concejo,VALLE,TRUJILLO,ALEXANDER  ROJAS HERNANDEZ,PARTIDO ALIANZA VERDE,75255
Concejo,VALLE,TRUJILLO,ALFARO  CARDONA NARVAEZ,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,75285
Concejo,VALLE,TRUJILLO,ALONSO DE JESUS RODAS JARAMILLO,PARTIDO CENTRO DEMOCRATICO,75206
Concejo,VALLE,TRUJILLO,AMIRA  ARENAS PARRA,PARTIDO CENTRO DEMOCRATICO,75205
Concejo,VALLE,TRUJILLO,ANA LUCILA PINEDA TORO,PARTIDO CAMBIO RADICAL,75246
Concejo,VALLE,TRUJILLO,ANA ROSA RESTREPO AGUDELO,PARTIDO POLITICO MIRA,75284
Concejo,VALLE,TRUJILLO,ANGIE CAROLINA AGUDELO NARANJO,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,75260
Concejo,VALLE,TRUJILLO,AYDA NELLY PAEZ GIRALDO,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA - AICO,75263
Concejo,VALLE,TRUJILLO,CARLOS ALBERTO PAVAS RIVEROS,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,75287
Concejo,VALLE,TRUJILLO,CARLOS GILBERTO CADAVID VALENCIA,PARTIDO CENTRO DEMOCRATICO,75204
Concejo,VALLE,TRUJILLO,CARLOS MARIO MORALES HENAO,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,75272
Concejo,VALLE,TRUJILLO,CASTOR JULIAN TABARES ALVAREZ,PARTIDO COLOMBIA RENACIENTE,75221
Concejo,VALLE,TRUJILLO,CHRISTIAN FERNANDO VALENCIA GALLEGO,PARTIDO CENTRO DEMOCRATICO,75199
Concejo,VALLE,TRUJILLO,CLARA GLADYS CARRILLO CALDERON,PARTIDO ADA,75222
Concejo,VALLE,TRUJILLO,DANEICY  RAMIREZ MARIN,PARTIDO POLITICO MIRA,75282
Concejo,VALLE,TRUJILLO,DANITZA ALEJANDRA CARDENAS OCAMPO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,75290
Concejo,VALLE,TRUJILLO,DARIO ANTONIO CHAVERRA PALACIOS,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,75210
Concejo,VALLE,TRUJILLO,DARWIN JOSE GOMEZ MEDINA,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,75265
Concejo,VALLE,TRUJILLO,DENIX YERLIANNY CANO TALAGA,PARTIDO ADA,75227
Concejo,VALLE,TRUJILLO,DIANA CRISTINA MARMOLEJO JIMENEZ,PARTIDO ALIANZA VERDE,75248
Concejo,VALLE,TRUJILLO,DIEGO FERNANDO MILLAN GONZALEZ,PARTIDO CENTRO DEMOCRATICO,75197
Concejo,VALLE,TRUJILLO,DIEGO FERNANDO MONCADA ARAQUE,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,75270
Concejo,VALLE,TRUJILLO,DORAIDA  MONSALVE OSORIO,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,75274
Concejo,VALLE,TRUJILLO,EDGAR HERNAN ACOSTA ORTIZ,PARTIDO CAMBIO RADICAL,75245
Concejo,VALLE,TRUJILLO,EDILSON  PAEZ LONDOÑO,PARTIDO ALIANZA VERDE,75249
Concejo,VALLE,TRUJILLO,EDNA MARGARITA GUARIN CARDONA,PARTIDO ALIANZA SOCIAL INDEPENDIENTE - ASI,75267
Concejo,VALLE,TRUJILLO,FABIAN ADOLFO TERRANOVA TRIVIÑO,PARTIDO ALIANZA VERDE,75247
Concejo,VALLE,TRUJILLO,FANNY  MORALES MONTENEGRO,PARTIDO COLOMBIA RENACIENTE,75216
Concejo,VALLE,TRUJILLO,FERNEY  BUITRAGO DURAN,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,75286
Concejo,VALLE,TRUJILLO,FRANCIA ELENA COLONIA APONTE,PARTIDO CONSERVADOR COLOMBIANO,75233
Concejo,VALLE,TRUJILLO,FRANCY MILENA RODRIGUEZ FERNANDEZ,PARTIDO ALIANZA VERDE,75254
Concejo,VALLE,TRUJILLO,GABRIEL DE JESUS GARCES CARDONA,PARTIDO ADA,75224
