corp,dpto,mpio,name,party,wp_no
Concejo,VICHADA,SANTA ROSALIA,ALEIDA  CANDURY DARAPO,PARTIDO CONSERVADOR COLOMBIANO,101953
Concejo,VICHADA,SANTA ROSALIA,ANDERSON YAMID OJEDA PORRAS,PARTIDO CAMBIO RADICAL,101962
Concejo,VICHADA,SANTA ROSALIA,ANDREA LISETH GUARIN BARRAGAN,PARTIDO CAMBIO RADICAL,101961
Concejo,VICHADA,SANTA ROSALIA,ANGEL SOLEIDER BAREÑO RUIZ,PARTIDO CAMBIO RADICAL,101959
Concejo,VICHADA,SANTA ROSALIA,CARLOS ENRIQUE MARTINEZ SANCHEZ,PARTIDO POLO DEMOCRATICO ALTERNATIVO,101972
Concejo,VICHADA,SANTA ROSALIA,CESAR IVAN GUERRERO SALCEDO,PARTIDO CENTRO DEMOCRATICO,101943
Concejo,VICHADA,SANTA ROSALIA,DUVIS ANGELICA GOMEZ CARIVAN,PARTIDO LIBERAL COLOMBIANO,101936
Concejo,VICHADA,SANTA ROSALIA,ELKIN YONEY TAQUIVA TAQUIVA,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,101947
Concejo,VICHADA,SANTA ROSALIA,ELVIA  PONARE CARIBANA,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,101948
Concejo,VICHADA,SANTA ROSALIA,ENRIQUE  GUERRERO MANTILLA,PARTIDO CENTRO DEMOCRATICO,101942
Concejo,VICHADA,SANTA ROSALIA,FEDERICO  SANABRIA MACHADO,PARTIDO CAMBIO RADICAL,101964
Concejo,VICHADA,SANTA ROSALIA,GEIDY HOJANA VALDES QUINTERO,PARTIDO CENTRO DEMOCRATICO,101944
Concejo,VICHADA,SANTA ROSALIA,HUSIEL  SANCHEZ MOSQUERA,PARTIDO LIBERAL COLOMBIANO,101934
Concejo,VICHADA,SANTA ROSALIA,ISIDRO  CARIBANA QUITEBE,PARTIDO CONSERVADOR COLOMBIANO,101958
Concejo,VICHADA,SANTA ROSALIA,JANINE ANDREA UMENJEN GUACARAPARE,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,101965
Concejo,VICHADA,SANTA ROSALIA,JENIFER FERNANDA MARULANDA BARRETO,PARTIDO CAMBIO RADICAL,101963
Concejo,VICHADA,SANTA ROSALIA,JOSE ALEXANDER GAITAN CHIPIAJE,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,101949
Concejo,VICHADA,SANTA ROSALIA,JOSE CANTALICIO HOROPA GUACARAPARE,PARTIDO CAMBIO RADICAL,101960
Concejo,VICHADA,SANTA ROSALIA,JUAN SEGUNDO CALDERON URBANO,PARTIDO CENTRO DEMOCRATICO,101941
Concejo,VICHADA,SANTA ROSALIA,LEONIDAS  ORTEGA PONARE,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,101968
Concejo,VICHADA,SANTA ROSALIA,LINDA YESENIA PEREZ PINEDA,PARTIDO LIBERAL COLOMBIANO,101938
Concejo,VICHADA,SANTA ROSALIA,LUIS ANTONIO GARCIA TREJOS,PARTIDO POLO DEMOCRATICO ALTERNATIVO,101975
Concejo,VICHADA,SANTA ROSALIA,LUIS CARLOS RAMIREZ MUÑOZ,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,101950
Concejo,VICHADA,SANTA ROSALIA,LUIS FERNANDO VARGAS FLOREZ,PARTIDO POLO DEMOCRATICO ALTERNATIVO,101973
Concejo,VICHADA,SANTA ROSALIA,LUIS FREDY CARIBANA CATIMAY,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,101951
Concejo,VICHADA,SANTA ROSALIA,LUIZ ALEXANDER DUARTE ,PARTIDO CENTRO DEMOCRATICO,101945
Concejo,VICHADA,SANTA ROSALIA,MANUEL ALCIDES ROJAS REYES,PARTIDO CONSERVADOR COLOMBIANO,101954
Concejo,VICHADA,SANTA ROSALIA,MARCO TULIO ACOSTA MENDIVELSO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,101970
Concejo,VICHADA,SANTA ROSALIA,MARIA PIEDAD DIAZ REMICIO,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,101966
Concejo,VICHADA,SANTA ROSALIA,MARTHA CECILIA CONDE RODRIGUEZ,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS,101946
Concejo,VICHADA,SANTA ROSALIA,MERARDO  VAGEON REUTO,PARTIDO CONSERVADOR COLOMBIANO,101952
Concejo,VICHADA,SANTA ROSALIA,MERY JOHANA HERRERA HERRERA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,101969
Concejo,VICHADA,SANTA ROSALIA,NICOLAS  GOYENECHE TUNAROSA,PARTIDO POLO DEMOCRATICO ALTERNATIVO,101978
Concejo,VICHADA,SANTA ROSALIA,OMAR  LEGUIZAMON VELANDIA,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,101967
