codmpio,amount_sum,amount_mean,donors_sum,donors_mean,yearly
5001,1428.77299125,357.1932478125,162,40.5,2011
5002,18.3,18.3,4,4,2011
5004,2.25,2.25,2,2,2011
5021,0,0,1,1,2011
5030,96.305327,13.757903857142857,39,5.571428571428571,2011
5031,63.0775,21.02583333333333,34,11.333333333333334,2011
5034,4.34,4.34,1,1,2011
5036,4,2,3,1.5,2011
5038,12,12,1,1,2011
5040,25.3714,12.6857,4,2,2011
5042,14.186647,7.0933235,14,7,2011
5044,5,5,1,1,2011
5045,414.2275,103.556875,56,14,2011
5051,34.12864,11.376213333333334,13,4.333333333333333,2011
5055,2,2,1,1,2011
5079,9.3,4.65,3,1.5,2011
5086,5.766255,5.766255,2,2,2011
5088,351.551821,175.7759105,46,23,2011
5091,19.3,19.3,4,4,2011
5093,27.5,13.75,7,3.5,2011
5101,7.15,3.575,6,3,2011
5107,2,2,1,1,2011
5120,23.59,11.795,4,2,2011
5125,4.634591,2.3172955,3,1.5,2011
5129,27.5,6.875,12,3,2011
5134,2.92,2.92,3,3,2011
5142,20.619,20.619,16,16,2011
5145,27.5,27.5,6,6,2011
5147,120.726,30.1815,29,7.25,2011
5148,21.3,7.1,14,4.666666666666667,2011
5150,12.6,6.3,46,23,2011
5154,44.214739,11.05368475,19,4.75,2011
5172,45.416,22.708,17,8.5,2011
5190,23.458129,7.819376333333333,16,5.333333333333333,2011
5206,2,2,1,1,2011
5209,16.66,8.33,7,3.5,2011
5212,30,7.5,12,3,2011
5234,8.7,8.7,4,4,2011
5237,17.139181,17.139181,36,36,2011
5240,3.84,3.84,9,9,2011
5250,74.356193,14.8712386,14,2.8,2011
5264,6.830481,6.830481,3,3,2011
5266,96.794904,48.397452,11,5.5,2011
5282,10,10,2,2,2011
5284,17.288154,8.644077,5,2.5,2011
5308,50.337,12.58425,19,4.75,2011
5310,18.75,6.25,9,3,2011
5313,4,4,2,2,2011
5315,4,2,2,1,2011
5318,38.34,9.585,17,4.25,2011
5321,13.1,13.1,11,11,2011
5347,31.06,10.353333333333333,11,3.6666666666666665,2011
5353,8.55,8.55,2,2,2011
5360,426.65055,142.21685,22,7.333333333333333,2011
5361,24.5,24.5,8,8,2011
5364,21.5,21.5,4,4,2011
5368,26.955,6.73875,10,2.5,2011
5376,5.11,2.555,13,6.5,2011
5380,81,27,14,4.666666666666667,2011
5390,24,12,3,1.5,2011
5400,33.549831,11.183277,29,9.666666666666666,2011
5440,4.5,4.5,4,4,2011
5467,5.8,2.9,3,1.5,2011
5475,52.8379,10.56758,26,5.2,2011
5480,57.98,19.326666666666668,13,4.333333333333333,2011
5490,72.76064,24.25354666666667,21,7,2011
5495,5,5,1,1,2011
5541,18,18,6,6,2011
5576,3,3,1,1,2011
5579,26.5,6.625,6,1.5,2011
5591,58.166769,29.0833845,25,12.5,2011
5604,39.5,19.75,11,5.5,2011
5607,27.185,9.061666666666666,7,2.3333333333333335,2011
5615,177.885192,29.647532000000002,53,8.833333333333334,2011
5628,7.1,3.55,7,3.5,2011
5631,250.4705,62.617625,71,17.75,2011
5642,15,7.5,4,2,2011
5647,13.2,6.6,4,2,2011
5649,15,5,5,1.6666666666666667,2011
5656,37.3,12.433333333333334,5,1.6666666666666667,2011
5658,3.6,3.6,2,2,2011
5659,59.492,19.83066666666667,18,6,2011
5660,48.220554,24.110277,19,9.5,2011
5664,32.5915,16.29575,2,1,2011
5665,34,34,7,7,2011
5667,5,5,1,1,2011
5674,5,5,1,1,2011
5679,54.0718,18.023933333333332,11,3.6666666666666665,2011
5686,33.5,33.5,11,11,2011
5690,1.32,0.66,2,1,2011
5697,14.252487,7.1262435,10,5,2011
5736,38,19,8,4,2011
5756,14.42,14.42,24,24,2011
5761,4.28437,2.142185,2,1,2011
5789,20.75,20.75,11,11,2011
5790,50.235,50.235,44,44,2011
5792,21.9,21.9,4,4,2011
5809,10.98,10.98,7,7,2011
5837,390.804775,130.26825833333334,43,14.333333333333334,2011
5842,5.8,5.8,2,2,2011
5847,9.5,4.75,4,2,2011
5854,10.5,10.5,7,7,2011
5856,36.9876,9.2469,9,2.25,2011
5858,15.778229,7.8891145,6,3,2011
5861,45.449624,11.362406,23,5.75,2011
5873,37.7,12.566666666666666,20,6.666666666666667,2011
5887,6.1,3.05,2,1,2011
5890,8.74595,4.372975,4,2,2011
5893,70.8039,17.700975,8,2,2011
5895,12.960735,12.960735,2,2,2011
8001,1404.104354,468.03478466666667,107,35.666666666666664,2011
8078,25,12.5,2,1,2011
8137,31.07025,10.35675,6,2,2011
8141,8,8,2,2,2011
8296,58.310648,58.310648,9,9,2011
8372,56.85,56.85,10,10,2011
8421,8.34,8.34,4,4,2011
8433,73.46,36.73,3,1.5,2011
8520,10,10,3,3,2011
8549,15,7.5,3,1.5,2011
8558,20,20,4,4,2011
8560,2.8,1.4,2,1,2011
8573,81.909559,40.9547795,8,4,2011
8606,2,2,4,4,2011
8638,112.211742,18.701957,13,2.1666666666666665,2011
8675,1,1,8,8,2011
8685,6.995,3.4975,3,1.5,2011
8758,620.51,206.83666666666664,37,12.333333333333334,2011
8832,14.38,7.19,4,2,2011
8849,1.2,1.2,1,1,2011
11001,4127.34755332,458.5941725911111,278,30.88888888888889,2011
13001,1646.972282,329.39445639999997,112,22.4,2011
13006,42,21,8,4,2011
13052,64.573,21.52433333333333,26,8.666666666666666,2011
13074,62.8,31.4,19,9.5,2011
13160,16.95,8.475,4,2,2011
13188,12.6,12.6,4,4,2011
13212,17,8.5,5,2.5,2011
13222,14,14,3,3,2011
13244,37.5,18.75,7,3.5,2011
13248,11.5,11.5,3,3,2011
13300,4,4,1,1,2011
13430,43.94,10.985,12,3,2011
13440,15,15,3,3,2011
13442,6.5,6.5,4,4,2011
13468,0.3,0.3,1,1,2011
13473,57,57,2,2,2011
13490,5,5,1,1,2011
13549,10.2,5.1,3,1.5,2011
13580,29.26,29.26,6,6,2011
13600,32.44,10.813333333333334,9,3,2011
13647,25,25,2,2,2011
13650,10,10,2,2,2011
13655,16.6,16.6,17,17,2011
13667,4.5,2.25,2,1,2011
13670,35.5,11.833333333333334,12,4,2011
13673,20.755,10.3775,5,2.5,2011
13688,24.5,12.25,4,2,2011
13744,51.6,17.2,19,6.333333333333333,2011
13780,49.8345,12.458625,21,5.25,2011
13838,54.8,27.4,18,9,2011
13873,18.845,9.4225,5,2.5,2011
13894,20.22,10.11,5,2.5,2011
15001,113.31,113.31,31,31,2011
15051,0,0,1,1,2011
15087,3.7315,3.7315,1,1,2011
15104,5.3,5.3,3,3,2011
15106,3.46143,3.46143,3,3,2011
15109,3,3,1,1,2011
15114,5.85,2.925,2,1,2011
15135,3,3,2,2,2011
15162,35,35,3,3,2011
15172,12.865,12.865,14,14,2011
15176,9.2,4.6,2,1,2011
15204,26,26,6,6,2011
15215,5.3,5.3,4,4,2011
15224,0,0,1,1,2011
15236,2.7,2.7,1,1,2011
15238,0.4126,0.2063,3,1.5,2011
15293,0.5,0.5,1,1,2011
15299,2.3,1.15,3,1.5,2011
15367,4,4,1,1,2011
15401,35,17.5,21,10.5,2011
15403,4,4,2,2,2011
15407,29.5,29.5,5,5,2011
15425,8.7195,8.7195,7,7,2011
15464,1.5,1.5,1,1,2011
15466,2,2,1,1,2011
