,,amount,amount,no_of_donors,no_of_donors
,,sum,mean,sum,mean
dpto,mpio,,,,
AMAZONAS,LETICIA,13000000.0,13000000.0,2,2.0
AMAZONAS,PUERTO NARIÑO,3050000.0,1525000.0,2,1.0
ANTIOQUIA,ABEJORRAL,59500000.0,19833333.333333332,9,3.0
ANTIOQUIA,AMAGA,15000000.0,15000000.0,3,3.0
ANTIOQUIA,AMALFI,65904879.0,32952439.5,17,8.5
ANTIOQUIA,ANDES,20000000.0,20000000.0,2,2.0
ANTIOQUIA,ANGOSTURA,16300000.0,16300000.0,6,6.0
ANTIOQUIA,ANORI,44000000.0,44000000.0,8,8.0
ANTIOQUIA,ANTIOQUIA,9150000.0,2287500.0,6,1.5
ANTIOQUIA,APARTADO,808846526.0,134807754.33333334,74,12.333333333333334
ANTIOQUIA,ARBOLETES,136235181.0,68117590.5,19,9.5
ANTIOQUIA,ARGELIA,6800000.0,6800000.0,3,3.0
ANTIOQUIA,ARMENIA,2900000.0,2900000.0,1,1.0
ANTIOQUIA,BARBOSA,1700000.0,1700000.0,1,1.0
ANTIOQUIA,BELLO,552076500.0,276038250.0,18,9.0
ANTIOQUIA,BELMIRA,17000000.0,8500000.0,3,1.5
ANTIOQUIA,BETULIA,27028000.0,13514000.0,34,17.0
ANTIOQUIA,BOLIVAR,66767500.0,33383750.0,10,5.0
ANTIOQUIA,BURITICA,5100000.0,2550000.0,5,2.5
ANTIOQUIA,CACERES,22500000.0,11250000.0,3,1.5
ANTIOQUIA,CAICEDO,5000000.0,5000000.0,1,1.0
ANTIOQUIA,CALDAS,71812172.0,17953043.0,12,3.0
ANTIOQUIA,CAMPAMENTO,3000000.0,3000000.0,1,1.0
ANTIOQUIA,CARACOLI,4824400.0,4824400.0,3,3.0
ANTIOQUIA,CARAMANTA,19000000.0,9500000.0,2,1.0
ANTIOQUIA,CAREPA,142638095.0,47546031.666666664,19,6.333333333333333
ANTIOQUIA,CARMEN DE VIBORAL,10800000.0,10800000.0,7,7.0
ANTIOQUIA,CAROLINA,21760000.0,10880000.0,5,2.5
ANTIOQUIA,CAUCASIA,3000000.0,3000000.0,1,1.0
ANTIOQUIA,CHIGORODO,96100000.0,48050000.0,4,2.0
ANTIOQUIA,CISNEROS,16000000.0,8000000.0,4,2.0
ANTIOQUIA,COCORNA,3300000.0,3300000.0,3,3.0
ANTIOQUIA,CONCEPCION,1000000.0,1000000.0,1,1.0
ANTIOQUIA,COPACABANA,365701034.0,182850517.0,27,13.5
ANTIOQUIA,DABEIBA,9000000.0,9000000.0,1,1.0
ANTIOQUIA,DON MATIAS,23000000.0,11500000.0,4,2.0
ANTIOQUIA,EBEJICO,28000000.0,28000000.0,7,7.0
ANTIOQUIA,EL BAGRE,108000000.0,108000000.0,5,5.0
ANTIOQUIA,EL SANTUARIO,24000000.0,24000000.0,3,3.0
ANTIOQUIA,ENTRERRIOS,19750000.0,9875000.0,7,3.5
ANTIOQUIA,ENVIGADO,153750000.0,51250000.0,19,6.333333333333333
ANTIOQUIA,FREDONIA,33320000.0,8330000.0,30,7.5
ANTIOQUIA,FRONTINO,10000000.0,10000000.0,2,2.0
ANTIOQUIA,GIRARDOTA,163316200.0,54438733.333333336,17,5.666666666666667
ANTIOQUIA,GOMEZ PLATA,22010000.0,22010000.0,18,18.0
ANTIOQUIA,GRANADA,22500000.0,11250000.0,4,2.0
ANTIOQUIA,GUADALUPE,10000000.0,5000000.0,3,1.5
ANTIOQUIA,GUARNE,17131328.0,4282832.0,5,1.25
ANTIOQUIA,GUATAPE,46300000.0,23150000.0,23,11.5
ANTIOQUIA,HISPANIA,500000.0,500000.0,1,1.0
ANTIOQUIA,ITAGUI,212468000.0,70822666.66666667,14,4.666666666666667
ANTIOQUIA,ITUANGO,29459000.0,14729500.0,27,13.5
ANTIOQUIA,JERICO,21050000.0,10525000.0,9,4.5
ANTIOQUIA,LA CEJA,33798100.0,33798100.0,16,16.0
ANTIOQUIA,LA ESTRELLA,3569000.0,3569000.0,4,4.0
ANTIOQUIA,LA PINTADA,400000.0,400000.0,1,1.0
ANTIOQUIA,LIBORINA,10000000.0,10000000.0,1,1.0
ANTIOQUIA,MARINILLA,53000000.0,17666666.666666668,8,2.6666666666666665
ANTIOQUIA,MEDELLIN,2990565298.0,498427549.6666667,217,36.166666666666664
ANTIOQUIA,MURINDO,54988000.0,54988000.0,3,3.0
ANTIOQUIA,NECHI,44500000.0,44500000.0,21,21.0
ANTIOQUIA,NECOCLI,215109288.0,43021857.6,31,6.2
ANTIOQUIA,OLAYA,7420000.0,7420000.0,2,2.0
ANTIOQUIA,PEQUE,50690000.0,25345000.0,8,4.0
ANTIOQUIA,PEÑOL,18775559.0,6258519.666666667,5,1.6666666666666667
ANTIOQUIA,PUERTO BERRIO,44020000.0,22010000.0,14,7.0
ANTIOQUIA,PUERTO NARE LA MAGDALENA,113650000.0,56825000.0,14,7.0
ANTIOQUIA,PUERTO TRIUNFO,32820000.0,10940000.0,6,2.0
ANTIOQUIA,REMEDIOS,10746055.0,5373027.5,4,2.0
ANTIOQUIA,RETIRO,21400000.0,21400000.0,4,4.0
ANTIOQUIA,RIONEGRO,417355721.0,208677860.5,47,23.5
ANTIOQUIA,SABANALARGA,13500000.0,6750000.0,10,5.0
ANTIOQUIA,SABANETA,425400000.0,212700000.0,49,24.5
ANTIOQUIA,SALGAR,9400000.0,9400000.0,2,2.0
ANTIOQUIA,SAN CARLOS,36000000.0,18000000.0,5,2.5
ANTIOQUIA,SAN FRANCISCO,2100000.0,2100000.0,2,2.0
ANTIOQUIA,SAN JERONIMO,62400000.0,20800000.0,35,11.666666666666666
ANTIOQUIA,SAN JUAN DE URABA,39000000.0,39000000.0,6,6.0
